tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	sequence	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:14:00	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF10	1.5	201.8	None	g	-30.7	3.46e-08	10	8	1.13e-09	3.63e-10	4e-10	u	273	10	0.02	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:15:21	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF11	1.6	201.8	None	g	-30.8	3.43e-08	11	8	1.25e-09	3.57e-10	3.96e-10	u	273	11	0.025	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:16:52	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF12	1.5	201.7	None	g	-30.8	3.4e-08	12	8	8.97e-10	5.66e-10	3.93e-10	u	273	12	0.03	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:18:12	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF13	1.6	201.9	None	g	-30.9	3.36e-08	13	8	1.06e-09	6.859999999999999e-10	3.96e-10	u	273	13	0.035	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:19:33	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF14	1.5	202.1	None	g	-30.9	3.32e-08	14	8	9.12e-10	6.24e-10	3.9e-10	u	273	14	0.04	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:20:58	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF15	1.6	201.9	None	g	-31.1	3.27e-08	15	8	8.91e-10	6.49e-10	3.79e-10	u	273	15	0.045	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:22:19	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF16	1.6	201.9	None	g	-31.3	3.2200000000000004e-08	16	8	9.26e-10	6.29e-10	3.82e-10	u	273	16	0.05	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:23:40	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF17	1.6	201.8	None	g	-31.5	3.17e-08	17	8	9.33e-10	6.3e-10	3.81e-10	u	273	17	0.055	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:25:01	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF18	1.7	201.7	None	g	-31.6	3.13e-08	18	8	8.98e-10	6.43e-10	3.72e-10	u	273	18	0.06	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:26:21	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF19	1.7	201.7	None	g	-31.4	3.02e-08	19	8	9.04e-10	6.469999999999999e-10	3.65e-10	u	273	19	0.07	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:27:42	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF20	1.7	201.9	None	g	-30.4	2.91e-08	20	8	8.93e-10	6.14e-10	3.61e-10	u	273	20	0.08	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:29:03	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF21	1.7	202.1	None	g	-29.3	2.82e-08	21	8	8.859999999999998e-10	6.06e-10	3.5000000000000003e-10	u	273	21	0.09	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:30:24	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF22	1.7	202.5	None	g	-28.3	2.76e-08	22	8	8.87e-10	5.91e-10	3.4500000000000005e-10	u	273	22	0.1	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:31:50	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF23	1.7	203.5	None	g	-25.2	2.63e-08	23	8	6.900000000000001e-10	6.22e-10	3.72e-10	u	273	23	0.12	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:33:18	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF24	1.4	204.1	None	g	-28.9	2.72e-08	24	8	6.96e-10	6.34e-10	1.92e-10	u	273	24	0.13	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:34:53	LT-NO:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF0	2.1	177.0	None	g	-11.1	1.55e-08	0	8	4.77e-10	5e-10	1.95e-10	u	273	25	0.0	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:36:17	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF1	1.5	176.8	None	g	-12.5	1.54e-08	1	8	2.1e-10	3.8e-10	1.56e-10	u	273	26	0.001	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:37:37	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF2	1.5	176.9	None	g	-12.5	1.54e-08	2	8	2.04e-10	3.79e-10	1.6000000000000002e-10	u	273	27	0.002	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:38:58	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF3	1.4	176.9	None	g	-12.5	1.54e-08	3	8	2.02e-10	3.54e-10	1.5900000000000002e-10	u	273	28	0.003	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:40:19	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF4	1.5	177.0	None	g	-12.5	1.53e-08	4	8	2.07e-10	3.66e-10	1.5900000000000002e-10	u	273	29	0.004	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:41:39	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF5	1.5	176.9	None	g	-12.6	1.53e-08	5	8	2.06e-10	3.68e-10	1.5900000000000002e-10	u	273	30	0.005	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:43:03	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF6	1.4	177.3	None	g	-12.7	1.53e-08	6	8	4.04e-10	3.08e-10	1.61e-10	u	273	31	0.0075	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:44:23	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF7	1.5	177.1	None	g	-12.8	1.52e-08	7	8	2.05e-10	3.66e-10	1.56e-10	u	273	32	0.01	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:45:44	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF8	1.5	177.1	None	g	-13.0	1.51e-08	8	8	2.11e-10	3.6000000000000005e-10	1.56e-10	u	273	33	0.0125	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:47:04	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF9	1.5	177.2	None	g	-13.1	1.51e-08	9	8	1.97e-10	3.65e-10	1.54e-10	u	273	34	0.015	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:48:24	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF10	1.4	177.2	None	g	-13.3	1.49e-08	10	8	2e-10	3.52e-10	1.52e-10	u	273	35	0.02	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:49:45	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF11	1.4	177.2	None	g	-13.4	1.48e-08	11	8	1.99e-10	3.5000000000000003e-10	1.49e-10	u	273	36	0.025	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:51:05	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF12	1.5	177.3	None	g	-13.6	1.47e-08	12	8	1.95e-10	3.55e-10	1.4699999999999998e-10	u	273	37	0.03	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:52:26	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF13	1.4	177.2	None	g	-13.7	1.45e-08	13	8	1.92e-10	3.41e-10	1.4500000000000002e-10	u	273	38	0.035	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:53:46	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF14	1.5	177.0	None	g	-13.7	1.44e-08	14	8	1.9e-10	3.41e-10	1.44e-10	u	273	39	0.04	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:55:06	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF15	1.5	177.1	None	g	-13.8	1.42e-08	15	8	1.88e-10	3.44e-10	1.43e-10	u	273	40	0.045	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:56:30	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF16	1.4	177.4	None	g	-13.7	1.42e-08	16	8	2.94e-10	3.25e-10	1.42e-10	u	273	41	0.05	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:57:52	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF17	1.3	177.0	None	g	-13.9	1.4e-08	17	8	1.48e-10	3.05e-10	1.3999999999999998e-10	u	273	42	0.055	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 19:59:16	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF18	1.4	177.1	None	g	-13.8	1.4e-08	18	8	3.68e-10	2.88e-10	1.43e-10	u	273	43	0.06	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 20:00:40	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF19	1.4	177.1	None	g	-13.2	1.38e-08	19	8	3.63e-10	2.7999999999999996e-10	1.42e-10	u	273	44	0.07	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 20:02:01	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF20	1.5	176.8	None	g	-11.9	1.35e-08	20	8	1.86e-10	3.29e-10	1.39e-10	u	273	45	0.08	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 20:03:25	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF21	1.5	176.8	None	g	-11.0	1.31e-08	21	8	1.78e-10	3.13e-10	1.38e-10	u	273	46	0.09	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 20:04:46	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF22	1.5	176.5	None	g	-10.0	1.3e-08	22	8	1.77e-10	3.09e-10	1.39e-10	u	273	47	0.1	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 20:06:08	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF23	1.4	176.8	None	g	-8.3	1.28e-08	23	8	1.81e-10	2.97e-10	1.42e-10	u	273	48	0.12	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.2	CF1	CF1.2b	CF1.2b:LP-DIR-AF	hargrave 2018-08-24 20:07:39	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.2b:LP-DIR-AF24	1.4	177.7	None	g	-12.4	1.29e-08	24	8	3.4e-10	2.55e-10	1.37e-10	u	273	49	0.13	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:09:14	LT-NO:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF0	1.0	210.1	None	g	-21.5	5.2e-08	0	8	2.56e-10	5.01e-10	7.45e-10	u	273	50	0.0	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:10:34	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF1	1.5	209.9	None	g	-21.0	5.2e-08	1	8	9.31e-10	5.74e-10	9.52e-10	u	273	51	0.001	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:11:59	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF2	1.4	209.9	None	g	-21.0	5.21e-08	2	8	7.330000000000001e-10	5.83e-10	9.74e-10	u	273	52	0.002	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:13:19	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF3	1.5	209.9	None	g	-21.0	5.2e-08	3	8	9.57e-10	5.96e-10	9.71e-10	u	273	53	0.003	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:14:40	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF4	1.5	210.0	None	g	-21.0	5.2e-08	4	8	9.42e-10	5.7e-10	9.71e-10	u	273	54	0.004	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:16:04	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF5	1.3	210.0	None	g	-20.9	5.21e-08	5	8	6.31e-10	5.63e-10	9.79e-10	u	273	55	0.005	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:17:28	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF6	1.5	210.2	None	g	-21.0	5.18e-08	6	8	9.33e-10	5.85e-10	9.69e-10	u	273	56	0.0075	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:18:48	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF7	1.5	210.4	None	g	-21.1	5.17e-08	7	8	9.47e-10	5.98e-10	9.71e-10	u	273	57	0.01	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:20:09	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF8	1.5	210.5	None	g	-21.1	5.1500000000000005e-08	8	8	9.17e-10	5.81e-10	9.67e-10	u	273	58	0.0125	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:21:30	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF9	1.6	210.8	None	g	-21.1	5.13e-08	9	8	9.58e-10	6.3e-10	9.65e-10	u	273	59	0.015	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:22:50	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF10	1.5	210.9	None	g	-21.2	5.08e-08	10	8	8.93e-10	5.75e-10	9.61e-10	u	273	60	0.02	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:24:11	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF11	1.4	210.9	None	g	-21.2	5.05e-08	11	8	5e-10	5.820000000000001e-10	9.51e-10	u	273	61	0.025	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:25:31	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF12	1.6	210.8	None	g	-21.4	4.95e-08	12	8	7.18e-10	8.699999999999998e-10	9.37e-10	u	273	62	0.03	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:26:58	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF13	1.5	210.6	None	g	-21.5	4.89e-08	13	8	4.79e-10	7.3e-10	9.38e-10	u	273	63	0.035	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:28:19	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF14	1.6	211.0	None	g	-21.6	4.79e-08	14	8	7.34e-10	7.75e-10	9.26e-10	u	273	64	0.04	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:29:39	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF15	1.7	210.9	None	g	-21.8	4.7e-08	15	8	7.439999999999999e-10	8.88e-10	9.08e-10	u	273	65	0.045	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:31:00	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF16	1.7	211.0	None	g	-21.9	4.63e-08	16	8	7.349999999999999e-10	8.92e-10	9.04e-10	u	273	66	0.05	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:32:21	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF17	1.7	211.0	None	g	-22.0	4.56e-08	17	8	7.7e-10	7.920000000000001e-10	8.97e-10	u	273	67	0.055	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.6	CF1	CF1.6b	CF1.6b:LP-DIR-AF	hargrave 2018-08-24 20:33:43	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.6b:LP-DIR-AF18	1.8	210.9	None	g	-22.1	4.4900000000000005e-08	18	8	7.75e-10	9.12e-10	8.780000000000002e-10	u	273	68	0.06	0	0.0	0.0	273
