tab 	specimens
analysts	citations	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	location	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	site	software_packages	specimen
	This study		mag	1.0	94.3	-63.6	1.4	1	10	100	AP2-4a:LP-DIR-T	hargrave 2016-05-18 11:21:20	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP2-4	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-4a
	This study		mag	1.1	86.2	-65.7	1.4	1	10	-1	AP2-5a:LP-DIR-T	hargrave 2016-05-18 11:22:55	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP2-5	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-5a
	This study		mag	1.1	111.2	-58.8	1.4	1	10	0	AP2-5a:LP-DIR-T	hargrave 2016-05-18 11:22:55	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP2-5	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-5a
	This study		mag	1.1	89.7	-65.5	1.4	1	10	100	AP2-5a:LP-DIR-T	hargrave 2016-05-18 11:22:55	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP2-5	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-5a
	This study		mag	0.2	98.0	-71.9	0.7	1	10	-1	AP2-6a:LP-DIR-T	hargrave 2016-05-18 11:24:28	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP2-6	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-6a
	This study		mag	0.2	110.2	-61.4	0.7	1	10	0	AP2-6a:LP-DIR-T	hargrave 2016-05-18 11:24:28	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP2-6	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-6a
	This study		mag	0.2	85.7	-67.6	0.7	1	10	100	AP2-6a:LP-DIR-T	hargrave 2016-05-18 11:24:28	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP2-6	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-6a
	This study		mag	0.3	111.0	-79.2	0.9	1	10	-1	AP2-7a:LP-DIR-T	hargrave 2016-05-18 11:25:57	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP2-7	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-7a
	This study		mag	0.3	111.2	-55.8	0.9	1	10	0	AP2-7a:LP-DIR-T	hargrave 2016-05-18 11:25:57	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP2-7	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-7a
	This study		mag	0.3	92.4	-62.7	0.9	1	10	100	AP2-7a:LP-DIR-T	hargrave 2016-05-18 11:25:57	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP2-7	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-7a
