tab 	pmag_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	sample_comp_name	sample_dec	sample_direction_type	sample_inc	sample_n	sample_n_lines	sample_n_planes	sample_tilt_correction
This study	North Shore Volcanics	ns015e	ns015	ns015e2	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	287.9	l	16.9	1	1	0	0
This study	North Shore Volcanics	ns015g	ns015	ns015g1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	296.6	l	16.8	1	1	0	0
This study	North Shore Volcanics	ns018a	ns018	ns018a1	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	319.8	l	3.5	1	1	0	0
This study	North Shore Volcanics	ns018b	ns018	ns018b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	307.8	l	9.7	1	1	0	0
This study	North Shore Volcanics	ns018c	ns018	ns018c1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	312	l	8.9	1	1	0	0
This study	North Shore Volcanics	ns018e	ns018	ns018e2	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	300.8	l	0.1	1	1	0	0
This study	North Shore Volcanics	ns018g	ns018	ns018g1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	322.4	l	5.2	1	1	0	0
This study	North Shore Volcanics	ns020a	ns020	ns020a1	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	302	l	1	1	1	0	0
This study	North Shore Volcanics	ns020b	ns020	ns020b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	310.2	l	5.8	1	1	0	0
This study	North Shore Volcanics	ns020c	ns020	ns020c1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	307.8	l	10	1	1	0	0
This study	North Shore Volcanics	ns020d	ns020	ns020d1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	301.7	l	9.8	1	1	0	0
This study	North Shore Volcanics	ns020e	ns020	ns020e2	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	297.4	l	9.5	1	1	0	0
This study	North Shore Volcanics	ns021a	ns021	ns021a1	LP-DIR-AF : LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	312.9	l	17.5	1	1	0	0
This study	North Shore Volcanics	ns021b	ns021	ns021b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	311.2	l	21.5	1	1	0	0
This study	North Shore Volcanics	ns021c	ns021	ns021c1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	309.8	l	24	1	1	0	0
This study	North Shore Volcanics	ns021d	ns021	ns021d2	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	310.6	l	21.3	1	1	0	0
This study	North Shore Volcanics	ns021e	ns021	ns021e1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	313.2	l	20.9	1	1	0	0
This study	North Shore Volcanics	ns023a	ns023	ns023a1	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	305.5	l	15.7	1	1	0	0
This study	North Shore Volcanics	ns023b	ns023	ns023b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	305.1	l	11.6	1	1	0	0
This study	North Shore Volcanics	ns023c	ns023	ns023c1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	304	l	16.2	1	1	0	0
This study	North Shore Volcanics	ns023e	ns023	ns023e1	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	307.9	l	11.8	1	1	0	0
