tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_name	specimen_correction	specimen_dec	specimen_description	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
This study	North Shore Volcanics	ns004e	ns004	ns004e1	ns004e1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	243.7	Magnetite remanence.	l	74.1	1.1	5	-1
This study	North Shore Volcanics	ns004f	ns004	ns004f1	ns004f1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	233.7	Magnetite remanence.	l	3.5	3	5	-1
This study	North Shore Volcanics	ns004g	ns004	ns004g1	ns004g1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.06	0.015	T		MAG	u	247.3	Magnetite remanence.	l	34	1.5	6	-1
This study	North Shore Volcanics	ns005b	ns005	ns005b1	ns005b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	273	K		MAG	u	198.2	Magnetite remanence.	l	-52.4	1.9	11	-1
This study	North Shore Volcanics	ns005c	ns005	ns005c1	ns005c1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	923	273	K		MAG	u	204.9	Magnetite remanence.	l	-50.2	1.8	8	-1
This study	North Shore Volcanics	ns005e	ns005	ns005e1	ns005e1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	923	273	K		MAG	u	181.2	Magnetite remanence.	l	-19	2.1	10	-1
This study	North Shore Volcanics	ns005g	ns005	ns005g1	ns005g1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	923	273	K		MAG	u	195.3	Magnetite remanence.	l	-16.1	2.1	10	-1
This study	North Shore Volcanics	ns009b	ns009	ns009b1	ns009b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	473	K		MAG	u	154.4	Magnetite remanence.	l	46.3	2	9	-1
This study	North Shore Volcanics	ns012a	ns012	ns012a1	ns012a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.18	0.05	T		MAG	u	125.1	Magnetite remanence.	l	23.7	1	7	-1
This study	North Shore Volcanics	ns015d	ns015	ns015d1	ns015d1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	923	673	K		MAG	u	349.3	Magnetite remanence.	l	53.9	0.7	4	-1
This study	North Shore Volcanics	ns016a	ns016	ns016a1	ns016a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.04	0.01	T		MAG	u	198	Magnetite remanence.	l	37.9	0.9	5	-1
This study	North Shore Volcanics	ns016b	ns016	ns016b1	ns016b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	723	K		MAG	u	203.9	Magnetite remanence.	l	37	1.1	5	-1
This study	North Shore Volcanics	ns016c	ns016	ns016c1	ns016c1 : LT-NO	LP-DIR-T : DE-BFP	pmagpy-2.03	773	373	K		MAG	u	28.9	Magnetite remanence.	p	60.2	5	5	-1
This study	North Shore Volcanics	ns016e	ns016	ns016e2	ns016e2 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	823	673	K		MAG	u	210.9	Magnetite remanence.	l	36.7	2.8	4	-1
This study	North Shore Volcanics	ns016f	ns016	ns016f1	ns016f1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	175.1	Magnetite remanence.	l	45.7	1.4	5	-1
This study	North Shore Volcanics	ns019a	ns019	ns019a1	ns019a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.18	0	T		MAG	u	219.2	Magnetite remanence.	l	14.8	0.9	14	-1
This study	North Shore Volcanics	ns019b	ns019	ns019b1	ns019b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	773	K		MAG	u	228.1	Magnetite remanence.	l	18.5	0.4	4	-1
This study	North Shore Volcanics	ns019c	ns019	ns019c1	ns019c1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	373	K		MAG	u	218.3	Magnetite remanence.	l	15.6	1.5	6	-1
This study	North Shore Volcanics	ns019d	ns019	ns019d2	ns019d2 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	723	K		MAG	u	214.8	Magnetite remanence.	l	10.9	0.6	4	-1
This study	North Shore Volcanics	ns019e	ns019	ns019e1	ns019e1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	212.6	Magnetite remanence.	l	-23.4	0.6	5	-1
This study	North Shore Volcanics	ns022a	ns022	ns022a1	ns022a1 : LT-NO	LP-DIR-AF : DE-BFP	pmagpy-2.03	0.15	0	T		MAG	u	58.1	Magnetite remanence.	p	32.3	4.2	13	-1
This study	North Shore Volcanics	ns022b	ns022	ns022b1	ns022b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	848	623	K		MAG	u	309.9	Magnetite remanence.	l	62.8	3.7	6	-1
This study	North Shore Volcanics	ns022c	ns022	ns022c1	ns022c1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	923	673	K		MAG	u	212.9	Magnetite remanence.	l	41.2	2.1	4	-1
This study	North Shore Volcanics	ns022e	ns022	ns022e1	ns022e1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	923	723	K		MAG	u	264.8	Magnetite remanence.	l	56.7	0.4	5	-1
This study	North Shore Volcanics	ns022f	ns022	ns022f1	ns022f1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	923	773	K		MAG	u	318.5	Magnetite remanence.	l	33	0.8	4	-1
This study	North Shore Volcanics	ns024a	ns024	ns024a1	ns024a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.18	0	T		MAG	u	356.5	Magnetite remanence.	l	-33.3	1	14	-1
This study	North Shore Volcanics	ns026a	ns026	ns026a1	ns026a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.15	0.02	T		MAG	u	232.3	Magnetite remanence.	l	-76.3	0.6	9	-1
