tab 	er_sites
er_citation_names	er_location_name	er_site_name	site_class	site_definition	site_description	site_lat	site_lithology	site_lon	site_type
This study	North Shore Volcanics	ns070	Igneous : Extrusive	s	nlwb; Lakewood Basalts.	46.86164	Rhyolite	268.04036	Lava Flow
This study	North Shore Volcanics	ns071	Igneous : Extrusive	s	nlwb; Lakewood Basalts.	46.8673	Basalt	268.04816	Lava Flow
This study	North Shore Volcanics	ns072	Igneous : Extrusive	s	nlwb; Lakewood Basalts.	46.85836	Rhyolite	268.03466	Lava Flow
This study	North Shore Volcanics	ns073	Igneous : Extrusive	s	nlwb; Lakewood Basalts.	46.86576	Rhyolite	268.04598	Lava Flow
This study	North Shore Volcanics	ns074	Igneous : Extrusive	s	nlwb; Lakewood Basalts.	46.85744	Rhyolite	268.03275	Lava Flow
This study	North Shore Volcanics	ns075	Igneous : Extrusive	s	nlwb; Lakewood Basalts.	46.86576	Rhyolite	268.04598	Lava Flow
This study	North Shore Volcanics	ns076	Igneous : Extrusive	s	nlwb; Lakewood Basalts.	46.85625	Rhyolite	268.03115	Lava Flow
This study	North Shore Volcanics	ns077	Igneous : Extrusive	s	nlwb; Lakewood Basalts.	46.86121	Basalt	268.03966	Lava Flow
This study	North Shore Volcanics	ns078	Igneous : Extrusive	s	nlwb; Lakewood Basalts.	46.85303	Rhyolite	268.02196	Lava Flow
This study	North Shore Volcanics	ns079	Igneous : Extrusive	s	nlwb; Lakewood Basalts.	46.85781	Basalt	268.03353	Lava Flow
This study	North Shore Volcanics	ns080	Igneous : Extrusive	s	nlwb; Lakewood Basalts.	46.8525	Rhyolite	268.02071	Lava Flow
This study	North Shore Volcanics	ns081	Igneous : Extrusive	s	nlwb; Lakewood Basalts.	46.85641	Basalt	268.0295	Lava Flow
This study	North Shore Volcanics	ns083	Igneous : Extrusive	s	nlwb; Lakewood Basalts.	46.85339	Basalt	268.02273	Lava Flow
This study	North Shore Volcanics	ns085	Igneous : Extrusive	s	nlwb; Lakewood Basalts.	46.8528	Rhyolite	268.02126	Lava Flow
This study	North Shore Volcanics	ns087	Igneous : Extrusive	s	nlwb; Lakewood Basalts.	46.85188	Not Specified	268.01965	Lava Flow
