tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	measurement_csd	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
This study	North Shore Volcanics	ns010e	ns010	ns010e1	ns010e1:LT-NO	LT-NO	0.6	2006:08:25:10:14:00.00	234.7	g	44.7	8.899e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns010e	ns010	ns010e2	ns010e2:LT-NO	LT-NO	0.4	2006:08:25:10:18:00.00	232.4	g	46.2	9.675e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns010f	ns010	ns010f1	ns010f1:LT-NO	LT-NO	0.6	2006:08:25:10:19:00.00	234.1	g	60.9	1.091e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns011a	ns011	ns011a1	ns011a1:LT-NO	LT-NO	0.3	2006:08:25:10:21:00.00	173.9	g	59.2	1.724e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns011a	ns011	ns011a2	ns011a2:LT-NO	LT-NO	0.4	2006:08:25:10:22:00.00	178.4	g	62.3	1.644e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns011a	ns011	ns011a3	ns011a3:LT-NO	LT-NO	0.3	2006:08:25:10:23:00.00	177.1	g	62.4	1.742e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns011b	ns011	ns011b1	ns011b1:LT-NO	LT-NO	0.3	2006:08:25:10:24:00.00	174.5	g	64.6	1.691e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns011b	ns011	ns011b2	ns011b2:LT-NO	LT-NO	0.3	2006:08:25:10:25:00.00	175.1	g	64.9	1.626e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns011c	ns011	ns011c1	ns011c1:LT-NO	LT-NO	0.5	2006:08:25:10:27:00.00	258.4	g	39.2	3.908e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns011c	ns011	ns011c2	ns011c2:LT-NO	LT-NO	0.5	2006:08:25:10:28:00.00	259.6	g	38.5	5.679e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns011c	ns011	ns011c3	ns011c3:LT-NO	LT-NO	0.8	2006:08:25:10:30:00.00	260.2	g	36	6.702e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns011d	ns011	ns011d1	ns011d1:LT-NO	LT-NO	0.6	2006:08:25:10:33:00.00	304	g	26.2	0.0001117	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns011d	ns011	ns011d2	ns011d2:LT-NO	LT-NO	0.5	2006:08:25:10:34:00.00	307.6	g	31.8	5.685e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns011e	ns011	ns011e1	ns011e1:LT-NO	LT-NO	0.4	2006:08:25:10:35:00.00	305.5	g	31.6	5.005e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns011e	ns011	ns011e2	ns011e2:LT-NO	LT-NO	0.3	2006:08:25:10:37:00.00	309.1	g	31.6	5.93e-05	1	4	u	273	SAN	0	0	0	0	273
