tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_date	sample_declination_correction	sample_description	sample_dip	sample_lat	sample_lithology	sample_lon	sample_orientation_flag	sample_time_zone	sample_type
This study	North Shore Volcanics	ns005e	ns005	FS-FD : SO-POM : SO-SUN	116.7	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-50	47.72542	Andesite	269.55701	g		Lava Flow
This study	North Shore Volcanics	ns005g	ns005	FS-FD : SO-POM : SO-SUN	109.1	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-47	47.72542	Andesite	269.55701	g		Lava Flow
This study	North Shore Volcanics	ns006b	ns006	FS-FD : SO-POM : SO-CMD-NORTH	330.1	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	358.1		-76	47.7161	Basalt	269.50957	g		Lava Flow
This study	North Shore Volcanics	ns006c	ns006	FS-FD : SO-POM : SO-CMD-NORTH	4.1	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	358.1		-78	47.7161	Basalt	269.50957	g		Lava Flow
This study	North Shore Volcanics	ns006d	ns006	FS-FD : SO-POM : SO-CMD-NORTH	353.1	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	358.1		-85	47.7161	Basalt	269.50957	g		Lava Flow
This study	North Shore Volcanics	ns006e	ns006	FS-FD : SO-POM : SO-CMD-NORTH	4.1	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	358.1		-87	47.7161	Basalt	269.50957	g		Lava Flow
This study	North Shore Volcanics	ns006f	ns006	FS-FD : SO-POM : SO-GT5 : SO-CMD-NORTH	3.1	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	358.1		-88	47.7161	Basalt	269.50957	g		Lava Flow
This study	North Shore Volcanics	ns007a	ns007	FS-FD : SO-POM : SO-GT5 : SO-CMD-NORTH	349.2	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	358.2		-8	47.70123	Basalt	269.46093	g		Lava Flow
This study	North Shore Volcanics	ns007c	ns007	FS-FD : SO-POM : SO-SUN	297.2	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-7	47.70123	Basalt	269.46093	g		Lava Flow
This study	North Shore Volcanics	ns007d	ns007	FS-FD : SO-POM : SO-SUN	299.4	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-16	47.70123	Basalt	269.46093	g		Lava Flow
This study	North Shore Volcanics	ns007f	ns007	FS-FD : SO-POM : SO-CMD-NORTH	258.2	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	358.2		-68	47.70123	Basalt	269.46093	g		Lava Flow
This study	North Shore Volcanics	ns007g	ns007	FS-FD : SO-POM : SO-CMD-NORTH	295.2	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	358.2		-67	47.70123	Basalt	269.46093	g		Lava Flow
This study	North Shore Volcanics	ns008a	ns008	FS-FD : SO-POM : SO-SUN	260.6	12	159	Igneous : Intrusive	2006:07:10:00:00:00.00	0		-96	47.60108	Diorite	269.21345	g		Sill
This study	North Shore Volcanics	ns008b	ns008	FS-FD : SO-POM : SO-SUN	258.2	12	159	Igneous : Intrusive	2006:07:10:00:00:00.00	0		-90	47.60108	Diorite	269.21345	g		Sill
This study	North Shore Volcanics	ns008c	ns008	FS-FD : SO-POM : SO-SUN	322.7	12	159	Igneous : Intrusive	2006:07:10:00:00:00.00	0		-107	47.60108	Diorite	269.21345	g		Sill
This study	North Shore Volcanics	ns008d	ns008	FS-FD : SO-POM : SO-SUN	315.8	12	159	Igneous : Intrusive	2006:07:10:00:00:00.00	0		-111	47.60108	Diorite	269.21345	g		Sill
This study	North Shore Volcanics	ns008h	ns008	FS-FD : SO-POM : SO-SUN	330.3	12	159	Igneous : Intrusive	2006:07:10:00:00:00.00	0		-95	47.60108	Diorite	269.21345	g		Sill
This study	North Shore Volcanics	ns009a	ns009	FS-FD : SO-POM : SO-SUN	313.3	12	159	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-75	47.59789	Basalt	269.2085	g		Lava Flow
This study	North Shore Volcanics	ns009b	ns009	FS-FD : SO-POM : SO-SUN	263.7	12	159	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-85	47.59789	Basalt	269.2085	g		Lava Flow
This study	North Shore Volcanics	ns009c	ns009	FS-FD : SO-POM : SO-SUN	302.5	12	159	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-81	47.59789	Basalt	269.2085	g		Lava Flow
This study	North Shore Volcanics	ns009e	ns009	FS-FD : SO-POM : SO-SUN	309	12	159	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-61	47.59789	Basalt	269.2085	g		Lava Flow
This study	North Shore Volcanics	ns009f	ns009	FS-FD : SO-POM : SO-SUN	356.6	12	159	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-85	47.59789	Basalt	269.2085	g		Lava Flow
This study	North Shore Volcanics	ns010a	ns010	FS-FD : SO-POM : SO-SUN	323	12	159	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-87	47.59411	Basalt	269.20271	g		Lava Flow
This study	North Shore Volcanics	ns010b	ns010	FS-FD : SO-POM : SO-GT5 : SO-SUN	322.1	12	159	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-91	47.59411	Basalt	269.20271	g		Lava Flow
This study	North Shore Volcanics	ns010c	ns010	FS-FD : SO-POM : SO-SUN	303.6	12	159	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-70.5	47.59411	Basalt	269.20271	g		Lava Flow
This study	North Shore Volcanics	ns010d	ns010	FS-FD : SO-POM : SO-SUN	291.1	12	159	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-69	47.59411	Basalt	269.20271	g		Lava Flow
This study	North Shore Volcanics	ns010e	ns010	FS-FD : SO-POM : SO-SUN	344.6	12	159	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-79	47.59411	Basalt	269.20271	g		Lava Flow
This study	North Shore Volcanics	ns011a	ns011	FS-FD : SO-POM : SO-SUN	288.6	12	159	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-97	47.58531	Basalt	269.18479	g		Lava Flow
This study	North Shore Volcanics	ns011b	ns011	FS-FD : SO-POM : SO-SUN	287.8	12	159	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-93	47.58531	Basalt	269.18479	g		Lava Flow
This study	North Shore Volcanics	ns011c	ns011	FS-FD : SO-POM : SO-SUN	347.9	12	159	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-76	47.58531	Basalt	269.18479	g		Lava Flow
This study	North Shore Volcanics	ns011d	ns011	FS-FD : SO-POM : SO-SUN	347.3	12	159	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-8	47.58531	Basalt	269.18479	g		Lava Flow
This study	North Shore Volcanics	ns011e	ns011	FS-FD : SO-POM : SO-SUN	343.2	12	159	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-24	47.58531	Basalt	269.18479	g		Lava Flow
This study	North Shore Volcanics	ns012a	ns012	FS-FD : SO-POM : SO-SUN	221.3	12	149	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-84	47.54605	Basalt	269.10639	g		Lava Flow
This study	North Shore Volcanics	ns012b	ns012	FS-FD : SO-POM : SO-SUN	210.2	12	149	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-81	47.54605	Basalt	269.10639	g		Lava Flow
This study	North Shore Volcanics	ns012c	ns012	FS-FD : SO-POM : SO-SUN	207.5	12	149	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-77	47.54605	Basalt	269.10639	g		Lava Flow
This study	North Shore Volcanics	ns012d	ns012	FS-FD : SO-POM : SO-GT5 : SO-SUN	236	12	149	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-87.5	47.54605	Basalt	269.10639	g		Lava Flow
This study	North Shore Volcanics	ns012e	ns012	FS-FD : SO-POM : SO-SUN	246.9	12	149	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-76	47.54605	Basalt	269.10639	g		Lava Flow
This study	North Shore Volcanics	ns013a	ns013	FS-FD : SO-POM : SO-SUN	353	12	149	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-54	47.55097	Basalt	269.11716	g		Lava Flow
This study	North Shore Volcanics	ns013c	ns013	FS-FD : SO-POM : SO-SUN	344.3	12	149	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-43	47.55097	Basalt	269.11716	g		Lava Flow
This study	North Shore Volcanics	ns013d	ns013	FS-FD : SO-POM : SO-SUN	302.7	12	149	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-37	47.55097	Basalt	269.11716	g		Lava Flow
This study	North Shore Volcanics	ns013e	ns013	FS-FD : SO-POM : SO-SUN	356.7	12	149	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-81	47.55097	Basalt	269.11716	g		Lava Flow
This study	North Shore Volcanics	ns014a	ns014	FS-FD : SO-POM : SO-SUN	313.3	12	145	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-22	47.46915	Basalt	268.98572	g		Lava Flow
This study	North Shore Volcanics	ns014b	ns014	FS-FD : SO-POM : SO-SUN	300.2	12	145	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-4	47.46915	Basalt	268.98572	g		Lava Flow
This study	North Shore Volcanics	ns014c	ns014	FS-FD : SO-POM : SO-SUN	159.1	12	145	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-7	47.46915	Basalt	268.98572	g		Lava Flow
This study	North Shore Volcanics	ns014d	ns014	FS-FD : SO-POM : SO-SUN	317.4	12	145	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-9	47.46915	Basalt	268.98572	g		Lava Flow
This study	North Shore Volcanics	ns014f	ns014	FS-FD : SO-POM : SO-SUN	344.4	12	145	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-10	47.46915	Basalt	268.98572	g		Lava Flow
This study	North Shore Volcanics	ns015a	ns015	FS-FD : SO-POM : SO-SUN	176.2	12	145	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-55	47.46923	Basalt	268.9863	g		Lava Flow
This study	North Shore Volcanics	ns015b	ns015	FS-FD : SO-POM : SO-SUN	172	12	145	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-61	47.46923	Basalt	268.9863	g		Lava Flow
This study	North Shore Volcanics	ns015d	ns015	FS-FD : SO-POM : SO-SUN	300.7	12	145	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-41	47.46923	Basalt	268.9863	g		Lava Flow
This study	North Shore Volcanics	ns015e	ns015	FS-FD : SO-POM : SO-SUN	299.8	12	145	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-31	47.46923	Basalt	268.9863	g		Lava Flow
This study	North Shore Volcanics	ns015g	ns015	FS-FD : SO-POM : SO-SUN	323.8	12	145	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-27	47.46923	Basalt	268.9863	g		Lava Flow
This study	North Shore Volcanics	ns016a	ns016	FS-FD : SO-POM : SO-SUN	308.6	12	167	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-91	47.74304	Basalt	269.6176	g		Lava Flow
This study	North Shore Volcanics	ns016b	ns016	FS-FD : SO-POM : SO-SUN	309.4	12	167	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-92	47.74304	Basalt	269.6176	g		Lava Flow
This study	North Shore Volcanics	ns016c	ns016	FS-FD : SO-POM : SO-SUN	0.5	12	167	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-65	47.74304	Basalt	269.6176	g		Lava Flow
This study	North Shore Volcanics	ns016e	ns016	FS-FD : SO-POM : SO-SUN	0	12	167	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-76	47.74304	Basalt	269.6176	g		Lava Flow
This study	North Shore Volcanics	ns016f	ns016	FS-FD : SO-POM : SO-SUN	284	12	167	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-82	47.74304	Basalt	269.6176	g		Lava Flow
This study	North Shore Volcanics	ns017a	ns017	FS-FD : SO-POM : SO-GT5 : SO-SUN	155.1	0	0	Igneous : Extrusive	2006:07:10:00:00:00.00	0		-78	47.38919	Basalt	268.86152	g		Lava Flow
This study	North Shore Volcanics	ns017c	ns017	FS-FD : SO-POM : SO-CMD-NORTH	93.8	0	0	Igneous : Extrusive	2006:07:10:00:00:00.00	358.8		-2	47.38919	Basalt	268.86152	g		Lava Flow
This study	North Shore Volcanics	ns017d	ns017	FS-FD : SO-POM : SO-CMD-NORTH	154.8	0	0	Igneous : Extrusive	2006:07:10:00:00:00.00	358.8		-1.5	47.38919	Basalt	268.86152	g		Lava Flow
This study	North Shore Volcanics	ns017f	ns017	FS-FD : SO-POM : SO-CMD-NORTH	20.8	12	140	Igneous : Extrusive	2006:07:10:00:00:00.00	358.8		-3	47.38919	Basalt	268.86152	g		Lava Flow
This study	North Shore Volcanics	ns018a	ns018	FS-FD : SO-POM : SO-GT5 : SO-SUN	117.4	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-16	47.77667	Basalt	269.7907	g		Lava Flow
This study	North Shore Volcanics	ns018b	ns018	FS-FD : SO-POM : SO-SUN	103.5	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-30	47.77667	Basalt	269.7907	g		Lava Flow
This study	North Shore Volcanics	ns018c	ns018	FS-FD : SO-POM : SO-SUN	123.3	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-11	47.77667	Basalt	269.7907	g		Lava Flow
This study	North Shore Volcanics	ns018e	ns018	FS-FD : SO-POM : SO-SUN	108.1	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-16	47.77667	Basalt	269.7907	g		Lava Flow
This study	North Shore Volcanics	ns018g	ns018	FS-FD : SO-POM : SO-SUN	237.7	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-6	47.77667	Basalt	269.7907	g		Lava Flow
This study	North Shore Volcanics	ns019a	ns019	FS-FD : SO-POM : SO-SUN	7.8	12	166	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-81	47.74169	Basalt	269.60941	g		Lava Flow
This study	North Shore Volcanics	ns019b	ns019	FS-FD : SO-POM : SO-GT5 : SO-SUN	359.3	12	166	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-83	47.74169	Basalt	269.60941	g		Lava Flow
This study	North Shore Volcanics	ns019c	ns019	FS-FD : SO-POM : SO-SUN	354.1	12	166	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-87.5	47.74169	Basalt	269.60941	g		Lava Flow
This study	North Shore Volcanics	ns019d	ns019	FS-FD : SO-POM : SO-SUN	355.1	12	166	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-92	47.74169	Basalt	269.60941	g		Lava Flow
This study	North Shore Volcanics	ns019e	ns019	FS-FD : SO-POM : SO-SUN	56.8	12	166	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-92	47.74169	Basalt	269.60941	g		Lava Flow
This study	North Shore Volcanics	ns020a	ns020	FS-FD : SO-POM : SO-GT5 : SO-SUN	287.7	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-63	47.77857	Basalt	269.80928	g		Lava Flow
This study	North Shore Volcanics	ns020b	ns020	FS-FD : SO-POM : SO-SUN	339.4	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-85	47.77857	Basalt	269.80928	g		Lava Flow
This study	North Shore Volcanics	ns020c	ns020	FS-FD : SO-POM : SO-SUN	288.2	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-41	47.77857	Basalt	269.80928	g		Lava Flow
This study	North Shore Volcanics	ns020d	ns020	FS-FD : SO-POM : SO-GT5 : SO-SUN	285.5	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-62	47.77857	Basalt	269.80928	g		Lava Flow
This study	North Shore Volcanics	ns020e	ns020	FS-FD : SO-POM : SO-SUN	337.7	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-102	47.77857	Basalt	269.80928	g		Lava Flow
This study	North Shore Volcanics	ns021a	ns021	FS-FD : SO-POM : SO-CMD-NORTH	342.8	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	357.8		-38	47.77705	Rhyolite	269.7795	g		Lava Flow
This study	North Shore Volcanics	ns021b	ns021	FS-FD : SO-POM : SO-SUN	309.6	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-83	47.77705	Rhyolite	269.7795	g		Lava Flow
This study	North Shore Volcanics	ns021c	ns021	FS-FD : SO-POM : SO-SUN	299.2	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-37	47.77705	Rhyolite	269.7795	g		Lava Flow
This study	North Shore Volcanics	ns021d	ns021	FS-FD : SO-POM : SO-SUN	71.9	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-32	47.77705	Rhyolite	269.7795	g		Lava Flow
This study	North Shore Volcanics	ns021e	ns021	FS-FD : SO-POM : SO-SUN	75	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-18	47.77705	Rhyolite	269.7795	g		Lava Flow
This study	North Shore Volcanics	ns022a	ns022	FS-FD : SO-POM : SO-SUN	351.2	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-58	47.79647	Rhyolite	269.87137	g		Lava Flow
This study	North Shore Volcanics	ns022b	ns022	FS-FD : SO-POM : SO-GT5 : SO-SUN	327.9	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-32	47.79647	Rhyolite	269.87137	g		Lava Flow
This study	North Shore Volcanics	ns022c	ns022	FS-FD : SO-POM : SO-SUN	338	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-94	47.79647	Rhyolite	269.87137	g		Lava Flow
This study	North Shore Volcanics	ns022e	ns022	FS-FD : SO-POM : SO-GT5 : SO-SUN	345.6	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-57	47.79647	Rhyolite	269.87137	g		Lava Flow
This study	North Shore Volcanics	ns022f	ns022	FS-FD : SO-POM : SO-SUN	347.4	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-7	47.79647	Rhyolite	269.87137	g		Lava Flow
This study	North Shore Volcanics	ns023a	ns023	FS-FD : SO-POM : SO-SUN	60.9	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-102	47.77633	Basalt	269.79895	g		Lava Flow
This study	North Shore Volcanics	ns023b	ns023	FS-FD : SO-POM : SO-SUN	306.7	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-81	47.77633	Basalt	269.79895	g		Lava Flow
This study	North Shore Volcanics	ns023c	ns023	FS-FD : SO-POM : SO-SUN	322.6	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-80	47.77633	Basalt	269.79895	g		Lava Flow
This study	North Shore Volcanics	ns023e	ns023	FS-FD : SO-POM : SO-CMD-NORTH	324.8	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	357.8		-92	47.77633	Basalt	269.79895	g		Lava Flow
This study	North Shore Volcanics	ns023g	ns023	FS-FD : SO-POM : SO-SUN	284.2	10	180	Igneous : Extrusive	2006:07:11:00:00:00.00	0		-70	47.77633	Basalt	269.79895	g		Lava Flow
This study	North Shore Volcanics	ns024a	ns024	FS-FD : SO-POM : SO-SUN	311.3	10	190	Igneous : Extrusive	2006:07:12:00:00:00.00	0		-79	47.92843	Basalt	270.27459	g		Lava Flow
This study	North Shore Volcanics	ns024b	ns024	FS-FD : SO-POM : SO-SUN	318.4	10	190	Igneous : Extrusive	2006:07:12:00:00:00.00	0		-62	47.92843	Basalt	270.27459	g		Lava Flow
This study	North Shore Volcanics	ns024c	ns024	FS-FD : SO-POM : SO-SUN	313.2	10	190	Igneous : Extrusive	2006:07:12:00:00:00.00	0		-71	47.92843	Basalt	270.27459	g		Lava Flow
This study	North Shore Volcanics	ns024e	ns024	FS-FD : SO-POM : SO-SUN	309.3	10	190	Igneous : Extrusive	2006:07:12:00:00:00.00	0		-79	47.92843	Basalt	270.27459	g		Lava Flow
This study	North Shore Volcanics	ns024f	ns024	FS-FD : SO-POM : SO-SUN	337.9	10	190	Igneous : Extrusive	2006:07:12:00:00:00.00	0		-67	47.92843	Basalt	270.27459	g		Lava Flow
This study	North Shore Volcanics	ns025a	ns025	FS-FD : SO-POM : SO-SUN	303.5	10	180	Igneous : Intrusive	2006:07:12:00:00:00.00	0		-68	47.77634	Diabase	269.79893	g		Sill
This study	North Shore Volcanics	ns025b	ns025	FS-FD : SO-POM : SO-GT5 : SO-SUN	323.8	10	180	Igneous : Intrusive	2006:07:12:00:00:00.00	0		-38	47.77634	Diabase	269.79893	g		Sill
This study	North Shore Volcanics	ns025d	ns025	FS-FD : SO-POM : SO-SUN	245.6	10	180	Igneous : Intrusive	2006:07:12:00:00:00.00	0		-85	47.77634	Diabase	269.79893	g		Sill
This study	North Shore Volcanics	ns025e	ns025	FS-FD : SO-POM : SO-SUN	319.3	10	180	Igneous : Intrusive	2006:07:12:00:00:00.00	0		-59	47.77634	Diabase	269.79893	g		Sill
This study	North Shore Volcanics	ns025g	ns025	FS-FD : SO-POM : SO-SUN	252.6	10	180	Igneous : Intrusive	2006:07:12:00:00:00.00	0		-65	47.77634	Diabase	269.79893	g		Sill
This study	North Shore Volcanics	ns026a	ns026	FS-FD : SO-POM : SO-SUN	300.3	10	190	Igneous : Extrusive	2006:07:12:00:00:00.00	0		-24	47.91243	Andesite	270.24872	g		Lava Flow
This study	North Shore Volcanics	ns026b	ns026	FS-FD : SO-POM : SO-SUN	263.1	10	190	Igneous : Extrusive	2006:07:12:00:00:00.00	0		-19	47.91243	Andesite	270.24872	g		Lava Flow
This study	North Shore Volcanics	ns026c	ns026	FS-FD : SO-POM : SO-SUN	348.9	10	190	Igneous : Extrusive	2006:07:12:00:00:00.00	0		-89	47.91243	Andesite	270.24872	g		Lava Flow
This study	North Shore Volcanics	ns026d	ns026	FS-FD : SO-POM : SO-GT5 : SO-SUN	337.5	10	190	Igneous : Extrusive	2006:07:12:00:00:00.00	0		-50	47.91243	Andesite	270.24872	g		Lava Flow
This study	North Shore Volcanics	ns026e	ns026	FS-FD : SO-POM : SO-SUN	300.8	10	190	Igneous : Extrusive	2006:07:12:00:00:00.00	0		-33	47.91243	Andesite	270.24872	g		Lava Flow
This study	North Shore Volcanics	ns027a	ns027	FS-FD : SO-POM : SO-GT5 : SO-SUN	334.2	10	190	Igneous : Intrusive	2006:07:12:00:00:00.00	0		-33	47.90276	Diabase	270.22183	g		Sill
This study	North Shore Volcanics	ns027b	ns027	FS-FD : SO-POM : SO-GT5 : SO-SUN	345.2	10	190	Igneous : Intrusive	2006:07:12:00:00:00.00	0		-78	47.90276	Diabase	270.22183	g		Sill
This study	North Shore Volcanics	ns027c	ns027	FS-FD : SO-POM : SO-SUN	284.9	10	190	Igneous : Intrusive	2006:07:12:00:00:00.00	0		-80	47.90276	Diabase	270.22183	g		Sill
This study	North Shore Volcanics	ns027d	ns027	FS-FD : SO-POM : SO-SUN	333.2	10	190	Igneous : Intrusive	2006:07:12:00:00:00.00	0		-82	47.90276	Diabase	270.22183	g		Sill
This study	North Shore Volcanics	ns027e	ns027	FS-FD : SO-POM : SO-GT5 : SO-SUN	314	10	190	Igneous : Intrusive	2006:07:12:00:00:00.00	0		-99	47.90276	Diabase	270.22183	g		Sill
This study	North Shore Volcanics	ns028a	ns028	FS-FD : SO-POM : SO-SUN	330.1	14	177	Igneous : Extrusive	2006:07:12:00:00:00.00	0		-88.5	47.76711	Basalt	269.66823	g		Lava Flow
