tab 	pmag_sites
er_citation_names	er_location_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_inc	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
This study	North Shore Volcanics	ns042	ns042c1 : ns042d1 : ns042e2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	7.1	MAG	288.7	Magnetite remanence.	40.4	306.7	3	3	0	n	2.9935	100
This study	North Shore Volcanics	ns043	ns043a1 : ns043b1 : ns043c2 : ns043e1 : ns043f2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	5.5	MAG	276.1	Magnetite remanence.	16.8	196.7	5	5	0	n	4.9797	0
This study	North Shore Volcanics	ns043	ns043a1 : ns043b1 : ns043c2 : ns043e1 : ns043f2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	5.5	MAG	274	Magnetite remanence.	32.2	196.4	5	5	0	n	4.9796	100
This study	North Shore Volcanics	ns045	ns045a1 : ns045b1 : ns045e1 : ns045f1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	2.6	MAG	275.1	Magnetite remanence.	15.4	1285.3	4	4	0	n	3.9977	0
This study	North Shore Volcanics	ns045	ns045a1 : ns045b1 : ns045e1 : ns045f1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	2.6	MAG	273	Magnetite remanence.	30.7	1278.4	4	4	0	n	3.9977	100
This study	North Shore Volcanics	ns046	ns046b1 : ns046c1 : ns046f1 : ns046h2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	7	MAG	302.2	Magnetite remanence.	27	171	4	4	0	n	3.9825	0
This study	North Shore Volcanics	ns046	ns046b1 : ns046c1 : ns046f1 : ns046h2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	7.1	MAG	304.4	Magnetite remanence.	42.8	170.3	4	4	0	n	3.9824	100
This study	North Shore Volcanics	ns047	ns047b1 : ns047c2 : ns047e1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	3	MAG	307.4	Magnetite remanence.	40.5	1722.3	3	3	0	n	2.9988	0
This study	North Shore Volcanics	ns047	ns047b1 : ns047c2 : ns047e1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	2.9	MAG	313	Magnetite remanence.	55.8	1760	3	3	0	n	2.9989	100
This study	North Shore Volcanics	ns048	ns048b1 : ns048c1 : ns048d1 : ns048e2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	7.7	MAG	302	Magnetite remanence.	40.6	141.7	4	4	0	n	3.9788	0
This study	North Shore Volcanics	ns048	ns048b1 : ns048c1 : ns048d1 : ns048e2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	7.7	MAG	305.8	Magnetite remanence.	56.3	142	4	4	0	n	3.9789	100
This study	North Shore Volcanics	ns049	ns049a1 : ns049b1 : ns049e2 : ns049f2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	7	MAG	299.9	Magnetite remanence.	38.4	175.6	4	4	0	n	3.9829	0
This study	North Shore Volcanics	ns049	ns049a1 : ns049b1 : ns049e2 : ns049f2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	6.9	MAG	302.6	Magnetite remanence.	54.2	176.2	4	4	0	n	3.983	100
This study	North Shore Volcanics	ns050	ns050a1 : ns050c1 : ns050d2 : ns050f1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	4.2	MAG	291.2	Magnetite remanence.	26.7	473.6	4	4	0	n	3.9937	0
This study	North Shore Volcanics	ns050	ns050a1 : ns050c1 : ns050d2 : ns050f1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	4.2	MAG	291.3	Magnetite remanence.	44.7	473.1	4	4	0	n	3.9937	100
This study	North Shore Volcanics	ns051	ns051c1 : ns051d1 : ns051e1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	7.6	MAG	291.3	Magnetite remanence.	22.9	264.3	3	3	0	n	2.9924	0
This study	North Shore Volcanics	ns051	ns051c1 : ns051d1 : ns051e1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	7.6	MAG	291.4	Magnetite remanence.	40.9	262.3	3	3	0	n	2.9924	100
This study	North Shore Volcanics	ns052	ns052a1 : ns052c1 : ns052d1 : ns052f1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	6.9	MAG	294.8	Magnetite remanence.	38.2	180.8	4	4	0	n	3.9834	0
This study	North Shore Volcanics	ns052	ns052a1 : ns052c1 : ns052d1 : ns052f1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	6.9	MAG	295.8	Magnetite remanence.	54.2	180.8	4	4	0	n	3.9834	100
This study	North Shore Volcanics	ns053	ns053b1 : ns053c1 : ns053e2 : ns053f2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	3.3	MAG	293.7	Magnetite remanence.	24.2	785	4	4	0	n	3.9962	0
