tab	sites																																			
site	location	samples	specimens	age	age_high	age_low	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	height	lat	lon	geologic_classes	geologic_types	lithologies	analysts	software_packages	citations	method_codes	result_quality	result_type	vgp_dm	vgp_dp	vgp_lat	vgp_lon	dir_n_specimens
CF3	Copper Falls State Park	CF3.3:CF3.4	CF3.3b:CF3.4b	1100	1105	1098		Ma	7.3	HC	248	62.8	1167	2	2	0	t	1.9991	0	4.40833	46.37524	269.36341	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	11.4	9	18.6	224.8	2
CF3	Copper Falls State Park	CF3.3:CF3.4	CF3.3b:CF3.4b	1100	1105	1098		Ma	7.2	HC	302.1	23.6	1206	2	2	0	t	1.9992	100	4.40833	46.37524	269.36341	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	i	7.7	4.1	30.8	163.9	2
CF30	Copper Falls State Park	CF30.2:CF30.3:CF30.4:CF30.5:CF30.6:CF30.7:CF30.8	CF30.2b:CF30.3b:CF30.4b:CF30.5b:CF30.6b:CF30.7b:CF30.8b	1100	1105	1098		Ma	5.3	HC	234.1	73.9	130	7	7	0	t	6.954	0	0	46.37149	269.36802	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	9.6	8.6	25.1	242.8	7
CF30	Copper Falls State Park	CF30.2:CF30.3:CF30.4:CF30.5:CF30.6:CF30.7:CF30.8	CF30.2b:CF30.3b:CF30.4b:CF30.5b:CF30.6b:CF30.7b:CF30.8b	1100	1105	1098		Ma	5.3	HC	313.1	30.7	130	7	7	0	n	6.9539	100	0	46.37149	269.36802	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	5.9	3.3	41.1	157.7	7
CF31	Copper Falls State Park	CF31.2:CF31.3:CF31.4:CF31.5:CF31.6:CF31.7:CF31.8	CF31.2b:CF31.3b:CF31.4b:CF31.5b:CF31.6b:CF31.7b:CF31.8b	1100	1105	1098		Ma	6.3	HC	302.3	10.7	94	7	7	0	t	6.9363	100	0	46.37143	269.36808	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	6.4	3.2	25.8	158.5	7
CF31	Copper Falls State Park	CF31.2:CF31.3:CF31.4:CF31.5:CF31.6:CF31.7:CF31.8	CF31.2b:CF31.3b:CF31.4b:CF31.5b:CF31.6b:CF31.7b:CF31.8b	1100	1105	1098		Ma	6.3	HC	270.5	56.5	94	7	7	0	t	6.9362	0	0	46.37143	269.36808	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	9.1	6.6	26.2	206.6	7
CF32	Copper Falls State Park			1100	1105	1098		Ma												0	46.37151	269.36835	Extrusive	Lava Flow	Basaltic Lava			This study		g	i					
CF33	Copper Falls State Park	CF33.2:CF33.5:CF33.7:CF33.8	CF33.2b:CF33.5b:CF33.7b:CF33.8b	1100	1105	1098		Ma	12.5	HC	298.8	17.2	55	4	4	0	t	3.9454	100	0	46.3714	269.36835	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	12.9	6.7	26.1	163.9	4
CF33	Copper Falls State Park	CF33.2:CF33.5:CF33.7:CF33.8	CF33.2b:CF33.5b:CF33.7b:CF33.8b	1100	1105	1098		Ma	12.5	HC	257.2	57.4	55	4	4	0	t	3.9453	0	0	46.3714	269.36835	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	18.3	13.4	19	215	4
CF34	Copper Falls State Park			1100	1105	1098		Ma												0	46.37128	269.36835	Extrusive	Lava Flow	Basaltic Lava			This study		g	i					
CF35	Copper Falls State Park	CF35.3:CF35.4	CF35.3b:CF35.4b	1100	1105	1098		Ma	9.4	HC	290.6	-2.6	705	2	2	0	t	1.9986	100	0	46.37129	269.36848	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	i	9.4	4.7	13.1	163.3	2
CF35	Copper Falls State Park	CF35.3:CF35.4	CF35.3b:CF35.4b	1100	1105	1098		Ma	9.5	HC	273.9	39	686	2	2	0	t	1.9985	0	0	46.37129	269.36848	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	11.3	6.8	18.4	192.4	2
CF4	Copper Falls State Park	CF4.1:CF4.7:CF4.8	CF4.1b:CF4.7b:CF4.8b	1100	1105	1098		Ma	33.1	HC	312.7	36.7	15	3	3	0	n	2.8658	100	5.43333	46.37516	269.36382	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	38.7	22.6	43.7	161.7	3
CF4	Copper Falls State Park	CF4.1:CF4.7:CF4.8	CF4.1b:CF4.7b:CF4.8b	1100	1105	1098		Ma	33.2	HC	213.7	72.7	15	3	3	0	t	2.8653	0	5.43333	46.37516	269.36382	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	59	52.5	18.1	251.4	3
CF5	Copper Falls State Park	CF5.2:CF5.3:CF5.4:CF5.5:CF5.6:CF5.7:CF5.9	CF5.2b:CF5.3b:CF5.4b:CF5.5b:CF5.6b:CF5.7b:CF5.9b	1100	1105	1098		Ma	13.8	HC	261.5	63.9	20	7	7	0	t	6.7027	0	9.34286	46.37502	269.3637	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	22	17.5	26.5	218.7	7
CF5	Copper Falls State Park	CF5.2:CF5.3:CF5.4:CF5.5:CF5.6:CF5.7:CF5.9	CF5.2b:CF5.3b:CF5.4b:CF5.5b:CF5.6b:CF5.7b:CF5.9b	1100	1105	1098		Ma	13.8	HC	305.9	18.6	20	7	7	0	t	6.7032	100	9.34286	46.37502	269.3637	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	14.4	7.5	31.3	158.5	7
CF6	Copper Falls State Park	CF6.1:CF6.2:CF6.3:CF6.4:CF6.5:CF6.6:CF6.7	CF6.1b:CF6.2b:CF6.3b:CF6.4b:CF6.5b:CF6.6b:CF6.7b	1100	1105	1098		Ma	1.8	HC	244	67.4	1107	7	7	0	t	6.9946	0	7.65714	46.37454	269.36398	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3	2.5	21.3	231.3	7
CF6	Copper Falls State Park	CF6.1:CF6.2:CF6.3:CF6.4:CF6.5:CF6.6:CF6.7	CF6.1b:CF6.2b:CF6.3b:CF6.4b:CF6.5b:CF6.6b:CF6.7b	1100	1105	1098		Ma	1.8	HC	306.3	26.6	1118	7	7	0	t	6.9946	100	7.65714	46.37454	269.36398	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	2	1.1	34.9	161.8	7
CF7	Copper Falls State Park	CF7.1:CF7.2:CF7.3:CF7.4:CF7.7:CF7.8	CF7.1b:CF7.2b:CF7.3b:CF7.4b:CF7.7b:CF7.8b	1100	1105	1098		Ma	5.5	HC	233.1	73.4	148	6	6	0	t	5.9661	0	5.2	46.37446	269.36407	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	9.9	8.8	24.2	242.7	6
CF7	Copper Falls State Park	CF7.1:CF7.2:CF7.3:CF7.4:CF7.7:CF7.8	CF7.1b:CF7.2b:CF7.3b:CF7.4b:CF7.7b:CF7.8b	1100	1105	1098		Ma	5.5	HC	312.6	31	147	6	6	0	n	5.9661	100	5.2	46.37446	269.36407	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	6.1	3.4	41	158.4	6
CF8	Copper Falls State Park	CF8.1:CF8.2:CF8.3:CF8.4:CF8.5:CF8.6:CF8.7:CF8.8	CF8.1b:CF8.2b:CF8.3b:CF8.4b:CF8.5b:CF8.6b:CF8.7b:CF8.8b	1100	1105	1098		Ma	2.8	HC	226.2	55.7	389	8	8	0	t	7.982	0	4.08125	46.3741	269.36426	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	4	2.9	2.5	233.7	8
CF8	Copper Falls State Park	CF8.1:CF8.2:CF8.3:CF8.4:CF8.5:CF8.6:CF8.7:CF8.8	CF8.1b:CF8.2b:CF8.3b:CF8.4b:CF8.5b:CF8.6b:CF8.7b:CF8.8b	1100	1105	1098		Ma	2.8	HC	291.6	32.9	390	8	8	0	t	7.9821	100	4.08125	46.3741	269.36426	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	3.2	1.8	27.7	176.7	8
CF9	Copper Falls State Park			1100	1105	1098		Ma												4.45	46.37401	269.36423	Extrusive	Lava Flow	Basaltic Lava			This study		g	i					
GB1	Gooseberry River	GB1-1:GB1-2:GB1-3:GB1-4:GB1-5:GB1-6:GB1-7:GB1-8	GB1-1a:GB1-2a:GB1-3a:GB1-4a:GB1-5a:GB1-6a:GB1-7a:GB1-8a	1095	1096.5	1093.6		Ma	4.5	HT	299.4	47.9	154	8	8	0	n	7.9545	100	1.41875	47.15475	268.50811	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	5.9	3.8	40.3	179.6	8
GB1	Gooseberry River	GB1-1:GB1-2:GB1-3:GB1-4:GB1-5:GB1-6:GB1-7:GB1-8	GB1-1a:GB1-2a:GB1-3a:GB1-4a:GB1-5a:GB1-6a:GB1-7a:GB1-8a	1095	1096.5	1093.6		Ma	4.5	HT	298.4	38.5	153	8	8	0	t	7.9542	0	1.41875	47.15475	268.50811	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	5.3	3.2	34.9	173.4	8
GB10	Gooseberry River	GB10-10:GB10-1:GB10-2:GB10-3:GB10-4:GB10-5:GB10-6:GB10-8:GB10-9	GB10-10a:GB10-1a:GB10-2a:GB10-3a:GB10-4a:GB10-5a:GB10-6a:GB10-8a:GB10-9a	1095	1096.5	1093.6		Ma	2.3	HT	299.3	32.5	499	9	9	0	t	8.984	0	230.185	47.14893	268.52288	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	2.6	1.5	32.7	169.3	9
GB10	Gooseberry River	GB10-10:GB10-1:GB10-2:GB10-3:GB10-4:GB10-5:GB10-6:GB10-8:GB10-9	GB10-10a:GB10-1a:GB10-2a:GB10-3a:GB10-4a:GB10-5a:GB10-6a:GB10-8a:GB10-9a	1095	1096.5	1093.6		Ma	2.3	HT	300.5	41.9	500	9	9	0	n	8.984	100	230.185	47.14893	268.52288	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	2.8	1.7	38	174.1	9
GB11	Gooseberry River	GB11-1:GB11-2:GB11-3:GB11-4:GB11-7:GB11-8:GB11-9	GB11-1a:GB11-2a:GB11-3a:GB11-4a:GB11-7a:GB11-8a:GB11-9a	1095	1096.5	1093.6		Ma	4.7	HT	301.9	29	168	7	7	0	t	6.9644	0	232.38125	47.14876	268.52293	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	5.2	2.9	32.8	165.3	7
GB11	Gooseberry River	GB11-1:GB11-2:GB11-3:GB11-4:GB11-7:GB11-8:GB11-9	GB11-1a:GB11-2a:GB11-3a:GB11-4a:GB11-7a:GB11-8a:GB11-9a	1095	1096.5	1093.6		Ma	4.7	HT	303.2	38.3	168	7	7	0	n	6.9643	100	232.38125	47.14876	268.52293	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	5.6	3.3	38	169.5	7
GB12	Gooseberry River	GB12-1:GB12-2:GB12-3:GB12-5:GB12-6:GB12-7:GB12-8	GB12-1a:GB12-2a:GB12-3a:GB12-5a:GB12-6a:GB12-7a:GB12-8a	1095	1096.5	1093.6		Ma	1.8	HT	303	41	1112	7	7	0	n	6.9946	100	233.85	47.14852	268.52288	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	2.2	1.3	39.2	171.5	7
GB12	Gooseberry River	GB12-1:GB12-2:GB12-3:GB12-5:GB12-6:GB12-7:GB12-8	GB12-1a:GB12-2a:GB12-3a:GB12-5a:GB12-6a:GB12-7a:GB12-8a	1095	1096.5	1093.6		Ma	1.8	HT	301.6	31.7	1097	7	7	0	t	6.9945	0	233.85	47.14852	268.52288	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	2	1.1	33.8	167	7
GB13	Gooseberry River	GB13-1:GB13-2:GB13-3:GB13-4:GB13-5:GB13-6:GB13-7:GB13-8	GB13-1a:GB13-2a:GB13-3a:GB13-4a:GB13-5a:GB13-6a:GB13-7a:GB13-8a	1095	1096.5	1093.6		Ma	2	HT	294.6	32.8	750	8	8	0	t	7.9907	0	235.35	47.14845	268.52326	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	2.3	1.3	29.6	173.1	8
GB13	Gooseberry River	GB13-1:GB13-2:GB13-3:GB13-4:GB13-5:GB13-6:GB13-7:GB13-8	GB13-1a:GB13-2a:GB13-3a:GB13-4a:GB13-5a:GB13-6a:GB13-7a:GB13-8a	1095	1096.5	1093.6		Ma	2	HT	295.1	42.3	742	8	8	0	t	7.9906	100	235.35	47.14845	268.52326	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	2.5	1.5	34.5	178.4	8
GB14	Gooseberry River	GB14-1:GB14-2:GB14-3:GB14-4:GB14-5:GB14-6:GB14-7	GB14-1a:GB14-2a:GB14-3a:GB14-4a:GB14-5a:GB14-6a:GB14-7a	1095	1096.5	1093.6		Ma	3.8	HT	297.4	33	252	7	7	0	t	6.9762	0	237.25	47.14846	268.52326	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	4.3	2.4	31.6	171	7
GB14	Gooseberry River	GB14-1:GB14-2:GB14-3:GB14-4:GB14-5:GB14-6:GB14-7	GB14-1a:GB14-2a:GB14-3a:GB14-4a:GB14-5a:GB14-6a:GB14-7a	1095	1096.5	1093.6		Ma	3.8	HT	298.3	42.4	249	7	7	0	n	6.9759	100	237.25	47.14846	268.52326	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	4.7	2.9	36.7	176.1	7
GB15	Gooseberry River	GB15-1:GB15-3:GB15-4:GB15-5:GB15-6:GB15-7:GB15-8	GB15-1a:GB15-3a:GB15-4a:GB15-5a:GB15-6a:GB15-7a:GB15-8a	1095	1096.5	1093.6		Ma	2.1	HT	301	35.6	827	7	7	0	n	6.9927	0	243.5125	47.14816	268.52504	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	2.4	1.4	35.2	169.6	7
GB15	Gooseberry River	GB15-1:GB15-3:GB15-4:GB15-5:GB15-6:GB15-7:GB15-8	GB15-1a:GB15-3a:GB15-4a:GB15-5a:GB15-6a:GB15-7a:GB15-8a	1095	1096.5	1093.6		Ma	2.1	HT	302.5	45	835	7	7	0	n	6.9928	100	243.5125	47.14816	268.52504	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	2.7	1.7	40.9	174.9	7
GB16	Gooseberry River	GB16-1:GB16-2:GB16-3:GB16-4:GB16-5:GB16-6:GB16-7:GB16-8	GB16-1a:GB16-2a:GB16-3a:GB16-4a:GB16-5a:GB16-6a:GB16-7a:GB16-8a	1095	1096.5	1093.6		Ma	2.8	HT	295	41.6	382	8	8	0	t	7.9817	100	244.58125	47.14822	268.52514	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	3.4	2.1	34.1	178	8
GB16	Gooseberry River	GB16-1:GB16-2:GB16-3:GB16-4:GB16-5:GB16-6:GB16-7:GB16-8	GB16-1a:GB16-2a:GB16-3a:GB16-4a:GB16-5a:GB16-6a:GB16-7a:GB16-8a	1095	1096.5	1093.6		Ma	2.8	HT	294.5	32.1	385	8	8	0	t	7.9818	0	244.58125	47.14822	268.52514	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3.2	1.8	29.2	172.8	8
GB17	Gooseberry River	GB17-1:GB17-2:GB17-4:GB17-5:GB17-7:GB17-8	GB17-1a:GB17-2a:GB17-4a:GB17-5a:GB17-7a:GB17-8a	1095	1096.5	1093.6		Ma	3.1	HT	300.8	46.3	464	6	6	0	n	5.9892	100	245.02143	47.14814	268.52502	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	4	2.5	40.4	177.2	6
GB17	Gooseberry River	GB17-1:GB17-2:GB17-4:GB17-5:GB17-7:GB17-8	GB17-1a:GB17-2a:GB17-4a:GB17-5a:GB17-7a:GB17-8a	1095	1096.5	1093.6		Ma	3.1	HT	299.4	36.9	464	6	6	0	t	5.9892	0	245.02143	47.14814	268.52502	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3.6	2.1	34.8	171.7	6
GB18	Gooseberry River	GB18-2:GB18-3:GB18-5:GB18-6:GB18-7:GB18-8	GB18-2a:GB18-3a:GB18-5a:GB18-6a:GB18-7a:GB18-8a	1095	1096.5	1093.6		Ma	4.3	HT	304.8	32.7	242	6	6	0	n	5.9793	0	248.07857	47.14742	268.5254	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	4.9	2.8	36.4	164.8	6
GB18	Gooseberry River	GB18-2:GB18-3:GB18-5:GB18-6:GB18-7:GB18-8	GB18-2a:GB18-3a:GB18-5a:GB18-6a:GB18-7a:GB18-8a	1095	1096.5	1093.6		Ma	4.3	HT	306.7	41.9	239	6	6	0	n	5.9791	100	248.07857	47.14742	268.5254	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	5.3	3.2	42.1	169.1	6
GB19	Gooseberry River	GB19-1:GB19-2:GB19-3:GB19-4:GB19-5:GB19-6:GB19-7:GB19-8	GB19-1a:GB19-2a:GB19-3a:GB19-4a:GB19-5a:GB19-6a:GB19-7a:GB19-8a	1095	1096.5	1093.6		Ma	1.7	HT	298.4	35.3	1107	8	8	0	t	7.9937	0	254.4	47.14556	268.52444	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	2	1.1	33.3	171.5	8
GB19	Gooseberry River	GB19-1:GB19-2:GB19-3:GB19-4:GB19-5:GB19-6:GB19-7:GB19-8	GB19-1a:GB19-2a:GB19-3a:GB19-4a:GB19-5a:GB19-6a:GB19-7a:GB19-8a	1095	1096.5	1093.6		Ma	1.7	HT	299.5	44.7	1107	8	8	0	n	7.9937	100	254.4	47.14556	268.52444	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	2.1	1.4	38.7	176.9	8
GB2	Gooseberry River	GB2-1:GB2-2:GB2-3:GB2-4:GB2-5:GB2-6:GB2-7:GB2-8	GB2-1a:GB2-2a:GB2-3a:GB2-4a:GB2-5a:GB2-6a:GB2-7a:GB2-8a	1095	1096.5	1093.6		Ma	2	HT	298.1	37.8	793	8	8	0	t	7.9912	0	15.23125	47.15516	268.50947	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	2.4	1.4	34.3	173.2	8
GB2	Gooseberry River	GB2-1:GB2-2:GB2-3:GB2-4:GB2-5:GB2-6:GB2-7:GB2-8	GB2-1a:GB2-2a:GB2-3a:GB2-4a:GB2-5a:GB2-6a:GB2-7a:GB2-8a	1095	1096.5	1093.6		Ma	2	HT	299.3	47.2	793	8	8	0	n	7.9912	100	15.23125	47.15516	268.50947	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	2.6	1.7	39.9	179.1	8
GB20	Gooseberry River	GB20-2:GB20-3:GB20-4:GB20-5:GB20-6:GB20-7:GB20-8	GB20-2a:GB20-3a:GB20-4a:GB20-5a:GB20-6a:GB20-7a:GB20-8a	1095	1096.5	1093.6		Ma	3.2	HT	298.2	35.8	362	7	7	0	t	6.9834	0	264.675	47.14507	268.52519	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3.7	2.2	33.4	172	7
GB20	Gooseberry River	GB20-2:GB20-3:GB20-4:GB20-5:GB20-6:GB20-7:GB20-8	GB20-2a:GB20-3a:GB20-4a:GB20-5a:GB20-6a:GB20-7a:GB20-8a	1095	1096.5	1093.6		Ma	3.2	HT	299.4	45.3	361	7	7	0	n	6.9834	100	264.675	47.14507	268.52519	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	4.1	2.6	38.9	177.5	7
GB21	Gooseberry River	GB21-1:GB21-2:GB21-3:GB21-4:GB21-5:GB21-6:GB21-7:GB21-8	GB21-1a:GB21-2a:GB21-3a:GB21-4a:GB21-5a:GB21-6a:GB21-7a:GB21-8a	1095	1096.5	1093.6		Ma	2.2	HT	300.2	33.5	635	8	8	0	t	7.989	0	279.34375	47.14462	268.52615	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	2.5	1.4	33.7	169.1	8
GB21	Gooseberry River	GB21-1:GB21-2:GB21-3:GB21-4:GB21-5:GB21-6:GB21-7:GB21-8	GB21-1a:GB21-2a:GB21-3a:GB21-4a:GB21-5a:GB21-6a:GB21-7a:GB21-8a	1095	1096.5	1093.6		Ma	2.2	HT	301.5	42.9	633	8	8	0	n	7.9889	100	279.34375	47.14462	268.52615	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	2.7	1.7	39.1	174	8
GB22	Gooseberry River	GB22-1:GB22-2:GB22-3:GB22-4:GB22-5:GB22-6:GB22-7:GB22-8	GB22-1a:GB22-2a:GB22-3a:GB22-4a:GB22-5a:GB22-6a:GB22-7a:GB22-8a	1095	1096.5	1093.6		Ma	2.6	HT	301.2	31.8	469	8	8	0	t	7.9851	0	281.075	47.14452	268.52621	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	2.9	1.6	33.6	167.4	8
