tab	samples																
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lat	lithologies	lon	method_codes	result_quality	result_type	sample	site
	239.5		9.5	110.7	This study	-30	Extrusive	Lava Flow	423.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB31-7	GB31
	247.5		9.5	110.7	This study	-76	Extrusive	Lava Flow	423.5		Basaltic Lava		SO-CMD-NORTH	g	i	GB31-8	GB31
	194.5		9.5	110.7	This study	-76	Extrusive	Lava Flow	423.4		Basaltic Lava		SO-CMD-NORTH	g	i	GB31-9	GB31
	327.5		9.5	110.7	This study	-14	Extrusive	Lava Flow	449.5		Basaltic Lava		SO-CMD-NORTH	g	i	GB32-1	GB32
	267.5		9.5	110.7	This study	-15	Extrusive	Lava Flow	449.5		Basaltic Lava		SO-CMD-NORTH	g	i	GB32-2	GB32
	268.7		9.5	110.7	This study	-10	Extrusive	Lava Flow	449.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB32-3	GB32
	349.5		9.5	110.7	This study	-44	Extrusive	Lava Flow	449.55		Basaltic Lava		SO-CMD-NORTH	g	i	GB32-4	GB32
	271.3		9.5	110.7	This study	-13	Extrusive	Lava Flow	449.55		Basaltic Lava		SO-CMD-NORTH	g	i	GB32-5	GB32
	273.7		9.5	110.7	This study	-15	Extrusive	Lava Flow	449.75		Basaltic Lava		SO-CMD-NORTH	g	i	GB32-6	GB32
	217.5		9.5	110.7	This study	-11	Extrusive	Lava Flow	449.75		Basaltic Lava		SO-CMD-NORTH	g	i	GB32-7	GB32
	69.2		9.5	110.7	This study	-12	Extrusive	Lava Flow	449.65		Basaltic Lava		SO-CMD-NORTH	g	i	GB32-8	GB32
	86.5		9.5	110.7	This study	-5	Extrusive	Lava Flow	26.85		Basaltic Lava		SO-CMD-NORTH	g	i	GB4-1	GB4
	175.5		9.5	110.7	This study	-19	Extrusive	Lava Flow	26.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB4-2	GB4
	303.5		9.5	110.7	This study	-14	Extrusive	Lava Flow	26.85		Basaltic Lava		SO-CMD-NORTH	g	i	GB4-3	GB4
	305.5		9.5	110.7	This study	-10	Extrusive	Lava Flow	27.4		Basaltic Lava		SO-CMD-NORTH	g	i	GB4-4	GB4
	295.5		9.5	110.7	This study	-13	Extrusive	Lava Flow	27.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB4-5	GB4
	253.5		9.5	110.7	This study	-17	Extrusive	Lava Flow	27.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB4-6	GB4
	314.5		9.5	110.7	This study	-20	Extrusive	Lava Flow	27.55		Basaltic Lava		SO-CMD-NORTH	g	i	GB4-7	GB4
	58.5		9.5	110.7	This study	-36	Extrusive	Lava Flow	27.85		Basaltic Lava		SO-CMD-NORTH	g	i	GB4-8	GB4
	169.5		9.5	110.7	This study	-45	Extrusive	Lava Flow	41.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB5-1	GB5
	58.5		9.5	110.7	This study	-44	Extrusive	Lava Flow	42.2		Basaltic Lava		SO-CMD-NORTH	g	i	GB5-3	GB5
	238.5		9.5	110.7	This study	-19	Extrusive	Lava Flow	42.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB5-4	GB5
	209.5		9.5	110.7	This study	-38	Extrusive	Lava Flow	42.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB5-5	GB5
	258.5		9.5	110.7	This study	-25	Extrusive	Lava Flow	42.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB5-6	GB5
	328.5		9.5	110.7	This study	-62	Extrusive	Lava Flow	42.2		Basaltic Lava		SO-CMD-NORTH	g	i	GB5-7	GB5
	286.5		9.5	110.7	This study	-40	Extrusive	Lava Flow	42.1		Basaltic Lava		SO-CMD-NORTH	g	i	GB5-8	GB5
	204.6		9.5	110.7	This study	-14	Extrusive	Lava Flow	81.8		Basaltic Lava		SO-CMD-NORTH	g	i	GB6-1	GB6
	259.8		9.5	110.7	This study	-58	Extrusive	Lava Flow	82.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB6-10	GB6
	183.1		9.5	110.7	This study	-8	Extrusive	Lava Flow	81.85		Basaltic Lava		SO-CMD-NORTH	g	i	GB6-2	GB6
	94.5		9.5	110.7	This study	-49	Extrusive	Lava Flow	82.4		Basaltic Lava		SO-CMD-NORTH	g	i	GB6-3	GB6
	262		9.5	110.7	This study	-9	Extrusive	Lava Flow	82.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB6-4	GB6
	22.5		9.5	110.7	This study	-74	Extrusive	Lava Flow	82.35		Basaltic Lava		SO-CMD-NORTH	g	i	GB6-5	GB6
	285.8		9.5	110.7	This study	-65	Extrusive	Lava Flow	82.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB6-6	GB6
	267.1		9.5	110.7	This study	-17	Extrusive	Lava Flow	82.15		Basaltic Lava		SO-CMD-NORTH	g	i	GB6-7	GB6
	256.6		9.5	110.7	This study	-19	Extrusive	Lava Flow	82.25		Basaltic Lava		SO-CMD-NORTH	g	i	GB6-8	GB6
	210.9		9.5	110.7	This study	-12	Extrusive	Lava Flow	82.2		Basaltic Lava		SO-CMD-NORTH	g	i	GB6-9	GB6
	186.5		9.5	110.7	This study	-62	Extrusive	Lava Flow	177.95		Basaltic Lava		SO-CMD-NORTH	g	i	GB7-1	GB7
	298.2		9.5	110.7	This study	-13	Extrusive	Lava Flow	181.4		Basaltic Lava		SO-CMD-NORTH	g	i	GB7-10	GB7
	96.5		9.5	110.7	This study	-29	Extrusive	Lava Flow	178.05		Basaltic Lava		SO-CMD-NORTH	g	i	GB7-2	GB7
	120.3		9.5	110.7	This study	-32	Extrusive	Lava Flow	178.55		Basaltic Lava		SO-CMD-NORTH	g	i	GB7-3	GB7
	3.9		9.5	110.7	This study	-18	Extrusive	Lava Flow	178.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB7-4	GB7
	177.8		9.5	110.7	This study	-31	Extrusive	Lava Flow	179		Basaltic Lava		SO-CMD-NORTH	g	i	GB7-5	GB7
	230.2		9.5	110.7	This study	-11	Extrusive	Lava Flow	179.4		Basaltic Lava		SO-CMD-NORTH	g	i	GB7-6	GB7
	277.4		9.5	110.7	This study	-12	Extrusive	Lava Flow	180.85		Basaltic Lava		SO-CMD-NORTH	g	i	GB7-7	GB7
	265.1		9.5	110.7	This study	-11	Extrusive	Lava Flow	180.87		Basaltic Lava		SO-CMD-NORTH	g	i	GB7-8	GB7
	300.3		9.5	110.7	This study	-13	Extrusive	Lava Flow	181.4		Basaltic Lava		SO-CMD-NORTH	g	i	GB7-9	GB7
	106.5		9.5	110.7	This study	-46	Extrusive	Lava Flow	187.2		Basaltic Lava		SO-CMD-NORTH	g	i	GB8-1	GB8
	132.5		9.5	110.7	This study	-76	Extrusive	Lava Flow	187.25		Basaltic Lava		SO-CMD-NORTH	g	i	GB8-2	GB8
	183.4		9.5	110.7	This study	-54	Extrusive	Lava Flow	187.4		Basaltic Lava		SO-CMD-NORTH	g	i	GB8-3	GB8
	173.9		9.5	110.7	This study	-13	Extrusive	Lava Flow	186.5		Basaltic Lava		SO-CMD-NORTH	g	i	GB8-4	GB8
	153.5		9.5	110.7	This study	-80	Extrusive	Lava Flow	187.6		Basaltic Lava		SO-CMD-NORTH	g	i	GB8-5	GB8
	14.5		9.5	110.7	This study	-19	Extrusive	Lava Flow	186.65		Basaltic Lava		SO-CMD-NORTH	g	i	GB8-6	GB8
	187.5		9.5	110.7	This study	-65	Extrusive	Lava Flow	187.25		Basaltic Lava		SO-CMD-NORTH	g	i	GB8-7	GB8
	139.9		9.5	110.7	This study	-75	Extrusive	Lava Flow	187.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB8-8	GB8
	165.5		9.5	110.7	This study	-39	Extrusive	Lava Flow	187.55		Basaltic Lava		SO-CMD-NORTH	g	i	GB8-9	GB8
	307		9.5	110.7	This study	-22	Extrusive	Lava Flow	226.35		Basaltic Lava		SO-CMD-NORTH	g	i	GB9-1	GB9
	119.4		9.5	110.7	This study	-31	Extrusive	Lava Flow	226.15		Basaltic Lava		SO-CMD-NORTH	g	i	GB9-2	GB9
	260.9		9.5	110.7	This study	-9	Extrusive	Lava Flow	226.5		Basaltic Lava		SO-CMD-NORTH	g	i	GB9-3	GB9
	315.3		9.5	110.7	This study	-25	Extrusive	Lava Flow	226.55		Basaltic Lava		SO-CMD-NORTH	g	i	GB9-4	GB9
	300.6		9.5	110.7	This study	-19	Extrusive	Lava Flow	226.55		Basaltic Lava		SO-CMD-NORTH	g	i	GB9-5	GB9
	336.8		9.5	110.7	This study	-20	Extrusive	Lava Flow	226.6		Basaltic Lava		SO-CMD-NORTH	g	i	GB9-6	GB9
	311.2		9.5	110.7	This study	-19	Extrusive	Lava Flow	226.65		Basaltic Lava		SO-CMD-NORTH	g	i	GB9-7	GB9
	301		9.5	110.7	This study	-19	Extrusive	Lava Flow	226.5		Basaltic Lava		SO-CMD-NORTH	g	i	GB9-8	GB9
	287.8		9.5	110.7	This study	-24	Extrusive	Lava Flow	226.15		Basaltic Lava		SO-CMD-NORTH	g	i	GB9-9	GB9
	337.5		60.1	331.8	This study	-101	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF1.1	CF1
	18.2		60.1	331.8	This study	-78	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF1.2	CF1
	326.8		60.1	331.8	This study	-106	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF1.6	CF1
	314.9		60.1	331.8	This study	-16	Extrusive	Lava Flow	1.2		Basaltic Lava		SO-CMD-NORTH	g	i	CF10.1	CF10
	241.9		60.1	331.8	This study	-41	Extrusive	Lava Flow	1.8		Basaltic Lava		SO-CMD-NORTH	g	i	CF10.4	CF10
	274.9		60.1	331.8	This study	-57	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF11.3	CF11
	272.9		60.1	331.8	This study	-66	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF11.4	CF11
	251.9		60.1	331.8	This study	-60	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF11.5	CF11
	339.9		60.1	331.8	This study	-42	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF12.1	CF12
	338.9		60.1	331.8	This study	-43	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF12.2	CF12
	341.9		60.1	331.8	This study	-41	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF12.3	CF12
	324.9		60.1	331.8	This study	-47	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF12.4	CF12
	322.9		60.1	331.8	This study	-49	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF12.5	CF12
	264.9		60.1	331.8	This study	-91	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF12.6	CF12
	298.9		60.1	331.8	This study	-51	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF12.7	CF12
	297.9		60.1	331.8	This study	-52	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF12.8	CF12
	235.9		60.1	331.8	This study	-15	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF13.1	CF13
	227.9		60.1	331.8	This study	-14	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF13.2	CF13
	164.9		60.1	331.8	This study	-38	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF13.4	CF13
	163.9		60.1	331.8	This study	-40	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF13.5	CF13
	215.9		60.1	331.8	This study	-68	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF13.6	CF13
	226.9		60.1	331.8	This study	-72	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF13.8	CF13
	229.9		60.1	331.8	This study	-71	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF13.9	CF13
	311.6		60.1	331.8	This study	-34	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF14.1	CF14
	312		60.1	331.8	This study	-37	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF14.2	CF14
	328.6		60.1	331.8	This study	-45	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF14.3	CF14
	328.9		60.1	331.8	This study	-31	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF14.5	CF14
	320.9		60.1	331.8	This study	-35	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF14.6	CF14
	303.9		60.1	331.8	This study	-38	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF14.7	CF14
	306.9		60.1	331.8	This study	-40	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF14.8	CF14
	26.9		60.1	331.8	This study	-32	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF15.1	CF15
	346.9		60.1	331.8	This study	-27	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF15.2	CF15
	62.9		60.1	331.8	This study	-52	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF15.5	CF15
	63.9		60.1	331.8	This study	-51	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF15.6	CF15
	60.9		60.1	331.8	This study	-41	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF15.7	CF15
	62.9		60.1	331.8	This study	-44	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF15.8	CF15
	24.9		60.1	331.8	This study	-58	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF16.1	CF16
	28		60.1	331.8	This study	-57	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF16.2	CF16
	21.8		60.1	331.8	This study	-55	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF16.3	CF16
	22.5		60.1	331.8	This study	-54	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF16.4	CF16
	4.9		60.1	331.8	This study	-38	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF16.6	CF16
	2.9		60.1	331.8	This study	-30	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF16.7	CF16
	86.9		60.1	331.8	This study	-18	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF16.8	CF16
	31		60.1	331.8	This study	-85	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF17.1	CF17
	348.4		60.1	331.8	This study	-28	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF17.2	CF17
	334.3		60.1	331.8	This study	-29	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF17.6	CF17
	63.9		60.1	331.8	This study	-76	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF17.8	CF17
	25.9		60.1	331.8	This study	-52	Extrusive	Lava Flow	4.7		Basaltic Lava		SO-CMD-NORTH	g	i	CF18.1	CF18
	4.9		60.1	331.8	This study	-32	Extrusive	Lava Flow	3.4		Basaltic Lava		SO-CMD-NORTH	g	i	CF18.8	CF18
	4.9		60.1	331.8	This study	-34	Extrusive	Lava Flow	3.45		Basaltic Lava		SO-CMD-NORTH	g	i	CF18.9	CF18
	0.9		60.1	331.8	This study	-35	Extrusive	Lava Flow	3.5		Basaltic Lava		SO-CMD-NORTH	g	i	CF18.10	CF18
	313.9		60.1	331.8	This study	-52	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF19.1	CF19
	316.9		60.1	331.8	This study	-53	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF19.2	CF19
	322.9		60.1	331.8	This study	-52	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF19.3	CF19
	95.9		60.1	331.8	This study	-62	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF19.4	CF19
	94.9		60.1	331.8	This study	-62	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF19.5	CF19
	91.9		60.1	331.8	This study	-65	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF19.6	CF19
	89.9		60.1	331.8	This study	-68	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF19.7	CF19
	92.9		60.1	331.8	This study	-69	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF19.8	CF19
	244.3		60.1	331.8	This study	-66	Extrusive	Lava Flow	1.1		Basaltic Lava		SO-CMD-NORTH	g	i	CF2.2	CF2
	289.6		60.1	331.8	This study	-60	Extrusive	Lava Flow	2.4		Basaltic Lava		SO-CMD-NORTH	g	i	CF2.3	CF2
	346		60.1	331.8	This study	-64	Extrusive	Lava Flow	2.7		Basaltic Lava		SO-CMD-NORTH	g	i	CF2.5	CF2
	249.5		60.1	331.8	This study	-45	Extrusive	Lava Flow	2.7		Basaltic Lava		SO-CMD-NORTH	g	i	CF2.6	CF2
	255.2		60.1	331.8	This study	-42	Extrusive	Lava Flow	2.7		Basaltic Lava		SO-CMD-NORTH	g	i	CF2.7	CF2
	2.9		60.1	331.8	This study	-28	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF20.1	CF20
	3.9		60.1	331.8	This study	-27	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF20.2	CF20
	13.9		60.1	331.8	This study	-24	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF20.3	CF20
	359.9		60.1	331.8	This study	-25	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF20.4	CF20
	221.9		60.1	331.8	This study	-35	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF20.5	CF20
	247.9		60.1	331.8	This study	-74	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF20.6	CF20
	311.9		60.1	331.8	This study	-37	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF20.7	CF20
	287.9		60.1	331.8	This study	-43	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF20.8	CF20
	279.9		60.1	331.8	This study	-27	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF21.1	CF21
	280.9		60.1	331.8	This study	-32	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF21.2	CF21
	279.9		60.1	331.8	This study	-31	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF21.3	CF21
	313.9		60.1	331.8	This study	-54	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF21.4	CF21
	310.9		60.1	331.8	This study	-52	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF21.5	CF21
	189.9		60.1	331.8	This study	-61	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF21.8	CF21
	193.9		60.1	331.8	This study	-57	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF21.9	CF21
	236.9		60.1	331.8	This study	-78	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF22.1	CF22
	275.2		60.1	331.8	This study	-44	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF22.8	CF22
	141		60.1	331.8	This study	-29	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF23.2	CF23
	136.1		60.1	331.8	This study	-31	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF23.3	CF23
	290.9		60.1	331.8	This study	-15	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF23.4	CF23
	252.9		60.1	331.8	This study	-12	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF23.5	CF23
	309.6		60.1	331.8	This study	-5	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF23.6	CF23
	259.2		60.1	331.8	This study	-18	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF23.7	CF23
	269.9		60.1	331.8	This study	-16	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF23.8	CF23
	183.9		60.1	331.8	This study	-61	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF24.2	CF24
	219.8		60.1	331.8	This study	-60	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF24.3	CF24
	223.8		60.1	331.8	This study	-64	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF24.4	CF24
	164.1		60.1	331.8	This study	-47	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF24.5	CF24
	5.9		60.1	331.8	This study	-17	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF24.6	CF24
	357.9		60.1	331.8	This study	-39	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF25.6	CF25
	347.9		60.1	331.8	This study	-40	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF25.7	CF25
	298.3		60.1	331.8	This study	-50	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF25.8	CF25
	174.9		60.1	331.8	This study	-61	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF26.1	CF26
	170.9		60.1	331.8	This study	-58	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF26.2	CF26
	161.9		60.1	331.8	This study	-57	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF26.4	CF26
	217.9		60.1	331.8	This study	-26	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF26.5	CF26
	298.9		60.1	331.8	This study	-26	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF26.6	CF26
	292.9		60.1	331.8	This study	-26	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF26.7	CF26
	292.9		60.1	331.8	This study	-21	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF26.8	CF26
	306.9		60.1	331.8	This study	-21	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF27.1	CF27
	301.9		60.1	331.8	This study	-22	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF27.2	CF27
	308.9		60.1	331.8	This study	-22	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF27.4	CF27
	293.9		60.1	331.8	This study	-18	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF27.5	CF27
	284.9		60.1	331.8	This study	-34	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF27.6	CF27
	289.3		60.1	331.8	This study	-31	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF27.7	CF27
	293.2		60.1	331.8	This study	-32	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF27.8	CF27
	357.7		60.1	331.8	This study	-19	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF28.1	CF28
	278.7		60.1	331.8	This study	-10	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF28.3	CF28
	37.7		60.1	331.8	This study	-33	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF28.4	CF28
	40.9		60.1	331.8	This study	-31	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF28.5	CF28
	38.7		60.1	331.8	This study	-28	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF28.6	CF28
	332.9		60.1	331.8	This study	-18	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF28.7	CF28
	4.5		60.1	331.8	This study	-20	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF28.8	CF28
	60.9		60.1	331.8	This study	-26	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF29.1	CF29
	58.9		60.1	331.8	This study	-26	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF29.2	CF29
	61.9		60.1	331.8	This study	-18	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF29.3	CF29
	68.9		60.1	331.8	This study	-19	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF29.4	CF29
	329.9		60.1	331.8	This study	-23	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF29.5	CF29
	327.9		60.1	331.8	This study	-26	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF29.6	CF29
	335.9		60.1	331.8	This study	-28	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF29.7	CF29
	341.9		60.1	331.8	This study	-19	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF29.8	CF29
	231.9		60.1	331.8	This study	-33	Extrusive	Lava Flow	4.2		Basaltic Lava		SO-CMD-NORTH	g	i	CF3.2	CF3
	227.9		60.1	331.8	This study	-36	Extrusive	Lava Flow	4.2		Basaltic Lava		SO-CMD-NORTH	g	i	CF3.3	CF3
	223.9		60.1	331.8	This study	-41	Extrusive	Lava Flow	4.5		Basaltic Lava		SO-CMD-NORTH	g	i	CF3.4	CF3
	231.9		60.1	331.8	This study	-35	Extrusive	Lava Flow	4.55		Basaltic Lava		SO-CMD-NORTH	g	i	CF3.5	CF3
	221.9		60.1	331.8	This study	-42	Extrusive	Lava Flow	4.45		Basaltic Lava		SO-CMD-NORTH	g	i	CF3.6	CF3
	230.9		60.1	331.8	This study	-40	Extrusive	Lava Flow	4.55		Basaltic Lava		SO-CMD-NORTH	g	i	CF3.8	CF3
	144.9		60.1	331.8	This study	-36	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF30.2	CF30
	139.9		60.1	331.8	This study	-37	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF30.3	CF30
	130.9		60.1	331.8	This study	-30	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF30.4	CF30
	338.9		60.1	331.8	This study	-10	Extrusive	Lava Flow	0		Basaltic Lava		SO-CMD-NORTH	g	i	CF30.5	CF30
