tab 	measurements
citations	dir_dec	dir_inc	experiment	magn_moment	meas_pos_z	method_codes	number	quality	specimen	standard	timestamp	treat_ac_field	treat_temp
This study	344.76421367	-31.95133414	SI1-12.55-D:NRM_demag(T,Hac)0	8.80E-06	0.267	LP-DIR-AF:LT-AF-Z	756571	g	SI1-12.55-D	u	2011-08-06T18:29:39Z	0.025	300
This study	25.96505198	-69.89289561	SI1-13.0-D:NRM_demag(T,Hac)0	1.37E-06	0.467	LP-DIR-AF:LT-AF-Z	756572	g	SI1-13.0-D	u	2011-08-06T18:29:55Z	0.025	300
This study	341.75582212	-44.47304085	SI1-13.4-D:NRM_demag(T,Hac)0	2.78E-06	0.667	LP-DIR-AF:LT-AF-Z	756573	g	SI1-13.4-D	u	2011-08-06T18:30:10Z	0.025	300
This study	351.63203232	-73.78626778	SI1-14.2-D:NRM_demag(T,Hac)0	1.68E-06	0.867	LP-DIR-AF:LT-AF-Z	756574	g	SI1-14.2-D	u	2011-08-06T18:30:25Z	0.025	300
This study	354.676475969	-65.47896465	SI1-14.4-D:NRM_demag(T,Hac)0	1.24E-05	1.067	LP-DIR-AF:LT-AF-Z	756575	g	SI1-14.4-D	u	2011-08-06T18:30:40Z	0.025	300
This study	355.299142562	-37.21997418	SI1-14.9-D:NRM_demag(T,Hac)0	1.23E-05	1.267	LP-DIR-AF:LT-AF-Z	756576	g	SI1-14.9-D	u	2011-08-06T18:30:55Z	0.025	300
This study	352.07431776	-37.77503623	SI1-12.5-D:NRM_demag(T,Hac)0	1.36E-06	0.067	LP-DIR-AF:LT-AF-Z	756577	g	SI1-12.5-D	u	2011-08-06T18:35:01Z	0.03	300
This study	344.31739208	-31.532976	SI1-12.55-D:NRM_demag(T,Hac)0	6.43E-06	0.267	LP-DIR-AF:LT-AF-Z	756578	g	SI1-12.55-D	u	2011-08-06T18:35:17Z	0.03	300
This study	34.44873241	-76.645421	SI1-13.0-D:NRM_demag(T,Hac)0	9.83E-07	0.467	LP-DIR-AF:LT-AF-Z	756579	g	SI1-13.0-D	u	2011-08-06T18:35:32Z	0.03	300
This study	340.23434105	-43.38530118	SI1-13.4-D:NRM_demag(T,Hac)0	1.96E-06	0.667	LP-DIR-AF:LT-AF-Z	756580	g	SI1-13.4-D	u	2011-08-06T18:35:47Z	0.03	300
This study	3.340611574	-71.37338159	SI1-14.2-D:NRM_demag(T,Hac)0	1.20E-06	0.867	LP-DIR-AF:LT-AF-Z	756581	g	SI1-14.2-D	u	2011-08-06T18:36:02Z	0.03	300
This study	354.709264714	-65.42447304	SI1-14.4-D:NRM_demag(T,Hac)0	9.88E-06	1.067	LP-DIR-AF:LT-AF-Z	756582	g	SI1-14.4-D	u	2011-08-06T18:36:17Z	0.03	300
