tab 	pmag_samples
er_location_name	er_sample_name	er_site_name	er_specimen_names	sample_dec	sample_inc	sample_n	sample_n_lines	sample_tilt_correction
Simpson Island	SI1-91.1	SI1(89.2 to 91.5)	SI1-91.1-A	56.4	-74.3	1	1	100
Simpson Island	SI1-91.2	SI1(89.2 to 91.5)	SI1-91.2-A	141.5	-51.4	1	1	0
Simpson Island	SI1-91.2	SI1(89.2 to 91.5)	SI1-91.2-A	124.7	-52.7	1	1	100
Simpson Island	SI1-91.6	SI1(91.5 to 92.6)	SI1-91.6-A	105.7	-76	1	1	0
Simpson Island	SI1-91.6	SI1(91.5 to 92.6)	SI1-91.6-A	74.1	-67.6	1	1	100
Simpson Island	SI1-91.61	SI1(91.5 to 92.6)	SI1-91.61-A	121.1	-74	1	1	0
Simpson Island	SI1-91.61	SI1(91.5 to 92.6)	SI1-91.61-A	85.7	-68.3	1	1	100
Simpson Island	SI1-91.64	SI1(91.5 to 92.6)	SI1-91.64-A	127.3	-76.2	1	1	0
Simpson Island	SI1-91.64	SI1(91.5 to 92.6)	SI1-91.64-A	85.2	-71	1	1	100
Simpson Island	SI1-91.67	SI1(91.5 to 92.6)	SI1-91.67-A	129.8	-73.3	1	1	0
Simpson Island	SI1-91.67	SI1(91.5 to 92.6)	SI1-91.67-A	92.2	-69.3	1	1	100
Simpson Island	SI1-91.75	SI1(91.5 to 92.6)	SI1-91.75-A	126.2	-76	1	1	0
Simpson Island	SI1-91.75	SI1(91.5 to 92.6)	SI1-91.75-A	85.1	-70.7	1	1	100
Simpson Island	SI1-92.0	SI1(91.5 to 92.6)	SI1-92.0-A	102.4	-71.8	1	1	0
Simpson Island	SI1-92.0	SI1(91.5 to 92.6)	SI1-92.0-A	77.1	-63.6	1	1	100
Simpson Island	SI1-94.57	SI1(94.3 to 94.9)	SI1-94.57a	139.9	-78.1	1	1	0
Simpson Island	SI1-94.57	SI1(94.3 to 94.9)	SI1-94.57a	86.6	-74.3	1	1	100
Simpson Island	SI1-94.6	SI1(94.3 to 94.9)	SI1-94.6a	151.7	-73.9	1	1	0
Simpson Island	SI1-94.6	SI1(94.3 to 94.9)	SI1-94.6a	105.1	-73.9	1	1	100
Simpson Island	SI1-94.67	SI1(94.3 to 94.9)	SI1-94.67a	157.2	-72.9	1	1	0
Simpson Island	SI1-94.67	SI1(94.3 to 94.9)	SI1-94.67a	111.7	-74.5	1	1	100
Simpson Island	SI1-94.7	SI1(94.3 to 94.9)	SI1-94.7a	119.2	-76.4	1	1	0
Simpson Island	SI1-94.7	SI1(94.3 to 94.9)	SI1-94.7a	80.6	-69.9	1	1	100
Simpson Island	SI1-94.8	SI1(94.3 to 94.9)	SI1-94.8a	156.1	-79	1	1	0
Simpson Island	SI1-94.8	SI1(94.3 to 94.9)	SI1-94.8a	89.4	-77.6	1	1	100
Simpson Island	SI1-95	SI1(94.9 to 96.6)	SI1-95a	143.6	-80.3	1	1	0
Simpson Island	SI1-95	SI1(94.9 to 96.6)	SI1-95a	80.1	-76.4	1	1	100
Simpson Island	SI1-96	SI1(94.9 to 96.6)	SI1-96a	130	-80.7	1	1	0
Simpson Island	SI1-96	SI1(94.9 to 96.6)	SI1-96a	74.8	-74.3	1	1	100
Simpson Island	SI1-96.02	SI1(94.9 to 96.6)	SI1-96.02a	130	-77.3	1	1	0
Simpson Island	SI1-96.02	SI1(94.9 to 96.6)	SI1-96.02a	84.2	-72.2	1	1	100
Simpson Island	SI1-96.04	SI1(94.9 to 96.6)	SI1-96.04a	146	-78.8	1	1	0
Simpson Island	SI1-96.04	SI1(94.9 to 96.6)	SI1-96.04a	87	-75.8	1	1	100
Simpson Island	SI1-96.1	SI1(94.9 to 96.6)	SI1-96.1a	132.9	-82.7	1	1	0
Simpson Island	SI1-96.1	SI1(94.9 to 96.6)	SI1-96.1a	68.9	-75.6	1	1	100
Simpson Island	SI1-116.9	SI1(116.3 to 118.8)	SI1-116.9a	120.1	-80.1	1	1	0
Simpson Island	SI1-116.9	SI1(116.3 to 118.8)	SI1-116.9a	73.0	-72.7	1	1	100
Simpson Island	SI1-116.95	SI1(116.3 to 118.8)	SI1-116.95a	76.5	-77.9	1	1	0
Simpson Island	SI1-116.95	SI1(116.3 to 118.8)	SI1-116.95a	56.8	-66.2	1	1	100
Simpson Island	SI1-116.96	SI1(116.3 to 118.8)	SI1-116.96a	127.5	-73.5	1	1	0
Simpson Island	SI1-116.96	SI1(116.3 to 118.8)	SI1-116.96a	90.7	-68.9	1	1	100
Simpson Island	SI1-116.97	SI1(116.3 to 118.8)	SI1-116.97a	68.5	-77.0	1	1	0
Simpson Island	SI1-116.97	SI1(116.3 to 118.8)	SI1-116.97a	53.7	-65.0	1	1	100
Simpson Island	SI1-117.05	SI1(116.3 to 118.8)	SI1-117.05a	138.1	-80.9	1	1	0
Simpson Island	SI1-117.05	SI1(116.3 to 118.8)	SI1-117.05a	76.8	-75.5	1	1	100
Simpson Island	SI1-117.2	SI1(116.3 to 118.8)	SI1-117.2a	134.8	-71.0	1	1	0
Simpson Island	SI1-117.2	SI1(116.3 to 118.8)	SI1-117.2a	99.7	-68.3	1	1	100
Simpson Island	SI1-120.4	SI1(119.7 to 122.1)	SI1-120.4a	108.2	-82.5	1	1	0
Simpson Island	SI1-120.4	SI1(119.7 to 122.1)	SI1-120.4a	62.9	-72.9	1	1	100
Simpson Island	SI1-120.42	SI1(119.7 to 122.1)	SI1-120.42a	113.4	-78.6	1	1	0
Simpson Island	SI1-120.42	SI1(119.7 to 122.1)	SI1-120.42a	73.3	-70.7	1	1	100
Simpson Island	SI1-120.45	SI1(119.7 to 122.1)	SI1-120.45a	130.4	-65.3	1	1	0
Simpson Island	SI1-120.45	SI1(119.7 to 122.1)	SI1-120.45a	103.8	-62.8	1	1	100
Simpson Island	SI1-120.5	SI1(119.7 to 122.1)	SI1-120.5a	130.5	-71.7	1	1	0
Simpson Island	SI1-120.5	SI1(119.7 to 122.1)	SI1-120.5a	95.5	-68.2	1	1	100
Simpson Island	SI1-120.52	SI1(119.7 to 122.1)	SI1-120.52a	123	-71.3	1	1	0
Simpson Island	SI1-120.52	SI1(119.7 to 122.1)	SI1-120.52a	91	-66.5	1	1	100
Simpson Island	SI1-120.6	SI1(119.7 to 122.1)	SI1-120.6a	59.8	-69.7	1	1	0
Simpson Island	SI1-120.6	SI1(119.7 to 122.1)	SI1-120.6a	51.9	-57.3	1	1	100
Simpson Island	SI1-122.4	SI1(122.1 to 123.7)	SI1-122.4a	111.3	-82.1	1	1	0
Simpson Island	SI1-122.4	SI1(122.1 to 123.7)	SI1-122.4a	64.5	-73.2	1	1	100
Simpson Island	SI1-122.5	SI1(122.1 to 123.7)	SI1-122.5a	86.3	-79.8	1	1	0
Simpson Island	SI1-122.5	SI1(122.1 to 123.7)	SI1-122.5a	59.5	-68.9	1	1	100
Simpson Island	SI1-122.65	SI1(122.1 to 123.7)	SI1-122.65a	102.3	-69.5	1	1	0
Simpson Island	SI1-122.65	SI1(122.1 to 123.7)	SI1-122.65a	79.5	-61.4	1	1	100
Simpson Island	SI1-122.69	SI1(122.1 to 123.7)	SI1-122.69a	124.3	-76.6	1	1	0
Simpson Island	SI1-122.69	SI1(122.1 to 123.7)	SI1-122.69a	82.7	-70.9	1	1	100
Simpson Island	SI1-123.35	SI1(122.1 to 123.7)	SI1-123.35a	122.7	-71.7	1	1	0
Simpson Island	SI1-123.35	SI1(122.1 to 123.7)	SI1-123.35a	90.1	-66.8	1	1	100
Simpson Island	SI1-123.4	SI1(122.1 to 123.7)	SI1-123.4a	116.3	-79.2	1	1	0
Simpson Island	SI1-123.4	SI1(122.1 to 123.7)	SI1-123.4a	73.2	-71.6	1	1	100
Simpson Island	SI2a-1.1	SI2a(1.1 to 1.6)	SI2a-1.1a	134	-50.9	1	1	0
Simpson Island	SI2a-1.1	SI2a(1.1 to 1.6)	SI2a-1.1a	114.4	-54.2	1	1	100
Simpson Island	SI2a-1.3	SI2a(1.1 to 1.6)	SI2a-1.3a	139.5	-55.1	1	1	0
Simpson Island	SI2a-1.3	SI2a(1.1 to 1.6)	SI2a-1.3a	116.4	-59.1	1	1	100
Simpson Island	SI2a-1.35	SI2a(1.1 to 1.6)	SI2a-1.35a	135.6	-53.3	1	1	0
Simpson Island	SI2a-1.35	SI2a(1.1 to 1.6)	SI2a-1.35a	114.2	-56.8	1	1	100
Simpson Island	SI2a-1.4	SI2a(1.1 to 1.6)	SI2a-1.4a	131.4	-54.5	1	1	0
Simpson Island	SI2a-1.4	SI2a(1.1 to 1.6)	SI2a-1.4a	110	-56.3	1	1	100
Simpson Island	SI2a-1.5	SI2a(1.1 to 1.6)	SI2a-1.5a	142.7	-51.8	1	1	0
Simpson Island	SI2a-1.5	SI2a(1.1 to 1.6)	SI2a-1.5a	122.8	-56.4	1	1	100
Simpson Island	SI2a-1.6	SI2a(1.1 to 1.6)	SI2a-1.6a	152.1	-57.8	1	1	0
Simpson Island	SI2a-1.6	SI2a(1.1 to 1.6)	SI2a-1.6a	127.4	-64.9	1	1	100
Simpson Island	SI2a-10.2	SI2a(10.2 to 12.8)	SI2a-10.2a	164.3	-59.7	1	1	0
Simpson Island	SI2a-10.2	SI2a(10.2 to 12.8)	SI2a-10.2a	139.5	-69.3	1	1	100
Simpson Island	SI2a-10.4	SI2a(10.2 to 12.8)	SI2a-10.4a	165.9	-62.3	1	1	0
Simpson Island	SI2a-10.4	SI2a(10.2 to 12.8)	SI2a-10.4a	137.8	-71.9	1	1	100
Simpson Island	SI2a-10.5	SI2a(10.2 to 12.8)	SI2a-10.5a	168.4	-57	1	1	0
Simpson Island	SI2a-10.5	SI2a(10.2 to 12.8)	SI2a-10.5a	148	-67.6	1	1	100
Simpson Island	SI2a-12.2	SI2a(10.2 to 12.8)	SI2a-12.2a	178.7	-58.6	1	1	0
Simpson Island	SI2a-12.2	SI2a(10.2 to 12.8)	SI2a-12.2a	161	-71.4	1	1	100
Simpson Island	SI2a-12.7	SI2a(10.2 to 12.8)	SI2a-12.7a	176.5	-48.1	1	1	0
Simpson Island	SI2a-12.7	SI2a(10.2 to 12.8)	SI2a-12.7a	165.2	-60.9	1	1	100
Simpson Island	SI2a-12.8	SI2a(10.2 to 12.8)	SI2a-12.8a	175	-57.3	1	1	0
Simpson Island	SI2a-12.8	SI2a(10.2 to 12.8)	SI2a-12.8a	157	-69.5	1	1	100
Simpson Island	SI2b-2.2	SI2b(2.2 to 2.6)	SI2b-2.2a	160.1	-57.2	1	1	0
Simpson Island	SI2b-2.2	SI2b(2.2 to 2.6)	SI2b-2.2a	137.2	-66.1	1	1	100
Simpson Island	SI2b-2.3	SI2b(2.2 to 2.6)	SI2b-2.3a	146.1	-63	1	1	0
Simpson Island	SI2b-2.3	SI2b(2.2 to 2.6)	SI2b-2.3a	114.4	-67.6	1	1	100
Simpson Island	SI2b-2.42	SI2b(2.2 to 2.6)	SI2b-2.42a	143.7	-56.9	1	1	0
Simpson Island	SI2b-2.42	SI2b(2.2 to 2.6)	SI2b-2.42a	119.4	-61.8	1	1	100
Simpson Island	SI2b-2.46	SI2b(2.2 to 2.6)	SI2b-2.46a	152.1	-58.7	1	1	0
Simpson Island	SI2b-2.46	SI2b(2.2 to 2.6)	SI2b-2.46a	126.3	-65.5	1	1	100
Simpson Island	SI2b-2.5	SI2b(2.2 to 2.6)	SI2b-2.5a	140.2	-58.7	1	1	0
Simpson Island	SI2b-2.5	SI2b(2.2 to 2.6)	SI2b-2.5a	113.9	-62.5	1	1	100
Simpson Island	SI2b-2.53	SI2b(2.2 to 2.6)	SI2b-2.53a	138.1	-50.3	1	1	0
Simpson Island	SI2b-2.53	SI2b(2.2 to 2.6)	SI2b-2.53a	119.4	-54.4	1	1	100
Simpson Island	SI2b-2.6	SI2b(2.2 to 2.6)	SI2b-2.6a	145.4	-59.8	1	1	0
Simpson Island	SI2b-2.6	SI2b(2.2 to 2.6)	SI2b-2.6a	117.9	-64.8	1	1	100
Simpson Island	SI2b-2.61	SI2b(2.2 to 2.6)	SI2b-2.61a	134.7	-52	1	1	0
Simpson Island	SI2b-2.61	SI2b(2.2 to 2.6)	SI2b-2.61a	114.6	-55.2	1	1	100
Simpson Island	SI2b-10.5	SI2b(10.5 to 10.6)	SI2b-10.5a	150.8	-61	1	1	0
Simpson Island	SI2b-10.5	SI2b(10.5 to 10.6)	SI2b-10.5a	122	-67.1	1	1	100
Simpson Island	SI2b-10.56	SI2b(10.5 to 10.6)	SI2b-10.56a	144	-68.7	1	1	0
Simpson Island	SI2b-10.56	SI2b(10.5 to 10.6)	SI2b-10.56a	102	-71.5	1	1	100
Simpson Island	SI2b-10.58	SI2b(10.5 to 10.6)	SI2b-10.58a	140.5	-66	1	1	0
Simpson Island	SI2b-10.58	SI2b(10.5 to 10.6)	SI2b-10.58a	104.2	-68.6	1	1	100
Simpson Island	SI2b-10.6	SI2b(10.5 to 10.6)	SI2b-10.6a	138.5	-62.7	1	1	0
Simpson Island	SI2b-10.6	SI2b(10.5 to 10.6)	SI2b-10.6a	107.6	-65.4	1	1	100
Simpson Island	SI2b-10.63	SI2b(10.5 to 10.6)	SI2b-10.63a	130.2	-62.1	1	1	0
Simpson Island	SI2b-10.63	SI2b(10.5 to 10.6)	SI2b-10.63a	101	-62.8	1	1	100
Simpson Island	SI2c-0.15	SI2c(0.0 to 2.1)	SI2c-0.15a	124.8	-36.3	1	1	0
Simpson Island	SI2c-0.15	SI2c(0.0 to 2.1)	SI2c-0.15a	113.4	-38	1	1	100
Simpson Island	SI2c-0.35	SI2c(0.0 to 2.1)	SI2c-0.35a	124.9	-39.1	1	1	0
Simpson Island	SI2c-0.35	SI2c(0.0 to 2.1)	SI2c-0.35a	112.3	-40.6	1	1	100
Simpson Island	SI2c-0.45	SI2c(0.0 to 2.1)	SI2c-0.45a	123.2	-41.9	1	1	0
Simpson Island	SI2c-0.45	SI2c(0.0 to 2.1)	SI2c-0.45a	109.5	-42.8	1	1	100
Simpson Island	SI2c-0.5	SI2c(0.0 to 2.1)	SI2c-0.5a	119.3	-38.3	1	1	0
Simpson Island	SI2c-0.5	SI2c(0.0 to 2.1)	SI2c-0.5a	107.4	-38.4	1	1	100
