tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_class	sample_description	sample_dip	sample_lat	sample_lithology	sample_lon	sample_type
This study	Simpson Island	SI1-120.52	SI1(119.7 to 122.1)	FS-FD:SO-POM:SO-CMD-NORTH	297	Igneous : Extrusive	oriented core	-16	48.806	Basalt	-87.6634	Lava Flow
This study	Simpson Island	SI1-120.6	SI1(119.7 to 122.1)	FS-FD:SO-POM:SO-CMD-NORTH	243	Igneous : Extrusive	oriented core	-14	48.806	Basalt	-87.6634	Lava Flow
This study	Simpson Island	SI1-122.4	SI1(122.1 to 123.7)	FS-FD:SO-POM:SO-CMD-NORTH	192	Igneous : Extrusive	oriented core	-79	48.8058	Basalt	-87.6633	Lava Flow
This study	Simpson Island	SI1-122.5	SI1(122.1 to 123.7)	FS-FD:SO-POM:SO-CMD-NORTH	305	Igneous : Extrusive	oriented core	-7	48.8058	Basalt	-87.6633	Lava Flow
This study	Simpson Island	SI1-122.65	SI1(122.1 to 123.7)	FS-FD:SO-POM:SO-CMD-NORTH	227	Igneous : Extrusive	oriented core	-32	48.8058	Basalt	-87.6633	Lava Flow
This study	Simpson Island	SI1-122.69	SI1(122.1 to 123.7)	FS-FD:SO-POM:SO-CMD-NORTH	223	Igneous : Extrusive	oriented core	-35	48.8058	Basalt	-87.6633	Lava Flow
This study	Simpson Island	SI1-123.35	SI1(122.1 to 123.7)	FS-FD:SO-POM:SO-CMD-NORTH	316	Igneous : Extrusive	oriented core	-24	48.8058	Basalt	-87.6633	Lava Flow
This study	Simpson Island	SI1-123.4	SI1(122.1 to 123.7)	FS-FD:SO-POM:SO-CMD-NORTH	297	Igneous : Extrusive	oriented core	-13	48.8058	Basalt	-87.6633	Lava Flow
This study	Simpson Island	SI1-28.68	SI1(28.3 to 29.2)	FS-FD:SO-POM:SO-CMD-NORTH	241	Igneous : Extrusive	oriented core	-75	48.8104	Basalt	-87.6622	Lava Flow
This study	Simpson Island	SI1-28.7	SI1(28.3 to 29.2)	FS-FD:SO-POM:SO-CMD-NORTH	255	Igneous : Extrusive	oriented core	-81	48.8104	Basalt	-87.6622	Lava Flow
This study	Simpson Island	SI1-28.8	SI1(28.3 to 29.2)	FS-FD:SO-POM:SO-CMD-NORTH	273	Igneous : Extrusive	oriented core	-69	48.8104	Basalt	-87.6622	Lava Flow
This study	Simpson Island	SI1-28.85	SI1(28.3 to 29.2)	FS-FD:SO-POM:SO-CMD-NORTH	276	Igneous : Extrusive	oriented core	-70	48.8104	Basalt	-87.6622	Lava Flow
This study	Simpson Island	SI1-28.9	SI1(28.3 to 29.2)	FS-FD:SO-POM:SO-CMD-NORTH	249	Igneous : Extrusive	oriented core	-87	48.8104	Basalt	-87.6622	Lava Flow
This study	Simpson Island	SI1-29.0	SI1(28.3 to 29.2)	FS-FD:SO-POM:SO-CMD-NORTH	252	Igneous : Extrusive	oriented core	-83	48.8104	Basalt	-87.6622	Lava Flow
This study	Simpson Island	SI1-29.1	SI1(29.2 to 29.7)	FS-FD:SO-POM:SO-CMD-NORTH	291	Igneous : Extrusive	oriented core	-77	48.8104	Basalt	-87.6623	Lava Flow
This study	Simpson Island	SI1-29.15	SI1(29.2 to 29.7)	FS-FD:SO-POM:SO-CMD-NORTH	269	Igneous : Extrusive	oriented core	-107	48.8104	Basalt	-87.6623	Lava Flow
This study	Simpson Island	SI1-29.2	SI1(29.2 to 29.7)	FS-FD:SO-POM:SO-CMD-NORTH	278	Igneous : Extrusive	oriented core	-80	48.8104	Basalt	-87.6623	Lava Flow
This study	Simpson Island	SI1-29.24	SI1(29.2 to 29.7)	FS-FD:SO-POM:SO-CMD-NORTH	230	Igneous : Extrusive	oriented core	-61	48.8104	Basalt	-87.6623	Lava Flow
This study	Simpson Island	SI1-29.25	SI1(29.2 to 29.7)	FS-FD:SO-POM:SO-CMD-NORTH	295	Igneous : Extrusive	oriented core	-79	48.8104	Basalt	-87.6623	Lava Flow
This study	Simpson Island	SI1-29.4	SI1(29.2 to 29.7)	FS-FD:SO-POM:SO-CMD-NORTH	263	Igneous : Extrusive	oriented core	-76	48.8104	Basalt	-87.6623	Lava Flow
This study	Simpson Island	SI1-33.4	SI1(33.3 to 37.1)	FS-FD:SO-POM:SO-CMD-NORTH	213	Igneous : Extrusive	oriented core	-59	48.81	Basalt	-87.6623	Lava Flow
This study	Simpson Island	SI1-33.5	SI1(33.3 to 37.1)	FS-FD:SO-POM:SO-CMD-NORTH	309	Igneous : Extrusive	oriented core	-39	48.81	Basalt	-87.6623	Lava Flow
This study	Simpson Island	SI1-34.2	SI1(33.3 to 37.1)	FS-FD:SO-POM:SO-CMD-NORTH	218	Igneous : Extrusive	oriented core	-37	48.81	Basalt	-87.6623	Lava Flow
This study	Simpson Island	SI1-34.7	SI1(33.3 to 37.1)	FS-FD:SO-POM:SO-CMD-NORTH	232	Igneous : Extrusive	oriented core	-89	48.81	Basalt	-87.6623	Lava Flow
This study	Simpson Island	SI1-34.75	SI1(33.3 to 37.1)	FS-FD:SO-POM:SO-CMD-NORTH	232	Igneous : Extrusive	oriented core	-90	48.81	Basalt	-87.6623	Lava Flow
This study	Simpson Island	SI1-34.8	SI1(33.3 to 37.1)	FS-FD:SO-POM:SO-CMD-NORTH	229	Igneous : Extrusive	oriented core	-91	48.81	Basalt	-87.6623	Lava Flow
This study	Simpson Island	SI1-40.9	SI1(40.6 to 42.5)	FS-FD:SO-POM:SO-CMD-NORTH	265	Igneous : Extrusive	oriented core	-53	48.8096	Basalt	-87.6626	Lava Flow
This study	Simpson Island	SI1-40.95	SI1(40.6 to 42.5)	FS-FD:SO-POM:SO-CMD-NORTH	268	Igneous : Extrusive	oriented core	-48	48.8096	Basalt	-87.6626	Lava Flow
This study	Simpson Island	SI1-40.96	SI1(40.6 to 42.5)	FS-FD:SO-POM:SO-CMD-NORTH	275	Igneous : Extrusive	oriented core	-44	48.8096	Basalt	-87.6626	Lava Flow
This study	Simpson Island	SI1-41.0	SI1(40.6 to 42.5)	FS-FD:SO-POM:SO-CMD-NORTH	260	Igneous : Extrusive	oriented core	-41	48.8096	Basalt	-87.6626	Lava Flow
This study	Simpson Island	SI1-41.1	SI1(40.6 to 42.5)	FS-FD:SO-POM:SO-CMD-NORTH	272	Igneous : Extrusive	oriented core	-65	48.8096	Basalt	-87.6626	Lava Flow
This study	Simpson Island	SI1-41.15	SI1(40.6 to 42.5)	FS-FD:SO-POM:SO-CMD-NORTH	205	Igneous : Extrusive	oriented core	-79	48.8096	Basalt	-87.6626	Lava Flow
This study	Simpson Island	SI1-41	SI1(40.6 to 42.5)	FS-FD:SO-POM:SO-CMD-NORTH	259.8	Igneous : Extrusive	oriented core	-41	48.8096	Basalt	-87.6626	Lava Flow
This study	Simpson Island	SI1-43.19	SI1(42.5 to 44.4)	FS-FD:SO-POM:SO-CMD-NORTH	224	Igneous : Extrusive	oriented core	-70	48.8095	Basalt	-87.6627	Lava Flow
This study	Simpson Island	SI1-43.2	SI1(42.5 to 44.4)	FS-FD:SO-POM:SO-CMD-NORTH	270	Igneous : Extrusive	oriented core	-58	48.8095	Basalt	-87.6627	Lava Flow
This study	Simpson Island	SI1-43.3	SI1(42.5 to 44.4)	FS-FD:SO-POM:SO-CMD-NORTH	251	Igneous : Extrusive	oriented core	-72	48.8095	Basalt	-87.6627	Lava Flow
This study	Simpson Island	SI1-43.31	SI1(42.5 to 44.4)	FS-FD:SO-POM:SO-CMD-NORTH	188	Igneous : Extrusive	oriented core	-77	48.8095	Basalt	-87.6627	Lava Flow
This study	Simpson Island	SI1-43.4	SI1(42.5 to 44.4)	FS-FD:SO-POM:SO-CMD-NORTH	258	Igneous : Extrusive	oriented core	-79	48.8095	Basalt	-87.6627	Lava Flow
This study	Simpson Island	SI1-43.5	SI1(42.5 to 44.4)	FS-FD:SO-POM:SO-CMD-NORTH	267	Igneous : Extrusive	oriented core	-76	48.8095	Basalt	-87.6627	Lava Flow
This study	Simpson Island	SI1-43.51	SI1(42.5 to 44.4)	FS-FD:SO-POM:SO-CMD-NORTH	228	Igneous : Extrusive	oriented core	-86	48.8095	Basalt	-87.6627	Lava Flow
This study	Simpson Island	SI1-43.59	SI1(42.5 to 44.4)	FS-FD:SO-POM:SO-CMD-NORTH	243	Igneous : Extrusive	oriented core	-91	48.8095	Basalt	-87.6627	Lava Flow
This study	Simpson Island	SI1-43.6	SI1(42.5 to 44.4)	FS-FD:SO-POM:SO-CMD-NORTH	294	Igneous : Extrusive	oriented core	-99	48.8095	Basalt	-87.6627	Lava Flow
This study	Simpson Island	SI1-43.61	SI1(42.5 to 44.4)	FS-FD:SO-POM:SO-CMD-NORTH	276	Igneous : Extrusive	oriented core	-102	48.8095	Basalt	-87.6627	Lava Flow
This study	Simpson Island	SI1-60.59	SI1(58.1 to 64.1)	FS-FD:SO-POM:SO-CMD-NORTH	254	Igneous : Extrusive	oriented core	-24	48.8086	Basalt	-87.6622	Lava Flow
This study	Simpson Island	SI1-60.6	SI1(58.1 to 64.1)	FS-FD:SO-POM:SO-CMD-NORTH	239	Igneous : Extrusive	oriented core	-31	48.8086	Basalt	-87.6622	Lava Flow
This study	Simpson Island	SI1-61.1	SI1(58.1 to 64.1)	FS-FD:SO-POM:SO-CMD-NORTH	219	Igneous : Extrusive	oriented core	-64	48.8086	Basalt	-87.6622	Lava Flow
This study	Simpson Island	SI1-61.13	SI1(58.1 to 64.1)	FS-FD:SO-POM:SO-CMD-NORTH	286	Igneous : Extrusive	oriented core	-77	48.8086	Basalt	-87.6622	Lava Flow
This study	Simpson Island	SI1-61.15	SI1(58.1 to 64.1)	FS-FD:SO-POM:SO-CMD-NORTH	216	Igneous : Extrusive	oriented core	-67	48.8086	Basalt	-87.6622	Lava Flow
This study	Simpson Island	SI1-61.2	SI1(58.1 to 64.1)	FS-FD:SO-POM:SO-CMD-NORTH	219	Igneous : Extrusive	oriented core	-73	48.8086	Basalt	-87.6622	Lava Flow
This study	Simpson Island	SI1-61.73	SI1(58.1 to 64.1)	FS-FD:SO-POM:SO-CMD-NORTH	256	Igneous : Extrusive	oriented core	-71	48.8086	Basalt	-87.6622	Lava Flow
This study	Simpson Island	SI1-61.78	SI1(58.1 to 64.1)	FS-FD:SO-POM:SO-CMD-NORTH	261	Igneous : Extrusive	oriented core	-72	48.8086	Basalt	-87.6622	Lava Flow
This study	Simpson Island	SI1-61.8	SI1(58.1 to 64.1)	FS-FD:SO-POM:SO-CMD-NORTH	254	Igneous : Extrusive	oriented core	-77	48.8086	Basalt	-87.6622	Lava Flow
This study	Simpson Island	SI1-80.3	SI1(69.7 to 87.6)	FS-FD:SO-POM:SO-CMD-NORTH	300	Intrusive : Igneous	oriented core	-20	48.8078	Diabase	-87.6618	Sill
This study	Simpson Island	SI1-80.7	SI1(69.7 to 87.6)	FS-FD:SO-POM:SO-CMD-NORTH	275	Intrusive : Igneous	oriented core	-69	48.8078	Diabase	-87.6618	Sill
This study	Simpson Island	SI1-81.8	SI1(69.7 to 87.6)	FS-FD:SO-POM:SO-CMD-NORTH	278	Intrusive : Igneous	oriented core	-59	48.8078	Diabase	-87.6618	Sill
This study	Simpson Island	SI1-82.1	SI1(69.7 to 87.6)	FS-FD:SO-POM:SO-CMD-NORTH	299	Intrusive : Igneous	oriented core	-96	48.8078	Diabase	-87.6618	Sill
This study	Simpson Island	SI1-84.5	SI1(69.7 to 87.6)	FS-FD:SO-POM:SO-CMD-NORTH	1	Intrusive : Igneous	oriented core	-84	48.8078	Diabase	-87.6618	Sill
This study	Simpson Island	SI1-86.1	SI1(69.7 to 87.6)	FS-FD:SO-POM:SO-CMD-NORTH	340	Intrusive : Igneous	oriented core	-82	48.8078	Diabase	-87.6618	Sill
This study	Simpson Island	SI1-86.4	SI1(69.7 to 87.6)	FS-FD:SO-POM:SO-CMD-NORTH	176	Intrusive : Igneous	oriented core	-19	48.8078	Diabase	-87.6618	Sill
This study	Simpson Island	SI1-88.25	SI1(87.6 to 88.5)	FS-FD:SO-POM:SO-CMD-NORTH	162	Igneous : Extrusive	oriented core	-72	48.8073	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-88.3	SI1(87.6 to 88.5)	FS-FD:SO-POM:SO-CMD-NORTH	165	Igneous : Extrusive	oriented core	-75	48.8073	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-88.35	SI1(87.6 to 88.5)	FS-FD:SO-POM:SO-CMD-NORTH	159	Igneous : Extrusive	oriented core	-72	48.8073	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-88.37	SI1(87.6 to 88.5)	FS-FD:SO-POM:SO-CMD-NORTH	275	Igneous : Extrusive	oriented core	-77	48.8073	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-88.4	SI1(87.6 to 88.5)	FS-FD:SO-POM:SO-CMD-NORTH	277	Igneous : Extrusive	oriented core	-80	48.8073	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-88.43	SI1(87.6 to 88.5)	FS-FD:SO-POM:SO-CMD-NORTH	274	Igneous : Extrusive	oriented core	-83	48.8073	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-88.55	SI1(88.5 to 89.2)	FS-FD:SO-POM:SO-CMD-NORTH	221	Igneous : Extrusive	oriented core	-83	48.8071	Basalt	-87.6619	Lava Flow
This study	Simpson Island	SI1-88.9	SI1(88.5 to 89.2)	FS-FD:SO-POM:SO-CMD-NORTH	179	Igneous : Extrusive	oriented core	-84	48.8071	Basalt	-87.6619	Lava Flow
This study	Simpson Island	SI1-88.93	SI1(88.5 to 89.2)	FS-FD:SO-POM:SO-CMD-NORTH	173	Igneous : Extrusive	oriented core	-90	48.8071	Basalt	-87.6619	Lava Flow
This study	Simpson Island	SI1-88.97	SI1(88.5 to 89.2)	FS-FD:SO-POM:SO-CMD-NORTH	170	Igneous : Extrusive	oriented core	-92	48.8071	Basalt	-87.6619	Lava Flow
This study	Simpson Island	SI1-89.0	SI1(88.5 to 89.2)	FS-FD:SO-POM:SO-CMD-NORTH	171	Igneous : Extrusive	oriented core	-92	48.8071	Basalt	-87.6619	Lava Flow
This study	Simpson Island	SI1-89.15	SI1(88.5 to 89.2)	FS-FD:SO-POM:SO-CMD-NORTH	176	Igneous : Extrusive	oriented core	-87	48.8071	Basalt	-87.6619	Lava Flow
This study	Simpson Island	SI1-89.25	SI1(89.2 to 91.5)	FS-FD:SO-POM:SO-CMD-NORTH	250	Igneous : Extrusive	oriented core	-68	48.807	Basalt	-87.6618	Lava Flow
This study	Simpson Island	SI1-89.92	SI1(89.2 to 91.5)	FS-FD:SO-POM:SO-CMD-NORTH	215	Igneous : Extrusive	oriented core	-87	48.807	Basalt	-87.6618	Lava Flow
This study	Simpson Island	SI1-90.0	SI1(89.2 to 91.5)	FS-FD:SO-POM:SO-CMD-NORTH	215	Igneous : Extrusive	oriented core	-85	48.807	Basalt	-87.6618	Lava Flow
This study	Simpson Island	SI1-90.05	SI1(89.2 to 91.5)	FS-FD:SO-POM:SO-CMD-NORTH	209	Igneous : Extrusive	oriented core	-97	48.807	Basalt	-87.6618	Lava Flow
This study	Simpson Island	SI1-91.1	SI1(89.2 to 91.5)	FS-FD:SO-POM:SO-CMD-NORTH	332	Igneous : Extrusive	oriented core	-93	48.807	Basalt	-87.6618	Lava Flow
This study	Simpson Island	SI1-91.2	SI1(89.2 to 91.5)	FS-FD:SO-POM:SO-CMD-NORTH	259	Igneous : Extrusive	oriented core	-85	48.807	Basalt	-87.6618	Lava Flow
This study	Simpson Island	SI1-91.6	SI1(91.5 to 92.6)	FS-FD:SO-POM:SO-CMD-NORTH	239	Igneous : Extrusive	oriented core	-77	48.8069	Basalt	-87.6618	Lava Flow
This study	Simpson Island	SI1-91.61	SI1(91.5 to 92.6)	FS-FD:SO-POM:SO-CMD-NORTH	262	Igneous : Extrusive	oriented core	-86	48.8069	Basalt	-87.6618	Lava Flow
This study	Simpson Island	SI1-91.64	SI1(91.5 to 92.6)	FS-FD:SO-POM:SO-CMD-NORTH	252	Igneous : Extrusive	oriented core	-59	48.8069	Basalt	-87.6618	Lava Flow
This study	Simpson Island	SI1-91.67	SI1(91.5 to 92.6)	FS-FD:SO-POM:SO-CMD-NORTH	242	Igneous : Extrusive	oriented core	-68	48.8069	Basalt	-87.6618	Lava Flow
This study	Simpson Island	SI1-91.7	SI1(91.5 to 92.6)	FS-FD:SO-POM:SO-CMD-NORTH	250	Igneous : Extrusive	oriented core	-60	48.8069	Basalt	-87.6618	Lava Flow
This study	Simpson Island	SI1-91.75	SI1(91.5 to 92.6)	FS-FD:SO-POM:SO-CMD-NORTH	247	Igneous : Extrusive	oriented core	-31	48.8069	Basalt	-87.6618	Lava Flow
This study	Simpson Island	SI1-92.0	SI1(91.5 to 92.6)	FS-FD:SO-POM:SO-CMD-NORTH	163	Igneous : Extrusive	oriented core	-90	48.8069	Basalt	-87.6618	Lava Flow
This study	Simpson Island	SI1-94.57	SI1(94.3 to 94.9)	FS-FD:SO-POM:SO-CMD-NORTH	194	Igneous : Extrusive	oriented core	-29	48.8068	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-94.6	SI1(94.3 to 94.9)	FS-FD:SO-POM:SO-CMD-NORTH	201	Igneous : Extrusive	oriented core	-20	48.8068	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-94.64	SI1(94.3 to 94.9)	FS-FD:SO-POM:SO-CMD-NORTH	209	Igneous : Extrusive	oriented core	-40	48.8068	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-94.67	SI1(94.3 to 94.9)	FS-FD:SO-POM:SO-CMD-NORTH	188	Igneous : Extrusive	oriented core	-47	48.8068	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-94.7	SI1(94.3 to 94.9)	FS-FD:SO-POM:SO-CMD-NORTH	255	Igneous : Extrusive	oriented core	-33	48.8068	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-94.8	SI1(94.3 to 94.9)	FS-FD:SO-POM:SO-CMD-NORTH	191	Igneous : Extrusive	oriented core	-43	48.8068	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-95.0	SI1(94.9 to 96.6)	FS-FD:SO-POM:SO-CMD-NORTH	11	Igneous : Extrusive	oriented core	-13	48.8066	Basalt	-87.6621	Lava Flow
This study	Simpson Island	SI1-95	SI1(94.9 to 96.6)	FS-FD:SO-POM:SO-CMD-NORTH	10.8	Igneous : Extrusive	oriented core	-13	48.8066	Basalt	-87.6621	Lava Flow
This study	Simpson Island	SI1-96.0	SI1(94.9 to 96.6)	FS-FD:SO-POM:SO-CMD-NORTH	294	Igneous : Extrusive	oriented core	-100	48.8066	Basalt	-87.6621	Lava Flow
This study	Simpson Island	SI1-96.02	SI1(94.9 to 96.6)	FS-FD:SO-POM:SO-CMD-NORTH	289	Igneous : Extrusive	oriented core	-95	48.8066	Basalt	-87.6621	Lava Flow
This study	Simpson Island	SI1-96.04	SI1(94.9 to 96.6)	FS-FD:SO-POM:SO-CMD-NORTH	282	Igneous : Extrusive	oriented core	-79	48.8066	Basalt	-87.6621	Lava Flow
This study	Simpson Island	SI1-96.06	SI1(94.9 to 96.6)	FS-FD:SO-POM:SO-CMD-NORTH	275	Igneous : Extrusive	oriented core	-86	48.8066	Basalt	-87.6621	Lava Flow
This study	Simpson Island	SI1-96.1	SI1(94.9 to 96.6)	FS-FD:SO-POM:SO-CMD-NORTH	320	Igneous : Extrusive	oriented core	-35	48.8066	Basalt	-87.6621	Lava Flow
This study	Simpson Island	SI1-96	SI1(94.9 to 96.6)	FS-FD:SO-POM:SO-CMD-NORTH	293.8	Igneous : Extrusive	oriented core	-100	48.8066	Basalt	-87.6621	Lava Flow
This study	Simpson Island	SI2a-1.1	SI2a(1.1 to 1.6)	FS-FD:SO-POM:SO-CMD-NORTH	218	Igneous : Extrusive	oriented core	-86	48.7943	Basalt	-87.6556	Lava Flow
This study	Simpson Island	SI2a-1.3	SI2a(1.1 to 1.6)	FS-FD:SO-POM:SO-CMD-NORTH	243	Igneous : Extrusive	oriented core	-95	48.7943	Basalt	-87.6556	Lava Flow
This study	Simpson Island	SI2a-1.35	SI2a(1.1 to 1.6)	FS-FD:SO-POM:SO-CMD-NORTH	235	Igneous : Extrusive	oriented core	-80	48.7943	Basalt	-87.6556	Lava Flow
This study	Simpson Island	SI2a-1.4	SI2a(1.1 to 1.6)	FS-FD:SO-POM:SO-CMD-NORTH	111	Igneous : Extrusive	oriented core	-5	48.7943	Basalt	-87.6556	Lava Flow
This study	Simpson Island	SI2a-1.5	SI2a(1.1 to 1.6)	FS-FD:SO-POM:SO-CMD-NORTH	227	Igneous : Extrusive	oriented core	-89	48.7943	Basalt	-87.6556	Lava Flow
This study	Simpson Island	SI2a-1.6	SI2a(1.1 to 1.6)	FS-FD:SO-POM:SO-CMD-NORTH	230	Igneous : Extrusive	oriented core	-14	48.7943	Basalt	-87.6556	Lava Flow
This study	Simpson Island	SI2a-10.2	SI2a(10.2 to 12.8)	FS-FD:SO-POM:SO-CMD-NORTH	195	Igneous : Extrusive	oriented core	-66	48.7942	Basalt	-87.6556	Lava Flow
This study	Simpson Island	SI2a-10.4	SI2a(10.2 to 12.8)	FS-FD:SO-POM:SO-CMD-NORTH	181	Igneous : Extrusive	oriented core	-85	48.7942	Basalt	-87.6556	Lava Flow
This study	Simpson Island	SI2a-10.5	SI2a(10.2 to 12.8)	FS-FD:SO-POM:SO-CMD-NORTH	273	Igneous : Extrusive	oriented core	-108	48.7942	Basalt	-87.6556	Lava Flow
This study	Simpson Island	SI2a-12.2	SI2a(10.2 to 12.8)	FS-FD:SO-POM:SO-CMD-NORTH	278	Igneous : Extrusive	oriented core	-67	48.7942	Basalt	-87.6556	Lava Flow
This study	Simpson Island	SI2a-12.7	SI2a(10.2 to 12.8)	FS-FD:SO-POM:SO-CMD-NORTH	275	Igneous : Extrusive	oriented core	-60	48.7942	Basalt	-87.6556	Lava Flow
This study	Simpson Island	SI2a-12.8	SI2a(10.2 to 12.8)	FS-FD:SO-POM:SO-CMD-NORTH	278	Igneous : Extrusive	oriented core	-65	48.7942	Basalt	-87.6556	Lava Flow
This study	Simpson Island	SI2b-10.3	SI2b(10.5 to 10.6)	FS-FD:SO-POM:SO-CMD-NORTH	326	Igneous : Extrusive	oriented core	-29	48.792	Basalt	-87.6546	Lava Flow
This study	Simpson Island	SI2b-10.5	SI2b(10.5 to 10.6)	FS-FD:SO-POM:SO-CMD-NORTH	299	Igneous : Extrusive	oriented core	-25	48.792	Basalt	-87.6546	Lava Flow
This study	Simpson Island	SI2b-10.56	SI2b(10.5 to 10.6)	FS-FD:SO-POM:SO-CMD-NORTH	190	Igneous : Extrusive	oriented core	-78	48.792	Basalt	-87.6546	Lava Flow
This study	Simpson Island	SI2b-10.58	SI2b(10.5 to 10.6)	FS-FD:SO-POM:SO-CMD-NORTH	192	Igneous : Extrusive	oriented core	-71	48.792	Basalt	-87.6546	Lava Flow
This study	Simpson Island	SI2b-10.6	SI2b(10.5 to 10.6)	FS-FD:SO-POM:SO-CMD-NORTH	186	Igneous : Extrusive	oriented core	-74	48.792	Basalt	-87.6546	Lava Flow
This study	Simpson Island	SI2b-10.63	SI2b(10.5 to 10.6)	FS-FD:SO-POM:SO-CMD-NORTH	180	Igneous : Extrusive	oriented core	-74	48.792	Basalt	-87.6546	Lava Flow
This study	Simpson Island	SI2b-2.2	SI2b(2.2 to 2.6)	FS-FD:SO-POM:SO-CMD-NORTH	202	Igneous : Extrusive	oriented core	-50	48.7921	Basalt	-87.6546	Lava Flow
This study	Simpson Island	SI2b-2.3	SI2b(2.2 to 2.6)	FS-FD:SO-POM:SO-CMD-NORTH	64	Igneous : Extrusive	oriented core	-43	48.7921	Basalt	-87.6546	Lava Flow
This study	Simpson Island	SI2b-2.38	SI2b(2.2 to 2.6)	FS-FD:SO-POM:SO-CMD-NORTH	186	Igneous : Extrusive	oriented core	-68	48.7921	Basalt	-87.6546	Lava Flow
