tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_instrument_codes	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_dec	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
This study	Simpson Island	SI1-40.96	SI1(40.6 to 42.5)	SI1-40.96a	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.025	T	141.1	-79.4	1.4	7	0
This study	Simpson Island	SI1-40.96	SI1(40.6 to 42.5)	SI1-40.96a	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.025	T	82.7	-75.2	1.4	7	100
This study	Simpson Island	SI1-41	SI1(40.6 to 42.5)	SI1-41a	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.07	0.025	T	124.1	-78.3	0.8	6	0
This study	Simpson Island	SI1-41	SI1(40.6 to 42.5)	SI1-41a	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.07	0.025	T	79.1	-72	0.8	6	100
This study	Simpson Island	SI1-41.1	SI1(40.6 to 42.5)	SI1-41.1a	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.07	0.025	T	137.4	-76.4	0.7	6	0
This study	Simpson Island	SI1-41.1	SI1(40.6 to 42.5)	SI1-41.1a	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.07	0.025	T	90	-72.9	0.7	6	100
This study	Simpson Island	SI1-41.15	SI1(40.6 to 42.5)	SI1-41.15a	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.025	T	120	-71.7	0.7	7	0
This study	Simpson Island	SI1-41.15	SI1(40.6 to 42.5)	SI1-41.15a	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.025	T	88.5	-66.2	0.7	7	100
This study	Simpson Island	SI1-43.19	SI1(40.6 to 42.5)	SI1-43.19-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T	129.8	-74.6	0.9	8	0
This study	Simpson Island	SI1-43.19	SI1(40.6 to 42.5)	SI1-43.19-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T	89.8	-70.3	0.9	8	100
This study	Simpson Island	SI1-43.2	SI1(40.6 to 42.5)	SI1-43.2-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T	109.8	-75.1	2.6	7	0
This study	Simpson Island	SI1-43.2	SI1(40.6 to 42.5)	SI1-43.2-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T	77.4	-67.6	2.6	7	100
This study	Simpson Island	SI1-43.4	SI1(40.6 to 42.5)	SI1-43.4-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	96.4	-69.1	1.2	7	0
This study	Simpson Island	SI1-43.4	SI1(40.6 to 42.5)	SI1-43.4-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	75.8	-60.2	1.2	7	100
This study	Simpson Island	SI1-43.51	SI1(40.6 to 42.5)	SI1-43.51-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.03	T	93.6	-69.4	2	6	0
