tab 	pmag_results
average_age	average_age_high	average_age_low	average_age_unit	average_alpha95	average_dec	average_height	average_inc	average_lat	average_lon	average_n	average_nn	er_citation_names	er_location_names	er_site_names	magic_method_codes	pmag_result_name	tilt_dec_corr	tilt_dec_uncorr	tilt_inc_corr	tilt_inc_uncorr	vgp_alpha95	vgp_lat	vgp_lon
1106	1110	1103	Ma	4.4	108.7	592.0	-39.2	48.7903	-87.6545		6	This study	Simpson Island	SI2c(0.0 to 2.1)	DE-FM:LP-DC4:LP-DIR-AF	SI2c(0.0 to 2.1)	108.7	120.9	-39.2	-38.7		28.7	184.0
1106	1110	1103	Ma	2.4	111.3	594.1	-47.3	48.7902	-87.6545		6	This study	Simpson Island	SI2c(2.1 to 18.6)	DE-FM:LP-DC4:LP-DIR-AF	SI2c(2.1 to 18.6)	111.3	127.2	-47.3	-45.6		34.7	187.5
1106	1110	1103	Ma	4.5	135.4	745.3	-69.3	48.7828	-87.6326		6	This study	Simpson Island	SI3(2.3 to 5.5)	DE-FM:LP-DC4:LP-DIR-AF	SI3(2.3 to 5.5)	135.4	156	-69.3	-56.8		62.0	208.0
1106	1110	1103	Ma	3.6	127.5	748.5	-72.5	48.7826	-87.6323		10	This study	Simpson Island	SI3(5.5 to 12.5)	DE-FM:LP-DC4:LP-DIR-AF	SI3(5.5 to 12.5)	127.5	154.3	-72.5	-60.9		58.2	218.9
1106	1110	1103	Ma	6.2	109.1	755.5	-73.7	48.7823	-87.6318		6	This study	Simpson Island	SI3(12.5 to 20.1)	DE-FM:LP-DC4:LP-DIR-AF	SI3(12.5 to 20.1)	109.1	145.9	-73.7	-64.8		49.3	225.3
1106	1110	1103	Ma	1.9	108.1	763.1	-69.3	48.7821	-87.6316		9	This study	Simpson Island	SI3(20.1 to 28.9)	DE-FM:LP-DC4:LP-DIR-AF	SI3(20.1 to 28.9)	108.1	140.1	-69.3	-61.4		46.7	216.0
1106	1110	1103	Ma	4.3	99.6	779.9	-70.5	48.7817	-87.6310		6	This study	Simpson Island	SI3(36.9 to 48.4)	DE-FM:LP-DC4:LP-DIR-AF	SI3(36.9 to 48.4)	99.6	136	-70.5	-64.7		42.6	221.6
1106	1110	1103	Ma	4.3	105.6	798.8	-70.7	48.7812	-87.6304		6	This study	Simpson Island	SI3(55.8 to 60.9)	DE-FM:LP-DC4:LP-DIR-AF	SI3(55.8 to 60.9)	105.6	139.9	-70.7	-63.2		45.9	219.8
1106	1110	1103	Ma	6.1	84	846.3	-68.1	48.7799	-87.6295		6	This study	Simpson Island	SI3(103.3 to 110.3)	DE-FM:LP-DC4:LP-DIR-AF	SI3(103.3 to 110.3)	84	122.4	-68.1	-65.9		32.9	224.5
1106	1110	1103	Ma	5	81.5	867.8	-63.7	48.7791	-87.6292		5	This study	Simpson Island	SI3(124.8 to 130.4)	DE-FM:LP-DC4:LP-DIR-AF	SI3(124.8 to 130.4)	81.5	114.1	-63.7	-63.1		27.8	220.5
1106	1110	1103	Ma	3.2	54.5	1183.0	-67.3	48.7721	-87.6222		7	This study	Simpson Island	SI9(0.0 to 9.2)	DE-FM:LP-DC4:LP-DIR-AF	SI9(0.0 to 9.2)	54.5	104.4	-67.3	-73.3		19.4	238.8
