tab 	er_sites
er_citation_names	er_location_name	er_site_name	site_class	site_definition	site_height	site_lat	site_lithology	site_location_geoid	site_lon	site_type
This study	Simpson Island	SI8(84.4 to 102.6)	Extrusive : Igneous	s	2420.4	48.7453	Basaltic Lava	WGS84	-87.6239	Lava Flow
This study	Simpson Island	SI8(106.6 to 115.4)	Extrusive : Igneous	s	2442.6	48.7449	Basaltic Lava	WGS84	-87.6276	Lava Flow
This study	Simpson Island	SI6(0.0 to 3.0)	Extrusive : Igneous	s	2451	48.7462	Basaltic Lava	WGS84	-87.6393	Lava Flow
This study	Simpson Island	SI6(12.0 to 28.4)	Extrusive : Igneous	s	2463	48.746	Basaltic Lava	WGS84	-87.6394	Lava Flow
This study	Simpson Island	SI6(40.6 to 57.8)	Extrusive : Igneous	s	2491.6	48.7451	Basaltic Lava	WGS84	-87.6393	Lava Flow
This study	Simpson Island	SI6(76.5 to 94.1)	Extrusive : Igneous	s	2527.5	48.7448	Basaltic Lava	WGS84	-87.6486	Lava Flow
This study	Simpson Island	SI6(94.1 to 104.2)	Extrusive : Igneous	s	2545.1	48.7445	Basaltic Lava	WGS84	-87.6486	Lava Flow
This study	Simpson Island	SI6(122.3 to 127.6)	Extrusive : Igneous	s	2573.3	48.7439	Basaltic Lava	WGS84	-87.6493	Lava Flow
This study	Simpson Island	SI6(180.6 to 188.8)	Extrusive : Igneous	s	2631.6	48.7423	Basaltic Lava	WGS84	-87.65	Lava Flow
This study	Simpson Island	SI6(208.4 to 219.9)	Extrusive : Igneous	s	2659.4	48.7415	Basaltic Lava	WGS84	-87.6483	Lava Flow
This study	Simpson Island	SI6(245.4 to 252.7)	Extrusive : Igneous	s	2696.4	48.7405	Basaltic Lava	WGS84	-87.6476	Lava Flow
This study	Simpson Island	SI6(268.4 to 289.5)	Extrusive : Igneous	s	2719.4	48.7399	Basaltic Lava	WGS84	-87.6467	Lava Flow
This study	Simpson Island	SI6(289.8 to 301.1)	Extrusive : Igneous	s	2740.8	48.7393	Basaltic Lava	WGS84	-87.6464	Lava Flow
This study	Simpson Island	SI7(0.0 to 3.9)	Extrusive : Igneous	s	2798	48.7406	Basaltic Lava	WGS84	-87.6683	Lava Flow
This study	Simpson Island	SI7(3.9 to 5.4)	Extrusive : Igneous	s	2801.9	48.7405	Basaltic Lava	WGS84	-87.6684	Lava Flow
This study	Simpson Island	SI7(9.6 to 18.0)	Extrusive : Igneous	s	2807.6	48.7403	Basaltic Lava	WGS84	-87.6684	Lava Flow
This study	Simpson Island	SI5b(3.2 to 30.7)	Extrusive : Igneous	s	2843.2	48.7408	Basaltic Lava	WGS84	-87.6765	Lava Flow
This study	Simpson Island	SI5b(57.2 to 63.3)	Extrusive : Igneous	s	2897.2	48.7402	Basaltic Lava	WGS84	-87.6838	Lava Flow
This study	Simpson Island	SI5b(64.6 to 70.4)	Extrusive : Igneous	s	2904.6	48.7401	Basaltic Lava	WGS84	-87.6841	Lava Flow
This study	Simpson Island	SI5b(72.6 to 79.0)	Extrusive : Igneous	s	2912.6	48.7399	Basaltic Lava	WGS84	-87.6845	Lava Flow
This study	Simpson Island	SI5b(115.0 to 120.2)	Extrusive : Igneous	s	2955	48.7388	Basaltic Lava	WGS84	-87.6855	Lava Flow
This study	Simpson Island	SI5b(132.4 to 171.9)	Extrusive : Igneous	s	2972.4	48.7385	Basaltic Lava	WGS84	-87.6864	Lava Flow
This study	Simpson Island	SI5b(183.4 to 188.7)	Extrusive : Igneous	s	3023.4	48.7376	Basaltic Lava	WGS84	-87.6934	Lava Flow
This study	Simpson Island	SI5b(197.5 to 216.7)	Extrusive : Igneous	s	3037.5	48.7373	Basaltic Lava	WGS84	-87.6935	Lava Flow
This study	Simpson Island	SI5a(0.0 to 9.0)	Extrusive : Igneous	s	3115	48.7363	Basaltic Lava	WGS84	-87.6962	Lava Flow
This study	Simpson Island	SI1(69.7 to 87.6)	Intrusive : Igneous	s		48.8078	Basaltic Sill	WGS84	-87.6618	Sill
This study	Simpson Island	SI3(D1 to D10)	Intrusive : Igneous	s		48.7805	Basaltic Dike	WGS84	-87.6301	Dike
This study	Simpson Island	SI8(D1-D9)	Intrusive : Igneous	s		48.7459	Basaltic Dike	WGS84	-87.6215	Dike
This study	Simpson Island	SI9(D1-D9)	Intrusive : Igneous	s		48.7718	Basaltic Dike	WGS84	-87.6221	Dike
This study	Simpson Island	SI9(D10 to D18)	Intrusive : Igneous	s		48.7657	Basaltic Dike	WGS84	-87.618	Dike
