tab	sites
age	age_high	age_low	age_sigma	age_unit	citations	criteria	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	location	lon	method_codes	result_quality	result_type	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    1.7 	HT	  298.4 	   35.3 	  1107 	8	8 	8 	0 	t	7.9937 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB19-1:GB19-2:GB19-3:GB19-4:GB19-5:GB19-6:GB19-7:GB19-8	GB19	pmagpy-3.8.9-2: demag_gui.v.3.0	GB19-1a:GB19-2a:GB19-3a:GB19-4a:GB19-5a:GB19-6a:GB19-7a:GB19-8a	    2.0 	    1.1 	   33.3 	  171.5 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    1.7 	HT	  299.5 	   44.7 	  1107 	8	8 	8 	0 	n	7.9937 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB19-1:GB19-2:GB19-3:GB19-4:GB19-5:GB19-6:GB19-7:GB19-8	GB19	pmagpy-3.8.9-2: demag_gui.v.3.0	GB19-1a:GB19-2a:GB19-3a:GB19-4a:GB19-5a:GB19-6a:GB19-7a:GB19-8a	    2.1 	    1.4 	   38.7 	  176.9 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.0 	HT	  298.1 	   37.8 	   793 	8	8 	8 	0 	t	7.9912 	0	47.2	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB2-1:GB2-2:GB2-3:GB2-4:GB2-5:GB2-6:GB2-7:GB2-8	GB2	pmagpy-3.8.9-2: demag_gui.v.3.0	GB2-1a:GB2-2a:GB2-3a:GB2-4a:GB2-5a:GB2-6a:GB2-7a:GB2-8a	    2.4 	    1.4 	   34.3 	  173.2 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.0 	HT	  299.3 	   47.2 	   793 	8	8 	8 	0 	n	7.9912 	100	47.2	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB2-1:GB2-2:GB2-3:GB2-4:GB2-5:GB2-6:GB2-7:GB2-8	GB2	pmagpy-3.8.9-2: demag_gui.v.3.0	GB2-1a:GB2-2a:GB2-3a:GB2-4a:GB2-5a:GB2-6a:GB2-7a:GB2-8a	    2.6 	    1.7 	   39.9 	  179.0 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    3.2 	HT	  298.2 	   35.8 	   362 	7	7 	7 	0 	t	6.9834 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB20-2:GB20-3:GB20-4:GB20-5:GB20-6:GB20-7:GB20-8	GB20	pmagpy-3.8.9-2: demag_gui.v.3.0	GB20-2a:GB20-3a:GB20-4a:GB20-5a:GB20-6a:GB20-7a:GB20-8a	    3.7 	    2.2 	   33.4 	  172.0 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    3.2 	HT	  299.4 	   45.3 	   361 	7	7 	7 	0 	n	6.9834 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB20-2:GB20-3:GB20-4:GB20-5:GB20-6:GB20-7:GB20-8	GB20	pmagpy-3.8.9-2: demag_gui.v.3.0	GB20-2a:GB20-3a:GB20-4a:GB20-5a:GB20-6a:GB20-7a:GB20-8a	    4.1 	    2.6 	   38.9 	  177.5 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.2 	HT	  300.2 	   33.5 	   635 	8	8 	8 	0 	t	7.9890 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB21-1:GB21-2:GB21-3:GB21-4:GB21-5:GB21-6:GB21-7:GB21-8	GB21	pmagpy-3.8.9-2: demag_gui.v.3.0	GB21-1a:GB21-2a:GB21-3a:GB21-4a:GB21-5a:GB21-6a:GB21-7a:GB21-8a	    2.5 	    1.4 	   33.7 	  169.1 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.2 	HT	  301.5 	   42.9 	   633 	8	8 	8 	0 	n	7.9889 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB21-1:GB21-2:GB21-3:GB21-4:GB21-5:GB21-6:GB21-7:GB21-8	GB21	pmagpy-3.8.9-2: demag_gui.v.3.0	GB21-1a:GB21-2a:GB21-3a:GB21-4a:GB21-5a:GB21-6a:GB21-7a:GB21-8a	    2.7 	    1.7 	   39.1 	  174.0 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.6 	HT	  301.2 	   31.8 	   469 	8	8 	8 	0 	t	7.9851 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB22-1:GB22-2:GB22-3:GB22-4:GB22-5:GB22-6:GB22-7:GB22-8	GB22	pmagpy-3.8.9-2: demag_gui.v.3.0	GB22-1a:GB22-2a:GB22-3a:GB22-4a:GB22-5a:GB22-6a:GB22-7a:GB22-8a	    2.9 	    1.6 	   33.6 	  167.4 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.6 	HT	  302.6 	   41.1 	   469 	8	8 	8 	0 	n	7.9851 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB22-1:GB22-2:GB22-3:GB22-4:GB22-5:GB22-6:GB22-7:GB22-8	GB22	pmagpy-3.8.9-2: demag_gui.v.3.0	GB22-1a:GB22-2a:GB22-3a:GB22-4a:GB22-5a:GB22-6a:GB22-7a:GB22-8a	    3.2 	    1.9 	   39.0 	  171.9 
