tab 	samples
azimuth	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lat	lithologies	lon	method_codes	sample	site
316.8	17.0	132.0	This study	-14	Extrusive	Lava Flow	1.2	47.534168	Basalt	269.06516	SO-CMD-NORTH	SLB04.6	SLB04
213.3	17.0	132.0	This study	-3	Extrusive	Lava Flow	1.5	47.534168	Basalt	269.06516	SO-CMD-NORTH	SLB04.7	SLB04
281.5	17.0	132.0	This study	-7	Extrusive	Lava Flow	1.6	47.534168	Basalt	269.06516	SO-CMD-NORTH	SLB04.8	SLB04
296.6	17.0	132.0	This study	-6	Extrusive	Lava Flow	1.3	47.534149	Basalt	269.06503	SO-CMD-NORTH	SLB05.1	SLB05
316.8	17.0	132.0	This study	-14	Extrusive	Lava Flow	1.2	47.534149	Basalt	269.06503	SO-CMD-NORTH	SLB05.2	SLB05
0.3	17.0	132.0	This study	-16	Extrusive	Lava Flow	1.1	47.534149	Basalt	269.06503	SO-CMD-NORTH	SLB05.3	SLB05
296.1	17.0	132.0	This study	-4	Extrusive	Lava Flow	1.2	47.534149	Basalt	269.06503	SO-CMD-NORTH	SLB05.4	SLB05
251.2	17.0	132.0	This study	-22	Extrusive	Lava Flow	1.6	47.534149	Basalt	269.06503	SO-CMD-NORTH	SLB05.6	SLB05
347.2	17.0	132.0	This study	-26	Extrusive	Lava Flow	1.8	47.534149	Basalt	269.06503	SO-CMD-NORTH	SLB05.7	SLB05
345.1	17.0	132.0	This study	-29	Extrusive	Lava Flow	2.0	47.534149	Basalt	269.06503	SO-CMD-NORTH	SLB05.8	SLB05
283.8	17.0	132.0	This study	-24	Extrusive	Lava Flow	2.1	47.534149	Basalt	269.06503	SO-CMD-NORTH	SLB05.9	SLB05
51.2	17.0	132.0	This study	-41	Extrusive	Lava Flow	1.3	47.534351	Basalt	269.06494	SO-CMD-NORTH	SLB06.1	SLB06
149.6	17.0	132.0	This study	-60	Extrusive	Lava Flow	1.2	47.534351	Basalt	269.06494	SO-CMD-NORTH	SLB06.2	SLB06
70.9	17.0	132.0	This study	-16	Extrusive	Lava Flow	0.7	47.534351	Basalt	269.06494	SO-CMD-NORTH	SLB06.3	SLB06
12.2	17.0	132.0	This study	-19	Extrusive	Lava Flow	1.8	47.534351	Basalt	269.06494	SO-CMD-NORTH	SLB06.4	SLB06
350.1	17.0	132.0	This study	-13	Extrusive	Lava Flow	1.8	47.534351	Basalt	269.06494	SO-CMD-NORTH	SLB06.5	SLB06
262.4	17.0	132.0	This study	-33	Extrusive	Lava Flow	2.0	47.534351	Basalt	269.06494	SO-CMD-NORTH	SLB06.6	SLB06
329.4	17.0	132.0	This study	-3	Extrusive	Lava Flow	2.1	47.534351	Basalt	269.06494	SO-CMD-NORTH	SLB06.7	SLB06
59.8	17.0	132.0	This study	-30	Extrusive	Lava Flow	1.2	47.534351	Basalt	269.06494	SO-CMD-NORTH	SLB06.8	SLB06
193.7	17.0	132.0	This study	-14	Extrusive	Lava Flow	1.1	47.534351	Basalt	269.06494	SO-CMD-NORTH	SLB06.9	SLB06
97.7	17.0	132.0	This study	-69	Extrusive	Lava Flow	0.3	47.533699	Basalt	269.06558	SO-CMD-NORTH	SLB07.1	SLB07
359.8	17.0	132.0	This study	-25	Extrusive	Lava Flow	4.2	47.533699	Basalt	269.06558	SO-CMD-NORTH	SLB07.10	SLB07
69.0	17.0	132.0	This study	-73	Extrusive	Lava Flow	0.3	47.533699	Basalt	269.06558	SO-CMD-NORTH	SLB07.2	SLB07
86.0	17.0	132.0	This study	-68	Extrusive	Lava Flow	0.8	47.533699	Basalt	269.06558	SO-CMD-NORTH	SLB07.3	SLB07
103.8	17.0	132.0	This study	-71	Extrusive	Lava Flow	1.3	47.533699	Basalt	269.06558	SO-CMD-NORTH	SLB07.4	SLB07
123.1	17.0	132.0	This study	-89	Extrusive	Lava Flow	1.5	47.533699	Basalt	269.06558	SO-CMD-NORTH	SLB07.5	SLB07
359.7	17.0	132.0	This study	-14	Extrusive	Lava Flow	4.5	47.533699	Basalt	269.06558	SO-CMD-NORTH	SLB07.7	SLB07
339.5	17.0	132.0	This study	-18	Extrusive	Lava Flow	4.4	47.533699	Basalt	269.06558	SO-CMD-NORTH	SLB07.8	SLB07
346.8	17.0	132.0	This study	-20	Extrusive	Lava Flow	4.4	47.533699	Basalt	269.06558	SO-CMD-NORTH	SLB07.9	SLB07
52.0	17.0	132.0	This study	-76	Extrusive	Lava Flow	0.2	47.533279	Basalt	269.0657	SO-CMD-NORTH	SLB08.1	SLB08
353.7	17.0	132.0	This study	-57	Extrusive	Lava Flow	0.6	47.533279	Basalt	269.0657	SO-CMD-NORTH	SLB08.10	SLB08
52.8	17.0	132.0	This study	-77	Extrusive	Lava Flow	0.3	47.533279	Basalt	269.0657	SO-CMD-NORTH	SLB08.2	SLB08
45.7	17.0	132.0	This study	-57	Extrusive	Lava Flow	0.4	47.533279	Basalt	269.0657	SO-CMD-NORTH	SLB08.3	SLB08
57.7	17.0	132.0	This study	-65	Extrusive	Lava Flow	0.5	47.533279	Basalt	269.0657	SO-CMD-NORTH	SLB08.4	SLB08
69.6	17.0	132.0	This study	-62	Extrusive	Lava Flow	0.6	47.533279	Basalt	269.0657	SO-CMD-NORTH	SLB08.5	SLB08
47.0	17.0	132.0	This study	-70	Extrusive	Lava Flow	0.6	47.533279	Basalt	269.0657	SO-CMD-NORTH	SLB08.6	SLB08
45.5	17.0	132.0	This study	-59	Extrusive	Lava Flow	0.4	47.533279	Basalt	269.0657	SO-CMD-NORTH	SLB08.7	SLB08
39.2	17.0	132.0	This study	-86	Extrusive	Lava Flow	0.4	47.533279	Basalt	269.0657	SO-CMD-NORTH	SLB08.8	SLB08
36.3	17.0	132.0	This study	-87	Extrusive	Lava Flow	0.3	47.533279	Basalt	269.0657	SO-CMD-NORTH	SLB08.9	SLB08
325.5	17.0	132.0	This study	-64	Extrusive	Lava Flow	0.6	47.53289	Basalt	269.06589	SO-CMD-NORTH	SLB09.1	SLB09
346.5	17.0	132.0	This study	-32	Extrusive	Lava Flow	0.6	47.53289	Basalt	269.06589	SO-CMD-NORTH	SLB09.3	SLB09
15.4	17.0	132.0	This study	-38	Extrusive	Lava Flow	0.9	47.53289	Basalt	269.06589	SO-CMD-NORTH	SLB09.4	SLB09
13.0	17.0	132.0	This study	-40	Extrusive	Lava Flow	0.9	47.53289	Basalt	269.06589	SO-CMD-NORTH	SLB09.5	SLB09
358.0	17.0	132.0	This study	-37	Extrusive	Lava Flow	0.8	47.53289	Basalt	269.06589	SO-CMD-NORTH	SLB09.6	SLB09
356.8	17.0	132.0	This study	-36	Extrusive	Lava Flow	1.0	47.53289	Basalt	269.06589	SO-CMD-NORTH	SLB09.7	SLB09
351.9	17.0	132.0	This study	-54	Extrusive	Lava Flow	0.3	47.53289	Basalt	269.06589	SO-CMD-NORTH	SLB09.8	SLB09
6.8	17.0	132.0	This study	-26	Extrusive	Lava Flow	0.6	47.532509	Basalt	269.06656	SO-CMD-NORTH	SLB10.1	SLB10
274.3	42.0	113.0	This study	-185	Extrusive	Lava Flow	0.0	47.532509	Basalt	269.06656	SO-CMD-NORTH	SLB10.10	SLB10
342.4	17.0	132.0	This study	-38	Extrusive	Lava Flow	0.8	47.532509	Basalt	269.06656	SO-CMD-NORTH	SLB10.2	SLB10
351.1	17.0	132.0	This study	-37	Extrusive	Lava Flow	0.7	47.532509	Basalt	269.06656	SO-CMD-NORTH	SLB10.3	SLB10
338.1	17.0	132.0	This study	-37	Extrusive	Lava Flow	1.1	47.532509	Basalt	269.06656	SO-CMD-NORTH	SLB10.4	SLB10
137.0	17.0	132.0	This study	-68	Extrusive	Lava Flow	1.7	47.532509	Basalt	269.06656	SO-CMD-NORTH	SLB10.5	SLB10
133.3	17.0	132.0	This study	-75	Extrusive	Lava Flow	1.8	47.532509	Basalt	269.06656	SO-CMD-NORTH	SLB10.6	SLB10
95.0	17.0	132.0	This study	-31	Extrusive	Lava Flow	3.3	47.532509	Basalt	269.06656	SO-CMD-NORTH	SLB10.7	SLB10
105.2	17.0	132.0	This study	-32	Extrusive	Lava Flow	3.4	47.532509	Basalt	269.06656	SO-CMD-NORTH	SLB10.8	SLB10
274.2	42.0	135.0	This study	-217	Extrusive	Lava Flow	0.0	47.532509	Basalt	269.06656	SO-CMD-NORTH	SLB10.9	SLB10
331.8	17.0	132.0	This study	-36	Extrusive	Lava Flow	1.7	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB11.1	SLB11
72.7	17.0	132.0	This study	-67	Extrusive	Lava Flow	2.1	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB11.2	SLB11
345.5	17.0	132.0	This study	-17	Extrusive	Lava Flow	2.3	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB11.3	SLB11
77.1	17.0	132.0	This study	-12	Extrusive	Lava Flow	2.9	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB11.4	SLB11
3.8	17.0	132.0	This study	-16	Extrusive	Lava Flow	3.0	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB11.5	SLB11
25.9	17.0	132.0	This study	-11	Extrusive	Lava Flow	3.1	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB11.6	SLB11
26.8	17.0	132.0	This study	-7	Extrusive	Lava Flow	3.0	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB11.7	SLB11
5.1	17.0	132.0	This study	-8	Extrusive	Lava Flow	3.0	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB11.8	SLB11
307.5	17.0	132.0	This study	-15	Extrusive	Lava Flow	3.1	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB11.9	SLB11
265.6	17.0	132.0	This study	-27	Extrusive	Lava Flow	0.8	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB12.1	SLB12
91.6	17.0	132.0	This study	-19	Extrusive	Lava Flow	1.5	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB12.2	SLB12
93.8	17.0	132.0	This study	-16	Extrusive	Lava Flow	1.5	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB12.3	SLB12
96.5	17.0	132.0	This study	-16	Extrusive	Lava Flow	1.6	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB12.4	SLB12
250.1	17.0	132.0	This study	-2	Extrusive	Lava Flow	1.5	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB12.5	SLB12
323.6	17.0	132.0	This study	-4	Extrusive	Lava Flow	1.5	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB12.6	SLB12
103.6	17.0	132.0	This study	-19	Extrusive	Lava Flow	1.6	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB12.7	SLB12
80.2	17.0	132.0	This study	-17	Extrusive	Lava Flow	1.7	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB12.8	SLB12
80.3	17.0	132.0	This study	-32	Extrusive	Lava Flow	2.4	47.53223	Basalt	269.0665	SO-CMD-NORTH	SLB12.9	SLB12
165.5	17.0	132.0	This study	-78	Extrusive	Lava Flow	0.8	47.531761	Basalt	269.06705	SO-CMD-NORTH	SLB13.1	SLB13
166.0	17.0	132.0	This study	-77	Extrusive	Lava Flow	0.9	47.531761	Basalt	269.06705	SO-CMD-NORTH	SLB13.2	SLB13
165.8	17.0	132.0	This study	-83	Extrusive	Lava Flow	0.9	47.531761	Basalt	269.06705	SO-CMD-NORTH	SLB13.3	SLB13
54.3	17.0	132.0	This study	-24	Extrusive	Lava Flow	0.8	47.531761	Basalt	269.06705	SO-CMD-NORTH	SLB13.4	SLB13
50.6	17.0	132.0	This study	-43	Extrusive	Lava Flow	1.4	47.531761	Basalt	269.06705	SO-CMD-NORTH	SLB13.5	SLB13
59.2	17.0	132.0	This study	-46	Extrusive	Lava Flow	1.4	47.531761	Basalt	269.06705	SO-CMD-NORTH	SLB13.6	SLB13
54.7	17.0	132.0	This study	-49	Extrusive	Lava Flow	1.4	47.531761	Basalt	269.06705	SO-CMD-NORTH	SLB13.7	SLB13
97.0	17.0	132.0	This study	-13	Extrusive	Lava Flow	1.0	47.531761	Basalt	269.06705	SO-CMD-NORTH	SLB13.8	SLB13
292.0	17.0	132.0	This study	-41	Extrusive	Lava Flow	0.8	47.531109	Basalt	269.06747	SO-CMD-NORTH	SLB14.1	SLB14
359.0	17.0	132.0	This study	-8	Extrusive	Lava Flow	1.0	47.531109	Basalt	269.06747	SO-CMD-NORTH	SLB14.2	SLB14
29.0	17.0	132.0	This study	-23	Extrusive	Lava Flow	1.2	47.531109	Basalt	269.06747	SO-CMD-NORTH	SLB14.3	SLB14
227.0	17.0	132.0	This study	-15	Extrusive	Lava Flow	1.3	47.531109	Basalt	269.06747	SO-CMD-NORTH	SLB14.4	SLB14
253.0	17.0	132.0	This study	-21	Extrusive	Lava Flow	1.3	47.531109	Basalt	269.06747	SO-CMD-NORTH	SLB14.5	SLB14
138.0	17.0	132.0	This study	-21	Extrusive	Lava Flow	1.5	47.531109	Basalt	269.06747	SO-CMD-NORTH	SLB14.6	SLB14
141.0	17.0	132.0	This study	-18	Extrusive	Lava Flow	1.5	47.531109	Basalt	269.06747	SO-CMD-NORTH	SLB14.7	SLB14
95.0	17.0	132.0	This study	-11	Extrusive	Lava Flow	1.7	47.531109	Basalt	269.06747	SO-CMD-NORTH	SLB14.8	SLB14
260.0	17.0	132.0	This study	-51	Extrusive	Lava Flow	1.6	47.531109	Basalt	269.06747	SO-CMD-NORTH	SLB14.9	SLB14
15.0	17.0	132.0	This study	-27	Extrusive	Lava Flow	15.0	47.530918	Basalt	269.06848	SO-CMD-NORTH	SLB15.1	SLB15
41.0	17.0	132.0	This study	-42	Extrusive	Lava Flow	15.1	47.530918	Basalt	269.06848	SO-CMD-NORTH	SLB15.2	SLB15
33.3	17.0	132.0	This study	-34	Extrusive	Lava Flow	15.2	47.530918	Basalt	269.06848	SO-CMD-NORTH	SLB15.3	SLB15
48.0	17.0	132.0	This study	-16	Extrusive	Lava Flow	15.7	47.530918	Basalt	269.06848	SO-CMD-NORTH	SLB15.4	SLB15
40.0	17.0	132.0	This study	-19	Extrusive	Lava Flow	15.8	47.530918	Basalt	269.06848	SO-CMD-NORTH	SLB15.5	SLB15
300.0	17.0	132.0	This study	-23	Extrusive	Lava Flow	17.2	47.530918	Basalt	269.06848	SO-CMD-NORTH	SLB15.6	SLB15
272.0	17.0	132.0	This study	-7	Extrusive	Lava Flow	17.7	47.530918	Basalt	269.06848	SO-CMD-NORTH	SLB15.7	SLB15
243.0	17.0	132.0	This study	-27	Extrusive	Lava Flow	18.0	47.530918	Basalt	269.06848	SO-CMD-NORTH	SLB15.8	SLB15
231.0	17.0	132.0	This study	-35	Extrusive	Lava Flow	18.1	47.530918	Basalt	269.06848	SO-CMD-NORTH	SLB15.9	SLB15
325.0	17.0	132.0	This study	-17	Extrusive	Lava Flow	8.2	47.530602	Basalt	269.06897	SO-CMD-NORTH	SLB16.1	SLB16
340.0	17.0	132.0	This study	-32	Extrusive	Lava Flow	8.2	47.530602	Basalt	269.06897	SO-CMD-NORTH	SLB16.2	SLB16
352.0	17.0	132.0	This study	-84	Extrusive	Lava Flow	8.3	47.530602	Basalt	269.06897	SO-CMD-NORTH	SLB16.3	SLB16
170.0	17.0	132.0	This study	-31	Extrusive	Lava Flow	9.0	47.530602	Basalt	269.06897	SO-CMD-NORTH	SLB16.4	SLB16
124.0	17.0	132.0	This study	-44	Extrusive	Lava Flow	9.5	47.530602	Basalt	269.06897	SO-CMD-NORTH	SLB16.5	SLB16
167.0	17.0	132.0	This study	-19	Extrusive	Lava Flow	9.7	47.530602	Basalt	269.06897	SO-CMD-NORTH	SLB16.6	SLB16
143.0	17.0	132.0	This study	-11	Extrusive	Lava Flow	10.0	47.530602	Basalt	269.06897	SO-CMD-NORTH	SLB16.7	SLB16
103.0	17.0	132.0	This study	-43	Extrusive	Lava Flow	11.0	47.530602	Basalt	269.06897	SO-CMD-NORTH	SLB16.8	SLB16
350.0	17.0	132.0	This study	-24	Extrusive	Lava Flow	11.9	47.530602	Basalt	269.06897	SO-CMD-NORTH	SLB16.9	SLB16
97.0	17.0	132.0	This study	-46	Extrusive	Lava Flow	2.4	47.530239	Basalt	269.06924	SO-CMD-NORTH	SLB17.1	SLB17
109.0	17.0	132.0	This study	-24	Extrusive	Lava Flow	2.2	47.530239	Basalt	269.06924	SO-CMD-NORTH	SLB17.2	SLB17
89.0	17.0	132.0	This study	-55	Extrusive	Lava Flow	2.4	47.530239	Basalt	269.06924	SO-CMD-NORTH	SLB17.3	SLB17
122.0	17.0	132.0	This study	-26	Extrusive	Lava Flow	2.8	47.530239	Basalt	269.06924	SO-CMD-NORTH	SLB17.4	SLB17
273.0	17.0	132.0	This study	-34	Extrusive	Lava Flow	3.0	47.530239	Basalt	269.06924	SO-CMD-NORTH	SLB17.5	SLB17
352.0	17.0	132.0	This study	-49	Extrusive	Lava Flow	3.2	47.530239	Basalt	269.06924	SO-CMD-NORTH	SLB17.6	SLB17
119.0	17.0	132.0	This study	-10	Extrusive	Lava Flow	3.8	47.530239	Basalt	269.06924	SO-CMD-NORTH	SLB17.7	SLB17
298.0	17.0	132.0	This study	-17	Extrusive	Lava Flow	3.9	47.530239	Basalt	269.06924	SO-CMD-NORTH	SLB17.8	SLB17
68.4	17.0	132.0	This study	-32	Extrusive	Lava Flow	1.7	47.53006	Basalt	269.06937	SO-CMD-NORTH	SLB18.1	SLB18
339.7	17.0	132.0	This study	-27	Extrusive	Lava Flow	1.7	47.53006	Basalt	269.06937	SO-CMD-NORTH	SLB18.2	SLB18
339.4	17.0	132.0	This study	-40	Extrusive	Lava Flow	1.9	47.53006	Basalt	269.06937	SO-CMD-NORTH	SLB18.3	SLB18
277.4	17.0	132.0	This study	-27	Extrusive	Lava Flow	1.9	47.53006	Basalt	269.06937	SO-CMD-NORTH	SLB18.4	SLB18
85.6	17.0	132.0	This study	-58	Extrusive	Lava Flow	2.0	47.53006	Basalt	269.06937	SO-CMD-NORTH	SLB18.5	SLB18
95.8	17.0	132.0	This study	-52	Extrusive	Lava Flow	2.0	47.53006	Basalt	269.06937	SO-CMD-NORTH	SLB18.6	SLB18
79.2	17.0	132.0	This study	-15	Extrusive	Lava Flow	2.2	47.53006	Basalt	269.06937	SO-CMD-NORTH	SLB18.7	SLB18
332.0	17.0	132.0	This study	-20	Extrusive	Lava Flow	2.2	47.53006	Basalt	269.06937	SO-CMD-NORTH	SLB18.8	SLB18
343.1	17.0	132.0	This study	-25	Extrusive	Lava Flow	2.2	47.53006	Basalt	269.06937	SO-CMD-NORTH	SLB18.9	SLB18
134.0	17.0	132.0	This study	-40	Extrusive	Lava Flow	0.7	47.529949	Basalt	269.06961	SO-CMD-NORTH	SLB19.1	SLB19
197.0	17.0	132.0	This study	-11	Extrusive	Lava Flow	0.9	47.529949	Basalt	269.06961	SO-CMD-NORTH	SLB19.2	SLB19
138.0	17.0	132.0	This study	-10	Extrusive	Lava Flow	1.0	47.529949	Basalt	269.06961	SO-CMD-NORTH	SLB19.3	SLB19
130.0	17.0	132.0	This study	-36	Extrusive	Lava Flow	1.0	47.529949	Basalt	269.06961	SO-CMD-NORTH	SLB19.4	SLB19
111.0	17.0	132.0	This study	-52	Extrusive	Lava Flow	0.8	47.529949	Basalt	269.06961	SO-CMD-NORTH	SLB19.5	SLB19
132.0	17.0	132.0	This study	-53	Extrusive	Lava Flow	0.5	47.529949	Basalt	269.06961	SO-CMD-NORTH	SLB19.6	SLB19
313.0	17.0	132.0	This study	-22	Extrusive	Lava Flow	1.3	47.529949	Basalt	269.06961	SO-CMD-NORTH	SLB19.7	SLB19
25.0	17.0	132.0	This study	-34	Extrusive	Lava Flow	1.3	47.529949	Basalt	269.06961	SO-CMD-NORTH	SLB19.8	SLB19
262.0	17.0	132.0	This study	-27	Extrusive	Lava Flow	1.3	47.529949	Basalt	269.06961	SO-CMD-NORTH	SLB19.9	SLB19
114.0	17.0	132.0	This study	-17	Extrusive	Lava Flow	1.0	47.52977	Basalt	269.06967	SO-CMD-NORTH	SLB20.1	SLB20
317.0	17.0	132.0	This study	-24	Extrusive	Lava Flow	1.3	47.52977	Basalt	269.06967	SO-CMD-NORTH	SLB20.2	SLB20
153.0	17.0	132.0	This study	-20	Extrusive	Lava Flow	1.6	47.52977	Basalt	269.06967	SO-CMD-NORTH	SLB20.3	SLB20
179.0	17.0	132.0	This study	-45	Extrusive	Lava Flow	2.0	47.52977	Basalt	269.06967	SO-CMD-NORTH	SLB20.4	SLB20
170.0	17.0	132.0	This study	-31	Extrusive	Lava Flow	2.2	47.52977	Basalt	269.06967	SO-CMD-NORTH	SLB20.5	SLB20
