tab 	pmag_results
average_age	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_inc	average_k	average_lat	average_lon	average_n	average_n_lines	average_n_planes	average_r	data_type	er_analyst_mail_names	er_citation_names	er_location_names	er_site_names	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	pmag_result_name	pole_comp_name	result_description	tilt_correction	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
1.0835e+03	5.0000e-01	Ma	5.5	285.1	-8.3	103	47.7044	-85.8514	8	8	0	7.9323	i		This study	Michipicoten Island	SS4	SS4-1a:SS4-2a:SS4-3a:SS4-4a:SS4-5a:SS4-6a:SS4-7a:SS4-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS4	HT	Site VGP, coord system = 100 component: LT	0	5.5	2.8	7.0	170.1	8
1.0835e+03	5.0000e-01	Ma	6.5	342.4	75.0	1476	47.7044	-85.8514	2	2	0	1.9993	i		This study	Michipicoten Island	SS4	SS4-6a:SS4-7a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	pmagpy-3.4.1	ACCEPT	VGP Site: SS4	LT	Site VGP, coord system = 100 component: LT	0	11.9	10.8	72.7	245.4	2
1.0835e+03	5.0000e-01	Ma	5.5	287.4	-3.2	104	47.7044	-85.8514	8	8	0	7.9324	i		This study	Michipicoten Island	SS4	SS4-1a:SS4-2a:SS4-3a:SS4-4a:SS4-5a:SS4-6a:SS4-7a:SS4-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS4	HT	Site VGP, coord system = 100 component: LT	100	5.5	2.8	10.4	170.0	8
1.0835e+03	5.0000e-01	Ma	6.4	214.6	79.7	1516	47.7044	-85.8514	2	2	0	1.9993	i		This study	Michipicoten Island	SS4	SS4-6a:SS4-7a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4	pmagpy-3.4.1	ACCEPT	VGP Site: SS4	LT	Site VGP, coord system = 100 component: LT	100	12.2	11.7	30.4	261.2	2
1.0835e+03	5.0000e-01	Ma	7.3	300.3	16.9	50	47.7036	-85.8500	9	9	0	8.8408	i		This study	Michipicoten Island	SS5	SS5-1a:SS5-2a:SS5-3a:SS5-4a:SS5-5a:SS5-6a:SS5-7a:SS5-8a:SS5-9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS5	HT	Site VGP, coord system = 100 component: LT	0	7.5	3.9	26.5	166.7	9
1.0835e+03	5.0000e-01	Ma	7.3	291.9	25.9	50	47.7036	-85.8500	9	9	0	8.8412	i		This study	Michipicoten Island	SS5	SS5-1a:SS5-2a:SS5-3a:SS5-4a:SS5-5a:SS5-6a:SS5-7a:SS5-8a:SS5-9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS5	HT	Site VGP, coord system = 100 component: LT	100	7.9	4.3	24.7	177.2	9
1.0835e+03	5.0000e-01	Ma	4.6	292.7	-2.9	146	47.7028	-85.8483	8	8	0	7.9520	i		This study	Michipicoten Island	SS6	SS6-1a:SS6-2a:SS6-3a:SS6-4a:SS6-5a:SS6-6a:SS6-7a:SS6-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS6	HT	Site VGP, coord system = 100 component: LT	0	4.6	2.3	13.9	166.0	8
1.0835e+03	5.0000e-01	Ma		353.2	76.2		47.7028	-85.8483	1	1	0		i		This study	Michipicoten Island	SS6	SS6-3a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	pmagpy-3.4.1	ACCEPT	VGP Site: SS6	LT	Site VGP, coord system = 100 component: LT	0	332.7	307.5	73.4	263.6	1
1.0835e+03	5.0000e-01	Ma	4.6	292.4	4.7	145	47.7028	-85.8483	8	8	0	7.9517	i		This study	Michipicoten Island	SS6	SS6-1a:SS6-2a:SS6-3a:SS6-4a:SS6-5a:SS6-6a:SS6-7a:SS6-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS6	HT	Site VGP, coord system = 100 component: LT	100	4.6	2.3	16.7	168.8	8
1.0835e+03	5.0000e-01	Ma		198.0	80.4		47.7028	-85.8483	1	1	0		i		This study	Michipicoten Island	SS6	SS6-3a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4	pmagpy-3.4.1	ACCEPT	VGP Site: SS6	LT	Site VGP, coord system = 100 component: LT	100	345.9	332.3	29.7	267.6	1
1.0835e+03	5.0000e-01	Ma	10.2	294.9	0.2	30	47.7022	-85.8453	8	8	0	7.7687	i		This study	Michipicoten Island	SS7	SS7-1a:SS7-2a:SS7-3a:SS7-4a:SS7-5a:SS7-6a:SS7-7a:SS7-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS7	HT	Site VGP, coord system = 100 component: LT	0	10.2	5.1	16.5	165.3	8
1.0835e+03	5.0000e-01	Ma	10.2	293.2	8.3	30	47.7022	-85.8453	8	8	0	7.7700	i		This study	Michipicoten Island	SS7	SS7-1a:SS7-2a:SS7-3a:SS7-4a:SS7-5a:SS7-6a:SS7-7a:SS7-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS7	HT	Site VGP, coord system = 100 component: LT	100	10.3	5.2	18.6	169.4	8
1.0835e+03	5.0000e-01	Ma	4.2	277.9	11.4	173	47.7047	-85.8511	8	8	0	7.9596	i		This study	Michipicoten Island	SS8	SS8-1a:SS8-2a:SS8-3a:SS8-4a:SS8-5a:SS8-6a:SS8-7a:SS8-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS8	HT	Site VGP, coord system = 100 component: LT	0	4.3	2.2	9.6	182.2	8
1.0835e+03	5.0000e-01	Ma	5.1	336.8	75.9	224	47.7047	-85.8511	5	5	0	4.9821	i		This study	Michipicoten Island	SS8	SS8-3a:SS8-4a:SS8-5a:SS8-6a:SS8-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS8	LT	Site VGP, coord system = 100 component: LT	0	9.4	8.7	69.8	243.3	5
1.0835e+03	5.0000e-01	Ma	4.2	273.1	12.2	173	47.7047	-85.8511	8	8	0	7.9595	i		This study	Michipicoten Island	SS8	SS8-1a:SS8-2a:SS8-3a:SS8-4a:SS8-5a:SS8-6a:SS8-7a:SS8-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS8	HT	Site VGP, coord system = 100 component: LT	100	4.3	2.2	6.6	186.0	8
1.0835e+03	5.0000e-01	Ma	5.1	215.2	78.0	223	47.7047	-85.8511	5	5	0	4.9821	i		This study	Michipicoten Island	SS8	SS8-3a:SS8-4a:SS8-5a:SS8-6a:SS8-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS8	LT	Site VGP, coord system = 100 component: LT	100	9.6	9.0	27.7	259.4	5
1.0835e+03	5.0000e-01	Ma	5.5	290.5	18.0	103	47.7031	-85.8489	8	8	0	7.9319	i		This study	Michipicoten Island	SS9	SS9-1a:SS9-2a:SS9-3a:SS9-4a:SS9-5a:SS9-6a:SS9-7a:SS9-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS9	HT	Site VGP, coord system = 100 component: LT	0	5.7	3.0	20.6	175.1	8
1.0835e+03	5.0000e-01	Ma	26.4	336.2	60.3	23	47.7031	-85.8489	3	3	0	2.9126	i		This study	Michipicoten Island	SS9	SS9-6a:SS9-7a:SS9-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS9	LT	Site VGP, coord system = 100 component: LT	0	40.1	30.4	71.9	172.0	3
1.0835e+03	5.0000e-01	Ma	5.5	282.0	23.2	103	47.7031	-85.8489	8	8	0	7.9322	i		This study	Michipicoten Island	SS9	SS9-1a:SS9-2a:SS9-3a:SS9-4a:SS9-5a:SS9-6a:SS9-7a:SS9-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS9	HT	Site VGP, coord system = 100 component: LT	100	5.9	3.1	17.0	183.6	8
1.0835e+03	5.0000e-01	Ma	26.4	290.2	76.3	23	47.7031	-85.8489	3	3	0	2.9126	i		This study	Michipicoten Island	SS9	SS9-6a:SS9-7a:SS9-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS9	LT	Site VGP, coord system = 100 component: LT	100	48.8	45.2	50.1	234.3	3
