tab 	sites
age	age_high	age_low	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	height	lat	lithologies	location	lon	method_codes	result_quality	result_type	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon
29	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	2.9	hem	290.2	53.8	357.0	8	8	8	0	n	7.9804	100	Extrusive	Lava Flow	76.4	47.53417	Basalt	Two Island River	269.06516	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	SLB04.1:SLB04.2:SLB04.3:SLB04.4:SLB04.5:SLB04.6:SLB04.7:SLB04.8	SLB04	pmagpy-3.4.1: demag_gui.v.3.0	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	4.1	2.8	37.5	191.5
29	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	2.7	mag	292.9	53.3	427.0	8	8	8	0	n	7.9836	100	Extrusive	Lava Flow	76.4	47.53417	Basalt	Two Island River	269.06516	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	SLB04.1:SLB04.2:SLB04.3:SLB04.4:SLB04.5:SLB04.6:SLB04.7:SLB04.8	SLB04	pmagpy-3.4.1: demag_gui.v.3.0	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	3.8	2.6	39.0	189.3
30	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	3.7	hem	292.3	39.4	223.0	8	8	8	0	t	7.9686	0	Extrusive	Lava Flow		47.53415	Basalt	Two Island River	269.06504	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	SLB05.1:SLB05.2:SLB05.3:SLB05.4:SLB05.6:SLB05.7:SLB05.8:SLB05.9	SLB05	pmagpy-3.4.1: demag_gui.v.3.0	SLB05.1a:SLB05.2a:SLB05.3a:SLB05.4a:SLB05.6a:SLB05.7a:SLB05.8a:SLB05.9a	4.4	2.7	31.1	178.9
30	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	3.7	mag	294.5	39.2	219.0	8	8	8	0	t	7.9681	0	Extrusive	Lava Flow		47.53415	Basalt	Two Island River	269.06504	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	SLB05.1:SLB05.2:SLB05.3:SLB05.4:SLB05.6:SLB05.7:SLB05.8:SLB05.9	SLB05	pmagpy-3.4.1: demag_gui.v.3.0	SLB05.1a:SLB05.2a:SLB05.3a:SLB05.4a:SLB05.6a:SLB05.7a:SLB05.8a:SLB05.9a	4.4	2.6	32.5	177.1
30	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	3.7	hem	284.9	55.0	223.0	8	8	8	0	t	7.9686	100	Extrusive	Lava Flow		47.53415	Basalt	Two Island River	269.06504	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	SLB05.1:SLB05.2:SLB05.3:SLB05.4:SLB05.6:SLB05.7:SLB05.8:SLB05.9	SLB05	pmagpy-3.4.1: demag_gui.v.3.0	SLB05.1a:SLB05.2a:SLB05.3a:SLB05.4a:SLB05.6a:SLB05.7a:SLB05.8a:SLB05.9a	5.2	3.7	34.7	195.9
30	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	3.8	mag	287.9	55.2	218.0	8	8	8	0	n	7.968	100	Extrusive	Lava Flow		47.53415	Basalt	Two Island River	269.06504	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	SLB05.1:SLB05.2:SLB05.3:SLB05.4:SLB05.6:SLB05.7:SLB05.8:SLB05.9	SLB05	pmagpy-3.4.1: demag_gui.v.3.0	SLB05.1a:SLB05.2a:SLB05.3a:SLB05.4a:SLB05.6a:SLB05.7a:SLB05.8a:SLB05.9a	5.4	3.8	36.8	194.3
31	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	2.8	hem	291.1	37.3	337.0	9	9	9	0	t	8.9763	0	Extrusive	Lava Flow		47.53435	Basalt	Two Island River	269.06495	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	SLB06.1:SLB06.2:SLB06.3:SLB06.4:SLB06.5:SLB06.6:SLB06.7:SLB06.8:SLB06.9	SLB06	pmagpy-3.4.1: demag_gui.v.3.0	SLB06.1a:SLB06.2a:SLB06.3a:SLB06.4a:SLB06.5a:SLB06.6a:SLB06.7a:SLB06.8a:SLB06.9a	3.3	1.9	29.3	178.5
31	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	2.8	mag	290.4	37.2	336.0	9	9	9	0	t	8.9762	0	Extrusive	Lava Flow		47.53435	Basalt	Two Island River	269.06495	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	SLB06.1:SLB06.2:SLB06.3:SLB06.4:SLB06.5:SLB06.6:SLB06.7:SLB06.8:SLB06.9	SLB06	pmagpy-3.4.1: demag_gui.v.3.0	SLB06.1a:SLB06.2a:SLB06.3a:SLB06.4a:SLB06.5a:SLB06.6a:SLB06.7a:SLB06.8a:SLB06.9a	3.3	1.9	28.8	179.0
31	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	2.8	hem	284.1	52.8	337.0	9	9	9	0	t	8.9763	100	Extrusive	Lava Flow		47.53435	Basalt	Two Island River	269.06495	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	SLB06.1:SLB06.2:SLB06.3:SLB06.4:SLB06.5:SLB06.6:SLB06.7:SLB06.8:SLB06.9	SLB06	pmagpy-3.4.1: demag_gui.v.3.0	SLB06.1a:SLB06.2a:SLB06.3a:SLB06.4a:SLB06.5a:SLB06.6a:SLB06.7a:SLB06.8a:SLB06.9a	3.9	2.7	32.9	194.3
31	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	2.8	mag	283.2	52.6	337.0	9	9	9	0	t	8.9763	100	Extrusive	Lava Flow		47.53435	Basalt	Two Island River	269.06495	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	SLB06.1:SLB06.2:SLB06.3:SLB06.4:SLB06.5:SLB06.6:SLB06.7:SLB06.8:SLB06.9	SLB06	pmagpy-3.4.1: demag_gui.v.3.0	SLB06.1a:SLB06.2a:SLB06.3a:SLB06.4a:SLB06.5a:SLB06.6a:SLB06.7a:SLB06.8a:SLB06.9a	3.9	2.7	32.2	194.7
