,PoleName,SLat,SLon,PLat,PLon,A95,K,N,PolarityZone,PmagRef,AgeNominal,AgeLower,AgeUpper,AgeInfo,AgeRef,Gaussian_2sigma,GaussianOrUniform,Q,color
Nonesuch,Nonesuch Formation,46.7,270.1,7.6,178.1,5.6,,11,Portage Lake normal-polarity zone (sed),"Henry et al., 1977",1080,1070,1083.5,Likely younger than Michipicoten Island Formation. Deposited prior to eruption of Bear Lake Volcanics in lower Freda Sandstone,,,uniform,,#B3D566
Freda,Freda Formation,46.7,270.1,2.2,179,4.2,,20,Portage Lake normal-polarity zone (sed),"Henry et al., 1977",1070,1060,1083.5,Data come from lowermost Freda Formation. Interbedded Bear Lake Volcanics suggest that not too much younger than youngest rift volcanism,,,uniform,,#D5C888
Haliburton,Haliburton Intrusions,45,281.4,-32.6,141.9,6.3,,17,,"Warnock,A.C., Kodama,K.P., Zeitler,P.K., 2000",1015,1000,1030,,,,,,
Adirondack,Adirondack Highlands,,,-23.2,147.2,6.62721661,,,,Brown and McEnroe as calculated in Halls (2015),980,960,1030,"From Brown and McEnroe (2012): "" cooling curves established for the Highlands, and blocking temperatures determined for ilmeno-hematite, hemo- ilmenite and magnetite, the age of remanence is determined to be _990 Ma for the magnetite-bearing Wanakena granite, _970 Ma for the metamorphosed anorthosite and related rocks, and _960 Ma for the ilmeno-hematite rich microcline gneiss""",,,,,
Lac_StJean,Lac St. Jean Anorthosite ,,,-19.3,146.1,10,,,,Buchan et al 1983 as compiled in Halls 2015,1000,1060,960,Poorly constrained; giving full Grenvillian range,,,,,
Whitestone,Whitestone diorite,,,-22,140.6,9,,,,Ueno et al 1975 as compiled in Halls 2015,960,940,980,"From Brown and McEnroe (2012): ""The Whitestone Anorthosite and Diorite, located near Parry Sound in a region effected by the Ottawan phase, has been studied by Ueno et al. (1975) and later dated with 40 Ar/39 Ar studies on hornblendes by Dallmeyer and Sutter (1980) yielding an age of 980 Ma. The mineralogy reported by Ueno et al. (1975) consists of ilmeno-hematite and hemo-ilmenite with fine lamellae; thus actual acquisition of the remanence is younger than the hornblende age. The reported pole is close to the gneiss and metamorphic anorthosites, as expected for magnetiza- tion younger than 980 Ma. ",,,,,
Morin,Morin Anorthosite ,,,-42.3,140.2,9,,,,"Irving et al., 1974; as compiled in Halls 2015",1000,1060,960,"From Brown and McEnroe (2012): ""North of the Adirondacks is the Morin terrain, of similar geologic history, but with an earlier onset of Ottawan metamorphism (Peck and Valley, 2000). Irving et al. (1974) studied the magnetization of the Morin Anorthosite in detail and noted that the high coercivity characteristic remanence was carried by ilmenite with exsolved hematite. Following the discussion of the microcline gneiss samples presented here, the acquisition temper- ature for the Morin samples was probably similar, less than 520 _ C. Detailed cooling curves do not exist for the Morin terrain, and the best estimate for peak metamorphism is 30�90 my earlier than in the Adirondacks (Peck and Valley, 2000) requiring the magnetiza- tion to be older than 960 Ma. """,,,,,
UMG,Uinta_Mountain_Group,40.8,250.7,0.8,161.3,4.7,,8,,"Weil et al., 2006",760,750,770,"Correlation with Chuar Group (Dehler et al., 2017)",,,,,
Galeros,Galeros,,,-2.1,163,6,,16,,"Weil et al., 2006",757,750,782,"Maximum is DZ from Dehler et al., 2017; 757 is Re-Os from Carbon Canyon Member and minimum is Re-Os from Kwagunt (Rooney et al., 2017)",,,,,
Gunbarrel,Tsezotene Sills Combined,63.5,235,1.6,137.8,5,,17,,"Park,J.K., Norris,D.K., Larochelle,A., 1989",778,776,780,,,,,,
Franklin,Franklin event grand mean,73,275.4,6.7,162.1,3,,56,,"Denyszyn,S.W., Halls,H.C., Davis,D.W., Evans,D.A.D., 2009",724,721,727,,,,,,
