tab 	magic_measurements																							
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Agate Point	AP1-2	AP1	AP1-2a	AP1-2a:LP-DIR-T	hargrave 2016-05-17 14:11:17	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	340		g	-75.5	4.00E-06	15	1	1.04E-07	7.45E-08	5.31E-08	u	273	0	0	848
This study	Agate Point	AP1-2	AP1	AP1-2a	AP1-2a:LP-DIR-T	hargrave 2016-05-18 11:03:19	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	342.9		g	-75.2	3.49E-06	16	1	7.37E-08	6.79E-08	4.10E-08	u	273	0	0	853
This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-04-08 16:17:08	LT-NO:LP-DIR-T	pmagpy-3.4.0	2.4	308.1		g	-58.7	2.15E-05	1	1	8.41E-07	3.08E-07	2.40E-07	u	273	0	0	273
This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-04-11 16:34:53	LT-LT-Z:LP-DIR-T	pmagpy-3.4.0	2	309.8		g	-58.8	2.09E-05	2	1	6.74E-07	2.56E-07	2.31E-07	u	273	0	0	77
This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-04-18 09:21:55	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.7	309.4		g	-58.8	2.11E-05	3	1	8.94E-07	3.64E-07	2.20E-07	u	273	0	0	373
This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-04-18 16:37:20	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	311.8		g	-59.2	2.17E-05	4	1	6.38E-07	2.68E-07	2.39E-07	u	273	0	0	473
This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-04-19 12:24:35	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.6	313.6		g	-59.7	1.94E-05	5	1	8.10E-07	2.77E-07	2.44E-07	u	273	0	0	573
This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-04-25 11:59:25	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.2	313.7		g	-59.7	1.36E-05	6	1	4.53E-07	2.17E-07	1.91E-07	u	273	0	0	623
This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-04-26 08:54:39	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.5	314.4		g	-59.9	1.21E-05	7	1	6.30E-07	3.96E-07	1.53E-07	u	273	0	0	673
This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-04-26 16:23:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.5	312.8		g	-59.7	1.10E-05	8	1	4.11E-07	2.31E-07	1.35E-07	u	273	0	0	723
This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-05-02 13:17:50	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	316		g	-60.2	1.02E-05	9	1	1.76E-07	2.11E-07	1.06E-07	u	273	0	0	748
This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-05-02 19:40:49	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	315.7		g	-59.9	9.42E-06	10	1	2.76E-07	1.34E-07	1.31E-07	u	273	0	0	773
This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-05-03 18:33:51	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	316.6		g	-60	8.43E-06	11	1	1.71E-07	1.53E-07	9.69E-08	u	273	0	0	798
This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-05-12 14:14:20	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2	315.8		g	-60.1	7.07E-06	12	1	2.19E-07	1.05E-07	9.49E-08	u	273	0	0	823
This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-05-16 11:55:07	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2	315.9		g	-60	5.97E-06	13	1	1.77E-07	8.73E-08	8.31E-08	u	273	0	0	833
