,citations,dir_dec,dir_inc,dir_n_samples,dir_polarity,dir_tilt_correction,geologic_classes,geologic_types,lat,lithologies,location,lon,method_codes,result_type,site,formation,site_alternatives,paleolatitude,vgp_lat,vgp_lon,vgp_lat_rev,vgp_lon_rev
114,This study,285.2,41.6,4,n,100,Extrusive,Lava Flow,47.61006809,Basalt,North Shore Volcanic Group:Minnesota,-90.77244775,,a,NS371,,Onion River lavas,23.9374290789,27.4662103421,185.474423446,-27.4662103421,5.47442344589
115,This study,299.4,57.3,3,n,100,Extrusive,Lava Flow,47.55831389,Basalt,North Shore Volcanic Group:Minnesota,-90.87729197,,a,NS380,,Schroeder-Lutsen basalts,37.9125299591,45.6278165951,189.740019113,-45.6278165951,9.74001911305
116,This study,286.6,40.1,5,n,100,Extrusive,Lava Flow,47.64405279,Basalt,North Shore Volcanic Group:Minnesota,-90.6867258,,a,NS262,,Schroeder-Lutsen basalts,22.8329954117,27.6553228664,183.642745493,-27.6553228664,3.64274549284
117,This study,282.4,43.4,5,n,100,Extrusive,Lava Flow,47.6675348,Basalt,North Shore Volcanic Group:Minnesota,-90.62215986,,a,NS261,,Schroeder-Lutsen basalts,25.3060251013,26.5338769891,188.662815149,-26.5338769891,8.66281514853
118,This study,279.0,44.8,5,n,100,Extrusive,Lava Flow,47.67473392,Basalt,North Shore Volcanic Group:Minnesota,-90.6034691,,a,NS260,,Schroeder-Lutsen basalts,26.4053853461,25.0329999474,191.880190141,-25.0329999474,11.8801901406
119,This study,292.8,52.8,5,n,100,Extrusive,Lava Flow,47.67733824,Basalt,North Shore Volcanic Group:Minnesota,-90.59737919,,a,NS259,,Schroeder-Lutsen basalts,33.3739221305,38.6539930871,189.068252708,-38.6539930871,9.06825270804
120,This study,289.1,45.7,5,n,100,Extrusive,Lava Flow,47.68035378,Basalt,North Shore Volcanic Group:Minnesota,-90.59088328,,a,NS258,,Schroeder-Lutsen basalts,27.1291965505,32.2241106509,185.630772507,-32.2241106509,5.63077250713
121,This study,289.0,43.9,4,n,100,Extrusive,Lava Flow,47.714,Basalt,North Shore Volcanic Group:Minnesota,-90.5015,,a,NS264,,Schroeder-Lutsen basalts,25.6950337989,31.208423792,184.508375514,-31.208423792,4.50837551415
122,This study,292.4,43.6,5,n,100,Extrusive,Lava Flow,47.71184508,Basalt,North Shore Volcanic Group:Minnesota,-90.50223542,,a,NS257,,Schroeder-Lutsen basalts,25.4611540377,33.3347996349,181.880646249,-33.3347996349,1.88064624859
123,This study,291.8,32.1,5,n,100,Extrusive,Lava Flow,47.71734951,Basalt,North Shore Volcanic Group:Minnesota,-90.48526733,,a,NS377,,Terrace Point basalt,17.4140021579,27.3751012181,175.588116692,-27.3751012181,355.588116692
124,This study,297.4,37.5,4,n,100,Extrusive,Lava Flow,47.71732612,Basalt,North Shore Volcanic Group:Minnesota,-90.48159297,,a,NS171,,Terrace Point basalt,20.9899848255,33.6476653086,174.219234909,-33.6476653086,354.219234909
125,This study,291.1,34.1,5,n,100,Extrusive,Lava Flow,47.71732612,Basalt,North Shore Volcanic Group:Minnesota,-90.48138987,,a,NS170,,Terrace Point basalt,18.7022682211,27.8164963181,177.150513686,-27.8164963181,357.150513686
126,This study,301.3,34.7,4,n,100,Extrusive,Lava Flow,47.71746319,Basalt,North Shore Volcanic Group:Minnesota,-90.48138987,,a,NS169,,Terrace Point basalt,19.0966932283,34.9134128232,169.468869138,-34.9134128232,349.468869138
127,This study,296.9,36.4,5,n,100,Extrusive,Lava Flow,47.71926848,Basalt,North Shore Volcanic Group:Minnesota,-90.47714072,,a,NS376,,Terrace Point basalt,20.2354901594,32.7855622517,173.96781843,-32.7855622517,353.96781843
128,This study,294.3,35.2,5,n,100,Extrusive,Lava Flow,47.72187675,Basalt,North Shore Volcanic Group:Minnesota,-90.45717121,,a,NS374,,Terrace Point basalt,19.4283168984,30.4762650643,175.326206547,-30.4762650643,355.326206547
129,This study,294.0,38.5,5,n,100,Extrusive,Lava Flow,47.72228796,Basalt,North Shore Volcanic Group:Minnesota,-90.45310788,,a,NS369,,Terrace Point basalt,21.6886041779,31.8493271025,177.453867956,-31.8493271025,357.453867956
130,This study,291.7,34.9,4,n,100,Extrusive,Lava Flow,47.72544054,Basalt,North Shore Volcanic Group:Minnesota,-90.44335591,,a,NS368,,Terrace Point basalt,19.2290184922,28.5899955923,177.156088232,-28.5899955923,357.156088232
131,This study,286.0,47.2,3,n,100,Extrusive,Lava Flow,47.73256813,Basalt,North Shore Volcanic Group:Minnesota,-90.43604193,,a,NS265,,Good Harbor Bay andesite,28.3668674076,30.9788864679,188.967173256,-30.9788864679,8.96717325629
132,This study,285.5,56.0,5,n,100,Extrusive,Lava Flow,47.73453979,Andesite,North Shore Volcanic Group:Minnesota,-90.42501636,,a,NS367,,Good Harbor Bay andesite,36.5488186302,35.809201555,196.910573887,-35.809201555,16.9105738873
133,This study,285.2,38.7,4,n,100,Extrusive,Lava Flow,47.76532723,Basalt,North Shore Volcanic Group:Minnesota,-90.33460283,,a,NS365,,Croftville lavas,21.8298312076,26.0347270746,184.1171014,-26.0347270746,4.11710139968
134,This study,292.9,43.5,5,n,100,Extrusive,Lava Flow,47.76702215,Basalt,North Shore Volcanic Group:Minnesota,-90.26737951,,a,NS362,,Croftville lavas,25.3835109251,33.6210104645,181.648065327,-33.6210104645,1.64806532662
135,This study,295.5,25.7,3,n,100,Extrusive,Lava Flow,47.77600067,Basalt,North Shore Volcanic Group:Minnesota,-90.20147585,,a,NS226,,Red Cliff basalts,13.5300619022,27.0351407773,169.925398013,-27.0351407773,349.925398013
136,This study,287.9,53.8,5,n,100,Extrusive,Lava Flow,47.78890296,Rhyolite,North Shore Volcanic Group:Minnesota,-90.17323865,,a,NS375,,Kimball Creek rhyolite,34.3394583195,36.03797309,193.490837161,-36.03797309,13.4908371606
137,This study,298.4,46.9,3,n,100,Extrusive,Lava Flow,47.79577622,Basalt,North Shore Volcanic Group:Minnesota,-90.13329374,,a,NS229,,Kadunce icelandite,28.1161094681,39.1162904476,180.297647817,-39.1162904476,0.297647817132
138,This study,296.1,43.6,5,n,100,Extrusive,Lava Flow,47.79860756,Basalt,North Shore Volcanic Group:Minnesota,-90.10516022,,a,NS227,,Marr Island lavas,25.4611540377,35.8232038801,179.50834906,-35.8232038801,359.50834906
139,This study,290.6,47.9,5,n,100,Extrusive,Lava Flow,47.80570607,Basalt,North Shore Volcanic Group:Minnesota,-90.09270441,,a,NS378,,Marr Island lavas,28.9584296315,34.4355432149,186.669593423,-34.4355432149,6.66959342308
140,This study,264.5,38.2,3,n,100,Extrusive,Lava Flow,47.822107,Basalt,North Shore Volcanic Group:Minnesota,-90.0612863,,a,NS269,,Marr Island lavas,21.4777127747,12.2071706958,198.550268204,-12.2071706958,18.5502682039
141,This study,264.4,47.3,4,n,100,Extrusive,Lava Flow,47.88622328,Basalt,Isle Royale:Michigan,-89.20390113,,a,MK243,,,28.4508195217,17.2095592457,204.44191721,-17.2095592457,24.4419172099
142,This study,274.1,46.4,5,n,100,Extrusive,Lava Flow,47.88622328,Basalt,Isle Royale:Michigan,-89.20553158,,a,MK244,,,27.7017960105,22.7864820268,197.484870868,-22.7864820268,17.4848708684
143,This study,272.9,49.3,5,n,100,Extrusive,Lava Flow,47.88594915,Basalt,Isle Royale:Michigan,-89.20695822,,a,MK245,,,30.1695922768,23.7118936802,200.223259899,-23.7118936802,20.2232598988
144,This study,290.4,67.1,4,n,100,Extrusive,Lava Flow,47.88581209,Basalt,Isle Royale:Michigan,-89.20879248,,a,MK246,,,49.8077704024,45.8494232503,210.518326806,-45.8494232503,30.5183268055
145,This study,263.7,56.7,5,n,100,Extrusive,Lava Flow,47.88567502,Basalt,Isle Royale:Michigan,-89.21042293,,a,MK247,,,37.2775656049,23.0005769715,211.561364564,-23.0005769715,31.5613645643
146,This study,285.2,25.2,5,n,100,Extrusive,Lava Flow,47.8873198,Basalt,Isle Royale:Michigan,-89.19391462,,a,MK248,,,13.2398696787,19.9407210942,178.6269011,-19.9407210942,358.6269011
147,This study,281.9,24.7,5,n,100,Extrusive,Lava Flow,47.88800219,Basalt,Isle Royale:Michigan,-89.21534223,,a,MK249,,,12.951366269,17.5190089895,180.857677816,-17.5190089895,0.857677816329
148,This study,289.2,14.1,5,n,100,Extrusive,Lava Flow,47.89143175,Basalt,Isle Royale:Michigan,-89.2030859,,a,MK250,,,7.15837278203,18.134306881,171.194842185,-18.134306881,351.194842185
149,This study,292.9,29.5,6,n,100,Extrusive,Lava Flow,47.8947213,Basalt,Isle Royale:Michigan,-89.20023261,,a,MK251,,,15.7954861384,26.9367109341,174.664329158,-26.9367109341,354.664329158
