tab delimited	locations
citations	continent_ocean	country	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	method_codes	plate_blocks	region	sites	tectonic_settings
This study	North America	USA	Extrusive	47.44393649	46.47915937	Basalt:Quartz Porphyry:Quartzite:Rhyolite	Keweenaw Peninsula:Michigan	Region	-87.94004327	-90.16412176	LT-AF-Z	North American Plate		PL150 : PL50 : PL331 : PL344 : PL51 : PL330 : PL52 : PL323 : PL53 : PL324 : PL335 : PL54 : PL55 : PL56 : PL326 : PL327 : PL57 : PL58 : PL59 : PL60 : PL325 : PL61 : PL343 : PL35 : PL7 : PL6 : PL5 : PL4 : PL3 : PL1 : PL44 : PL333 : PL49 : PL329 : PL43 : PL27 : PL26 : PL25 : PL24 : PL22 : PL20 : PL19 : PL14 : PL13 : PL12 : PL11 : PL10 : PL9 : PL8 : PL32 : PL33 : PL34 : PL340 : PL338 : PL339 : PL342 : PL349 : PL348 : PL347 : PL346 : PL345 : PL158 : PL160 : PL159 : PL157 : PL341 : PL154 : PL153 : PL42 : ER66 : ER67 : ER68 : QP69 : QP71 : QP73 : R36-0 : R36-1 : R36-2 : R36-3 : R36-4 : R36-5 : R36-6 : R36-7 : R62-1 : R62-2 : R62-3 : R62-4 : R62-5 : R62-6 : IB74 : IB75 : IB76 : IB301 : IB303 : IB306 : IB322 : MK216 : MK217 : MK218 : MK219 : MK316 : MK317 : MK318 : MK319 : MK320	Continental Rift
This study	North America	USA	Extrusive	47.822107	47.55559984	Basalt:Andesite:Rhyolite		Region	-90.0612863	-90.87729197	LT-AF-Z	North American Plate		NS254 : NS255 : NS256 : NS263 : NS381 : NS370 : NS382 : NS372 : NS379 : NS371 : NS380 : NS262 : NS261 : NS260 : NS259 : NS258 : NS264 : NS257 : NS377 : NS171 : NS170 : NS169 : NS376 : NS374 : NS369 : NS368 : NS265 : NS367 : NS365 : NS362 : NS226 : NS375 : NS229 : NS227 : NS378 : NS269	Continental Rift
This study	North America	USA	Extrusive	47.8947213	47.88567502	Basalt	Isle Royale:Michigan	Region	-89.19391462	-89.21534223	LT-AF-Z	North American Plate		MK243 : MK244 : MK245 : MK246 : MK247 : MK248 : MK249 : MK250 : MK251	Continental Rift
>>>>>>>>>>
tab delimited	sites
citations	dir_dec	dir_inc	dir_n_samples	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_type	site	formation	site_alternatives	vgp_lat	vgp_lon
This study	284	33	4	n	100	Extrusive	Lava Flow	47.28798041	Basalt	Keweenaw Peninsula:Michigan	-88.40954543	LT-AF-Z	a	PL150	Portage Lake Volcanics		22.51950636	184.0980891
This study	284.2	19.9	5	n	100	Extrusive	Lava Flow	47.26585103	Basalt	Keweenaw Peninsula:Michigan	-88.41569905	LT-AF-Z	a	PL50	Portage Lake Volcanics	Iroquois Flow	17.13489983	178.1983954
This study	283.8	41.5	4	n	100	Extrusive	Lava Flow	47.26353407	Basalt	Keweenaw Peninsula:Michigan	-88.40261734	LT-AF-Z	a	PL327	Portage Lake Volcanics		26.43429702	188.9319434
This study	283.6	39.6	4	n	100	Extrusive	Lava Flow	47.26393191	Basalt	Keweenaw Peninsula:Michigan	-88.40160098	LT-AF-Z	a	PL57	Portage Lake Volcanics		25.35322771	187.9384697
This study	290.9	30.2	4	n	100	Extrusive	Lava Flow	47.26390449	Basalt	Keweenaw Peninsula:Michigan	-88.40160098	LT-AF-Z	a	PL58	Portage Lake Volcanics		25.95566938	177.6466365
This study	290.3	32.5	4	n	100	Extrusive	Lava Flow	47.26434315	Basalt	Keweenaw Peninsula:Michigan	-88.39998978	LT-AF-Z	a	PL59	Portage Lake Volcanics	Scales Creek Flow	26.56775516	179.2397059
This study	288.5	40	4	n	100	Extrusive	Lava Flow	47.26393191	Basalt	Keweenaw Peninsula:Michigan	-88.39958698	LT-AF-Z	a	PL60	Portage Lake Volcanics		28.86323417	184.718492
This study	293.2	33.6	5	n	100	Extrusive	Lava Flow	47.26790722	Basalt	Keweenaw Peninsula:Michigan	-88.4052262	LT-AF-Z	a	PL325	Portage Lake Volcanics		29.02915213	177.6151862
This study	294.2	31.7	4	n	100	Extrusive	Lava Flow	47.26201279	Basalt	Keweenaw Peninsula:Michigan	-88.39535756	LT-AF-Z	a	PL61	Portage Lake Volcanics		28.8499436	175.8759117
This study	285.7	37.1	5	n	100	Extrusive	Lava Flow	47.2564059	Basalt	Keweenaw Peninsula:Michigan	-88.39557021	LT-AF-Z	a	PL343	Portage Lake Volcanics	Copper City Flow	25.56584401	185.0478687
This study	264.9	45.6	5	n	100	Extrusive	Lava Flow	47.29195572	Basalt	Keweenaw Peninsula:Michigan	-88.40984762	LT-AF-Z	a	PL35	Portage Lake Volcanics		16.28714602	204.043843
This study	294.6	45.2	4	n	100	Extrusive	Lava Flow	47.28976244	Basalt	Keweenaw Peninsula:Michigan	-88.41256728	LT-AF-Z	a	PL7	Portage Lake Volcanics		35.63666209	183.8322171
This study	274.7	45.2	4	n	100	Extrusive	Lava Flow	47.29154448	Basalt	Keweenaw Peninsula:Michigan	-88.40974689	LT-AF-Z	a	PL6	Portage Lake Volcanics		22.33963824	197.351944
This study	280.8	49.7	5	n	100	Extrusive	Lava Flow	47.29181864	Basalt	Keweenaw Peninsula:Michigan	-88.40994835	LT-AF-Z	a	PL5	Portage Lake Volcanics		28.8607048	196.5354469
This study	261	43.2	6	n	100	Extrusive	Lava Flow	47.28811749	Basalt	Keweenaw Peninsula:Michigan	-88.41458184	LT-AF-Z	a	PL4	Portage Lake Volcanics		12.48818304	205.2789886
This study	279.5	36.6	5	n	100	Extrusive	Lava Flow	47.28798041	Basalt	Keweenaw Peninsula:Michigan	-88.41397747	LT-AF-Z	a	PL3	Portage Lake Volcanics		21.14513846	189.1294607
This study	265.6	51.6	5	n	100	Extrusive	Lava Flow	47.2860613	Basalt	Keweenaw Peninsula:Michigan	-88.41397747	LT-AF-Z	a	PL1	Portage Lake Volcanics		20.36558789	207.4930682
This study	287.9	29.6	3	n	100	Extrusive	Lava Flow	47.28246441	Basalt	Keweenaw Peninsula:Michigan	-88.4469834	LT-AF-Z	a	PL44	Portage Lake Volcanics		23.6605352	179.5591134
