,age,age_high,age_low,age_unit,bed_dip,bed_dip_direction,citations,description,dir_alpha95,dir_dec,dir_inc,dir_n_specimens,geologic_classes,geologic_types,height,lat,lithologies,location,lon,method_codes,site,vgp_lat,vgp_lon,dir_k,dir_n_samples,dir_polarity,dir_tilt_correction,result_type,age_sigma,criteria,dir_comp_name,dir_n_specimens_lines,dir_n_specimens_planes,dir_r,result_quality,samples,software_packages,specimens,vgp_dm,vgp_dp,average_alpha95,average_dec,average_inc,average_k,average_lat,average_lon,average_n,average_nn,average_r,data_type,er_citation_names,er_location_names,er_site_names,er_specimen_names,magic_method_codes,magic_software_packages,pmag_criteria_codes,pmag_result_name,tilt_correction,vgp_n,formation,site_alternatives,analysts,member,average_age_high,average_age_low,average_age_unit,conglomerate_test,contact_test,external_database_ids,external_database_names,fold_test,fold_test_significance,percent_reversed,pole_comp_name,result_description,reversal_test,rock_magnetic_test,tilt_alpha95_corr,tilt_alpha95_uncorr,tilt_dec_corr,tilt_dec_uncorr,tilt_inc_corr,tilt_inc_uncorr,tilt_k_corr,tilt_k_ratio,tilt_k_uncorr,tilt_n,vgp_alpha95,average_age,average_age_sigma,average_n_lines,average_n_planes,er_analyst_mail_names
10,1108.0,1110.0,1105.15,Ma,,,This study,SI1(87.6 to 88.5),1.9,89.9,-71.9,6.0,,,87.6,48.8073,,Simpson Island,272.338,DE-FM:LP-DC4:LP-DIR-AF,SI1(87.6 to 88.5),39.0,227.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1108.0,1110.0,1105.15,Ma,,,This study,SI1(88.5 to 89.2),5.0,88.9,-70.0,5.0,,,88.5,48.8071,,Simpson Island,272.3381,DE-FM:LP-DC4:LP-DIR-AF,SI1(88.5 to 89.2),36.9,224.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1108.0,1110.0,1105.15,Ma,,,This study,SI1(89.2 to 91.5),7.6,87.0,-67.2,5.0,,,89.2,48.807,,Simpson Island,272.3382,DE-FM:LP-DC4:LP-DIR-AF,SI1(89.2 to 91.5),33.6,221.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1108.0,1110.0,1105.15,Ma,,,This study,SI1(91.5 to 92.6),3.0,82.8,-68.5,6.0,,,91.5,48.8069,,Simpson Island,272.3382,DE-FM:LP-DC4:LP-DIR-AF,SI1(91.5 to 92.6),32.7,225.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1108.0,1110.0,1105.15,Ma,,,This study,SI1(94.3 to 94.9),4.3,94.1,-74.4,5.0,,,94.3,48.8068,,Simpson Island,272.338,DE-FM:LP-DC4:LP-DIR-AF,SI1(94.3 to 94.9),42.8,230.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1108.0,1110.0,1105.15,Ma,,,This study,SI1(94.9 to 96.6),2.3,79.1,-75.0,5.0,,,94.9,48.8066,,Simpson Island,272.3379,DE-FM:LP-DC4:LP-DIR-AF,SI1(94.9 to 96.6),37.2,236.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1108.0,1110.0,1105.15,Ma,,,This study,SI2a(1.1 to 1.6),4.1,117.1,-58.1,6.0,,,442.1,48.7943,,Simpson Island,272.3444,DE-FM:LP-DC4:LP-DIR-AF,SI2a(1.1 to 1.6),44.8,194.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1108.0,1110.0,1105.15,Ma,,,This study,SI2a(10.2 to 12.8),4.8,152.3,-68.8,6.0,,,451.2,48.794,,Simpson Island,272.3445,DE-FM:LP-DC4:LP-DIR-AF,SI2a(10.2 to 12.8),72.2,203.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1108.0,1110.0,1105.15,Ma,,,This study,SI2b(10.5 to 10.6),4.4,107.4,-67.3,5.0,,,527.5,48.7916,,Simpson Island,272.3461,DE-FM:LP-DC4:LP-DIR-AF,SI2b(10.5 to 10.6),44.7,212.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1108.0,1110.0,1105.15,Ma,,,This study,SI2b(2.2 to 2.6),4.2,120.0,-62.4,8.0,,,519.2,48.7921,,Simpson Island,272.3454,DE-FM:LP-DC4:LP-DIR-AF,SI2b(2.2 to 2.6),49.3,198.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1108.0,1110.0,1105.15,Ma,,,This study,SI2c(0.0 to 2.1),4.4,108.7,-39.2,6.0,,,592.0,48.7903,,Simpson Island,272.3455,DE-FM:LP-DC4:LP-DIR-AF,SI2c(0.0 to 2.1),28.7,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1108.0,1110.0,1105.15,Ma,,,This study,SI2c(2.1 to 18.6),2.4,111.3,-47.3,6.0,,,594.1,48.7902,,Simpson Island,272.3455,DE-FM:LP-DC4:LP-DIR-AF,SI2c(2.1 to 18.6),34.7,187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1108.0,1110.0,1105.15,Ma,,,This study,SI3(103.3 to 110.3),6.1,84.0,-68.1,6.0,,,846.3,48.7799,,Simpson Island,272.3705,DE-FM:LP-DC4:LP-DIR-AF,SI3(103.3 to 110.3),32.9,224.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1108.0,1110.0,1105.15,Ma,,,This study,SI3(12.5 to 20.1),6.2,109.1,-73.7,6.0,,,755.5,48.7823,,Simpson Island,272.3682,DE-FM:LP-DC4:LP-DIR-AF,SI3(12.5 to 20.1),49.3,225.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1108.0,1110.0,1105.15,Ma,,,This study,SI3(124.8 to 130.4),5.0,81.5,-63.7,5.0,,,867.8,48.7791,,Simpson Island,272.3708,DE-FM:LP-DC4:LP-DIR-AF,SI3(124.8 to 130.4),27.8,220.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1108.0,1110.0,1105.15,Ma,,,This study,SI3(2.3 to 5.5),4.5,135.4,-69.3,6.0,,,745.3,48.7828,,Simpson Island,272.3674,DE-FM:LP-DC4:LP-DIR-AF,SI3(2.3 to 5.5),62.0,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1108.0,1110.0,1105.15,Ma,,,This study,SI3(20.1 to 28.9),1.9,108.1,-69.3,9.0,,,763.1,48.7821,,Simpson Island,272.3684,DE-FM:LP-DC4:LP-DIR-AF,SI3(20.1 to 28.9),46.7,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1108.0,1110.0,1105.15,Ma,,,This study,SI3(36.9 to 48.4),4.3,99.6,-70.5,6.0,,,779.9,48.7817,,Simpson Island,272.369,DE-FM:LP-DC4:LP-DIR-AF,SI3(36.9 to 48.4),42.6,221.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1108.0,1110.0,1105.15,Ma,,,This study,SI3(5.5 to 12.5),3.6,127.5,-72.5,10.0,,,748.5,48.7826,,Simpson Island,272.3677,DE-FM:LP-DC4:LP-DIR-AF,SI3(5.5 to 12.5),58.2,218.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1108.0,1110.0,1105.15,Ma,,,This study,SI3(55.8 to 60.9),4.3,105.6,-70.7,6.0,,,798.8,48.7812,,Simpson Island,272.3696,DE-FM:LP-DC4:LP-DIR-AF,SI3(55.8 to 60.9),45.9,219.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1105.15,1105.48,1104.82,Ma,,,This study,SI4(106.0 to 121.4),4.3,120.7,-56.8,7.0,,,2089.0,48.7499,,Simpson Island,272.4047,DE-FM:LP-DC4:LP-DIR-AF,SI4(106.0 to 121.4),46.4,190.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1105.15,1105.48,1104.82,Ma,,,This study,SI4(121.4 to 127.3),4.1,111.5,-50.9,7.0,,,2104.4,48.7494,,Simpson Island,272.4046,DE-FM:LP-DC4:LP-DIR-AF,SI4(121.4 to 127.3),36.9,190.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1105.15,1105.48,1104.82,Ma,,,This study,SI4(133.8 to 143.1),4.7,109.6,-60.6,7.0,,,2116.8,48.749,,Simpson Island,272.4045,DE-FM:LP-DC4:LP-DIR-AF,SI4(133.8 to 143.1),41.7,201.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1105.15,1105.48,1104.82,Ma,,,This study,SI4(160.4 to 171.1),4.0,151.1,-62.4,8.0,,,2143.4,48.7485,,Simpson Island,272.4042,DE-FM:LP-DC4:LP-DIR-AF,SI4(160.4 to 171.1),69.5,179.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1105.15,1105.48,1104.82,Ma,,,This study,SI5a(0.0 to 9.0),3.9,112.8,-52.5,12.0,,,3115.0,48.7363,,Simpson Island,272.3038,DE-FM:LP-DC4:LP-DIR-AF,SI5a(0.0 to 9.0),38.7,190.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1105.15,1105.48,1104.82,Ma,,,This study,SI5b(115.0 to 120.2),2.3,114.7,-56.0,9.0,,,2955.0,48.7388,,Simpson Island,272.3145,DE-FM:LP-DC4:LP-DIR-AF,SI5b(115.0 to 120.2),42.0,193.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1105.15,1105.48,1104.82,Ma,,,This study,SI5b(132.4 to 171.9),4.6,103.5,-60.9,7.0,,,2972.4,48.7385,,Simpson Island,272.3136,DE-FM:LP-DC4:LP-DIR-AF,SI5b(132.4 to 171.9),38.1,205.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1105.15,1105.48,1104.82,Ma,,,This study,SI5b(183.4 to 188.7),3.5,116.0,-61.0,5.0,,,3023.4,48.7376,,Simpson Island,272.3066,DE-FM:LP-DC4:LP-DIR-AF,SI5b(183.4 to 188.7),45.9,198.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1105.15,1105.48,1104.82,Ma,,,This study,SI5b(197.5 to 216.7),4.2,98.7,-70.0,6.0,,,3037.5,48.7373,,Simpson Island,272.3065,DE-FM:LP-DC4:LP-DIR-AF,SI5b(197.5 to 216.7),41.8,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1105.15,1105.48,1104.82,Ma,,,This study,SI5b(3.2 to 30.7),4.0,111.9,-57.1,6.0,,,2843.2,48.7408,,Simpson Island,272.3235,DE-FM:LP-DC4:LP-DIR-AF,SI5b(3.2 to 30.7),40.9,196.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1105.15,1105.48,1104.82,Ma,,,This study,SI5b(57.2 to 63.3),5.6,97.9,-42.5,6.0,,,2897.2,48.7402,,Simpson Island,272.3162,DE-FM:LP-DC4:LP-DIR-AF,SI5b(57.2 to 63.3),23.3,193.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1105.15,1105.48,1104.82,Ma,,,This study,SI5b(64.6 to 70.4),6.1,99.2,-50.4,5.0,,,2904.6,48.7401,,Simpson Island,272.3159,DE-FM:LP-DC4:LP-DIR-AF,SI5b(64.6 to 70.4),28.6,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1105.15,1105.48,1104.82,Ma,,,This study,SI5b(72.6 to 79.0),3.5,97.0,-49.4,6.0,,,2912.6,48.7399,,Simpson Island,272.3155,DE-FM:LP-DC4:LP-DIR-AF,SI5b(72.6 to 79.0),26.6,198.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1105.15,1105.48,1104.82,Ma,,,This study,SI6(0.0 to 3.0),6.1,103.2,-63.3,5.0,,,2451.0,48.7462,,Simpson Island,272.3607,DE-FM:LP-DC4:LP-DIR-AF,SI6(0.0 to 3.0),39.5,208.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1105.15,1105.48,1104.82,Ma,,,This study,SI6(12.0 to 28.4),2.3,78.3,-63.0,8.0,,,2463.0,48.746,,Simpson Island,272.3606,DE-FM:LP-DC4:LP-DIR-AF,SI6(12.0 to 28.4),25.5,221.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1105.15,1105.48,1104.82,Ma,,,This study,SI6(122.3 to 127.6),6.3,79.9,-79.5,7.0,,,2573.3,48.7439,,Simpson Island,272.3507,DE-FM:LP-DC4:LP-DIR-AF,SI6(122.3 to 127.6),41.7,245.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1105.15,1105.48,1104.82,Ma,,,This study,SI6(180.6 to 188.8),4.6,75.3,-53.3,8.0,,,2631.6,48.7423,,Simpson Island,272.35,DE-FM:LP-DC4:LP-DIR-AF,SI6(180.6 to 188.8),16.2,215.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1105.15,1105.48,1104.82,Ma,,,This study,SI6(208.4 to 219.9),5.8,100.9,-52.0,5.0,,,2659.4,48.7415,,Simpson Island,272.3517,DE-FM:LP-DC4:LP-DIR-AF,SI6(208.4 to 219.9),30.7,198.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1105.15,1105.48,1104.82,Ma,,,This study,SI6(245.4 to 252.7),4.9,108.3,-55.3,7.0,,,2696.4,48.7405,,Simpson Island,272.3524,DE-FM:LP-DC4:LP-DIR-AF,SI6(245.4 to 252.7),37.5,196.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1105.15,1105.48,1104.82,Ma,,,This study,SI6(268.4 to 289.5),2.7,93.1,-66.3,8.0,,,2719.4,48.7399,,Simpson Island,272.3533,DE-FM:LP-DC4:LP-DIR-AF,SI6(268.4 to 289.5),36.1,217.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1105.15,1105.48,1104.82,Ma,,,This study,SI6(289.8 to 301.1),5.0,101.7,-61.0,8.0,,,2740.8,48.7393,,Simpson Island,272.3536,DE-FM:LP-DC4:LP-DIR-AF,SI6(289.8 to 301.1),37.1,206.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1105.15,1105.48,1104.82,Ma,,,This study,SI6(40.6 to 57.8),5.3,95.2,-65.3,6.0,,,2491.6,48.7451,,Simpson Island,272.3607,DE-FM:LP-DC4:LP-DIR-AF,SI6(40.6 to 57.8),36.5,215.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1105.15,1105.48,1104.82,Ma,,,This study,SI6(76.5 to 94.1),6.0,105.2,-72.2,7.0,,,2527.5,48.7448,,Simpson Island,272.3514,DE-FM:LP-DC4:LP-DIR-AF,SI6(76.5 to 94.1),46.5,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1105.15,1105.48,1104.82,Ma,,,This study,SI6(94.1 to 104.2),3.8,103.4,-78.6,5.0,,,2545.1,48.7445,,Simpson Island,272.3514,DE-FM:LP-DC4:LP-DIR-AF,SI6(94.1 to 104.2),49.0,238.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1105.15,1105.48,1104.82,Ma,,,This study,SI7(0.0 to 3.9),2.4,128.6,-48.4,8.0,,,2798.0,48.7406,,Simpson Island,272.3318,DE-FM:LP-DC4:LP-DIR-AF,SI7(0.0 to 3.9),46.7,175.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1105.15,1105.48,1104.82,Ma,,,This study,SI7(3.9 to 5.4),9.2,132.8,-53.6,7.0,,,2801.9,48.7405,,Simpson Island,272.3316,DE-FM:LP-DC4:LP-DIR-AF,SI7(3.9 to 5.4),52.4,177.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1105.15,1105.48,1104.82,Ma,,,This study,SI7(9.6 to 18.0),6.9,120.1,-55.6,7.0,,,2807.6,48.7403,,Simpson Island,272.3316,DE-FM:LP-DC4:LP-DIR-AF,SI7(9.6 to 18.0),45.3,189.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1105.15,1105.48,1104.82,Ma,,,This study,SI8(0.0 to 3.9),2.2,126.1,-68.9,8.0,,,2336.0,48.7466,,Simpson Island,272.3806,DE-FM:LP-DC4:LP-DIR-AF,SI8(0.0 to 3.9),56.4,209.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1105.15,1105.48,1104.82,Ma,,,This study,SI8(106.6 to 115.4),7.2,103.8,-65.2,8.0,,,2442.6,48.7449,,Simpson Island,272.3724,DE-FM:LP-DC4:LP-DIR-AF,SI8(106.6 to 115.4),41.2,211.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1105.15,1105.48,1104.82,Ma,,,This study,SI8(19.3 to 45.0),5.5,108.7,-59.1,8.0,,,2355.3,48.7462,,Simpson Island,272.38,DE-FM:LP-DC4:LP-DIR-AF,SI8(19.3 to 45.0),40.1,200.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1105.15,1105.48,1104.82,Ma,,,This study,SI8(3.9 to 19.3),5.3,123.0,-71.6,7.0,,,2339.9,48.7465,,Simpson Island,272.3805,DE-FM:LP-DC4:LP-DIR-AF,SI8(3.9 to 19.3),55.6,217.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1105.15,1105.48,1104.82,Ma,,,This study,SI8(47.5 to 56.7),5.6,121.2,-64.4,6.0,,,2383.5,48.7458,,Simpson Island,272.3789,DE-FM:LP-DC4:LP-DIR-AF,SI8(47.5 to 56.7),51.2,201.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1105.15,1105.48,1104.82,Ma,,,This study,SI8(62.9 to 84.4),2.7,103.3,-69.6,8.0,,,2398.9,48.7456,,Simpson Island,272.3777,DE-FM:LP-DC4:LP-DIR-AF,SI8(62.9 to 84.4),43.9,218.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1105.15,1105.48,1104.82,Ma,,,This study,SI8(84.4 to 102.6),4.3,80.9,-66.0,8.0,,,2420.4,48.7453,,Simpson Island,272.3761,DE-FM:LP-DC4:LP-DIR-AF,SI8(84.4 to 102.6),29.5,223.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
