tab 	specimens
citations	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_tilt_correction	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	sample	specimen
This study	117.5	-64	0.2	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-29.0	SI1-29.0-D
This study	91.3	-66.5	0.3	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.035	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-29.1	SI1-29.1-D
This study	62.5	-59.9	1.4	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.145	0.04	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-29.15	SI1-29.15-D
This study	102.9	-66.1	0.4	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.035	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-29.2	SI1-29.2-D
This study	100.0	-69.4	1.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-29.24	SI1-29.24-D
This study	94.5	-65.7	0.4	6	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.04	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-29.25	SI1-29.25-D
This study	104.3	-63.3	0.4	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-29.4	SI1-29.4-D
This study	75.6	-63	3.4	5	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.04	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-33.4	SI1-33.4a
This study						Extrusive:Igneous	Lava Flow	Basalt					SI1-33.5	SI1-33.5a
This study	104.4	-79.4	1.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.17	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-34.2	SI1-34.2a
This study	99.4	-65.7	1	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-34.75	SI1-34.75a
This study	89.8	-67.7	0.8	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-34.7	SI1-34.7a
This study	101.0	-63.2	0.3	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-34.8	SI1-34.8a
This study	89.9	-75.9	0.7	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.025	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-40.95	SI1-40.95a
This study	82.7	-75.2	1.4	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.025	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-40.96	SI1-40.96a
This study	80.5	-77.2	0.8	5	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.025	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-40.9	SI1-40.9a
This study	88.5	-66.2	0.7	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.025	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-41.15	SI1-41.15a
This study	90.0	-72.9	0.7	6	100	Extrusive:Igneous	Lava Flow	Basalt	0.07	0.025	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-41.1	SI1-41.1a
This study	79.1	-72	0.8	6	100	Extrusive:Igneous	Lava Flow	Basalt	0.07	0.025	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-41	SI1-41a
This study	89.8	-70.3	0.9	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-43.19	SI1-43.19-D
This study	77.4	-67.6	2.6	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-43.2	SI1-43.2-D
This study	75.8	-60.2	1.2	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-43.4	SI1-43.4-D
This study	73.8	-60.2	2	6	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-43.51	SI1-43.51-D
This study	81.5	-63.7	1.4	6	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-43.6	SI1-43.6-D
This study	72.8	-58.4	2	6	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-43.61	SI1-43.61-D
This study	85.0	-53.5	7.3	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.145	0.035	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-61.1	SI1-61.1-D
This study	83.6	-59.6	5	5	100	Extrusive:Igneous	Lava Flow	Basalt	0.05	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-61.15	SI1-61.15-D
This study	66.1	-70.1	2.9	6	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-61.2	SI1-61.2-D
This study	106.4	-70	0.2	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-61.73	SI1-61.73-D
This study	90.6	-66.7	0.1	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-61.78	SI1-61.78-D
This study	314.8	52	5	5	100	Igneous:Intrusive	Sill	Diabase	0.03	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-80.3	SI1-80.3-D
This study	310.7	50.8	4.2	7	100	Igneous:Intrusive	Sill	Diabase	0.05	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-80.7	SI1-80.7-D
This study	306.0	43.4	3.6	6	100	Igneous:Intrusive	Sill	Diabase	0.04	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-81.8	SI1-81.8-D
This study	311.8	50.1	4.4	6	100	Igneous:Intrusive	Sill	Diabase	0.03	0.008	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-82.1	SI1-82.1-D
This study	306.7	54	2.1	6	100	Igneous:Intrusive	Sill	Diabase	0.035	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-84.5	SI1-84.5-D
This study	304.9	53.3	2.4	6	100	Igneous:Intrusive	Sill	Diabase	0.03	0.008	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-86.1	SI1-86.1-D
This study	311.7	42	2.3	7	100	Igneous:Intrusive	Sill	Diabase	0.04	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-86.4	SI1-86.4-D
This study	90.9	-72.8	1.2	6	100	Extrusive:Igneous	Lava Flow	Basalt	0.145	0.05	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-88.25	SI1-88.25-D
This study	86.7	-73.8	1.2	6	100	Extrusive:Igneous	Lava Flow	Basalt	0.145	0.05	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-88.35	SI1-88.35-D
This study	99.6	-70.9	0.3	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-88.37	SI1-88.37-D
This study	84.5	-70.4	0.7	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.035	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-88.4	SI1-88.4-D
This study	86.3	-70.6	0.7	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.035	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-88.43	SI1-88.43-D
This study	95.7	-73	0.2	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-88.55	SI1-88.55-D
This study	91.2	-72.7	0.2	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.035	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-88.9	SI1-88.9-D
This study	92.8	-68.9	0.2	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-88.93	SI1-88.93-D
This study	80.1	-74.3	0.2	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-88.97	SI1-88.97-D
This study	98.7	-68.8	0.2	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-89.0	SI1-89.0-D
This study	78.7	-63.9	0.5	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-89.15	SI1-89.15-D
This study	102.0	-69.6	0.6	14	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.005	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-89.25	SI1-89.25-A
This study	94.6	-61.4	1	16	100	Extrusive:Igneous	Lava Flow	Basalt	0.14	0.005	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-89.92	SI1-89.92-A
This study	89.0	-62	0.9	16	100	Extrusive:Igneous	Lava Flow	Basalt	0.14	0.005	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-90.0	SI1-90.0-A
This study	82.4	-66	0.9	16	100	Extrusive:Igneous	Lava Flow	Basalt	0.14	0.005	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-90.05	SI1-90.05-A
This study	56.4	-74.3	0.4	16	100	Extrusive:Igneous	Lava Flow	Basalt	0.14	0.005	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-91.1	SI1-91.1-A
This study	124.7	-52.7	0.4	16	100	Extrusive:Igneous	Lava Flow	Basalt	0.14	0.005	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-91.2	SI1-91.2-A
This study	74.1	-67.6	0.3	15	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.003	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-91.6	SI1-91.6-A
This study	85.7	-68.3	0.2	15	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.003	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-91.61	SI1-91.61-A
This study	85.2	-71	0.2	15	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.003	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-91.64	SI1-91.64-A
This study	92.2	-69.3	0.2	15	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.003	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-91.67	SI1-91.67-A
This study	85.1	-70.7	0.2	15	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.003	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-91.75	SI1-91.75-A
This study	77.1	-63.6	0.5	15	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.003	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-92.0	SI1-92.0-A
This study	86.6	-74.3	0.4	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-94.57	SI1-94.57a
This study	111.7	-74.5	1.5	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.09	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-94.67	SI1-94.67a
This study	105.1	-73.9	1.3	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-94.6	SI1-94.6a
This study	80.6	-69.9	0.2	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.04	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-94.7	SI1-94.7a
This study	89.4	-77.6	0.7	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.09	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-94.8	SI1-94.8a
This study	80.1	-76.4	0.8	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-95	SI1-95a
This study	84.2	-72.2	0.8	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.04	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-96.02	SI1-96.02a
This study	87.0	-75.8	0.8	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.04	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-96.04	SI1-96.04a
This study	68.9	-75.6	0.6	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.04	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-96.1	SI1-96.1a
This study	74.8	-74.3	0.5	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.04	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-96	SI1-96a
This study	114.4	-54.2	0.8	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.05	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2a-1.1	SI2a-1.1a
This study	114.2	-56.8	0.7	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.05	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2a-1.35	SI2a-1.35a
This study	116.4	-59.1	0.9	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.05	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2a-1.3	SI2a-1.3a
This study	110.0	-56.3	1.2	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.05	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2a-1.4	SI2a-1.4a
This study	122.8	-56.4	1.7	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.05	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2a-1.5	SI2a-1.5a
This study	127.4	-64.9	1.2	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.05	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2a-1.6	SI2a-1.6a
This study	139.5	-69.3	0.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2a-10.2	SI2a-10.2a
This study	137.8	-71.9	0.7	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2a-10.4	SI2a-10.4a
This study	148.0	-67.6	0.3	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2a-10.5	SI2a-10.5a
This study	161.0	-71.4	0.2	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2a-12.2	SI2a-12.2a
This study	165.2	-60.9	0.3	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2a-12.7	SI2a-12.7a
This study	157.0	-69.5	0.4	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.04	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2a-12.8	SI2a-12.8a
This study	102.0	-71.5	0.3	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2b-10.56	SI2b-10.56a
This study	104.2	-68.6	0.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2b-10.58	SI2b-10.58a
This study	122.0	-67.1	0.2	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2b-10.5	SI2b-10.5a
This study	101.0	-62.8	0.2	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2b-10.63	SI2b-10.63a
This study	107.6	-65.4	0.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2b-10.6	SI2b-10.6a
This study	137.2	-66.1	0.2	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2b-2.2	SI2b-2.2a
This study	114.4	-67.6	0.3	9	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2b-2.3	SI2b-2.3a
This study	119.4	-61.8	1.6	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2b-2.42	SI2b-2.42a
This study	126.3	-65.5	2	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2b-2.46	SI2b-2.46a
This study	119.4	-54.4	1.5	5	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.025	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2b-2.53	SI2b-2.53a
This study	113.9	-62.5	1.7	6	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2b-2.5	SI2b-2.5a
This study	114.6	-55.2	10.2	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.17	0.06	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2b-2.61	SI2b-2.61a
This study	117.9	-64.8	0.2	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2b-2.6	SI2b-2.6a
This study	113.4	-38	0.5	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2c-0.15	SI2c-0.15a
This study	112.3	-40.6	0.3	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2c-0.35	SI2c-0.35a
This study	109.5	-42.8	0.3	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2c-0.45	SI2c-0.45a
This study	102.6	-31.7	0.2	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2c-0.55	SI2c-0.55a
This study	107.4	-38.4	0.3	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2c-0.5	SI2c-0.5a
This study	107.5	-43.6	0.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2c-1.0	SI2c-1.0a
This study	110.2	-46.7	0.7	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2c-3.05	SI2c-3.05a
