tab 	samples
azimuth	citations	description	dip	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	sample	site	specimens
286.0	This study	oriented core	-77						Extrusive:Igneous	Lava Flow	48.8086	Basalt	272.3378	FS-FD:SO-CMD-NORTH:SO-POM	SI1-61.13	SI1(58.1 to 64.1)	
216.0	This study	oriented core	-67	83.6	-59.6	1	1	100	Extrusive:Igneous	Lava Flow	48.8086	Basalt	272.3378	FS-FD:SO-CMD-NORTH:SO-POM	SI1-61.15	SI1(58.1 to 64.1)	SI1-61.15-D
219.0	This study	oriented core	-73	66.1	-70.1	1	1	100	Extrusive:Igneous	Lava Flow	48.8086	Basalt	272.3378	FS-FD:SO-CMD-NORTH:SO-POM	SI1-61.2	SI1(58.1 to 64.1)	SI1-61.2-D
256.0	This study	oriented core	-71	106.4	-70	1	1	100	Extrusive:Igneous	Lava Flow	48.8086	Basalt	272.3378	FS-FD:SO-CMD-NORTH:SO-POM	SI1-61.73	SI1(58.1 to 64.1)	SI1-61.73-D
261.0	This study	oriented core	-72	90.6	-66.7	1	1	100	Extrusive:Igneous	Lava Flow	48.8086	Basalt	272.3378	FS-FD:SO-CMD-NORTH:SO-POM	SI1-61.78	SI1(58.1 to 64.1)	SI1-61.78-D
254.0	This study	oriented core	-77						Extrusive:Igneous	Lava Flow	48.8086	Basalt	272.3378	FS-FD:SO-CMD-NORTH:SO-POM	SI1-61.8	SI1(58.1 to 64.1)	
300.0	This study	oriented core	-20	314.8	52	1	1	100	Igneous:Intrusive	Sill	48.8078	Diabase	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-80.3	SI1(69.7 to 87.6)	SI1-80.3-D
275.0	This study	oriented core	-69	310.7	50.8	1	1	100	Igneous:Intrusive	Sill	48.8078	Diabase	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-80.7	SI1(69.7 to 87.6)	SI1-80.7-D
278.0	This study	oriented core	-59	306.0	43.4	1	1	100	Igneous:Intrusive	Sill	48.8078	Diabase	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-81.8	SI1(69.7 to 87.6)	SI1-81.8-D
299.0	This study	oriented core	-96	311.8	50.1	1	1	100	Igneous:Intrusive	Sill	48.8078	Diabase	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-82.1	SI1(69.7 to 87.6)	SI1-82.1-D
1.0	This study	oriented core	-84	306.7	54	1	1	100	Igneous:Intrusive	Sill	48.8078	Diabase	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-84.5	SI1(69.7 to 87.6)	SI1-84.5-D
340.0	This study	oriented core	-82	304.9	53.3	1	1	100	Igneous:Intrusive	Sill	48.8078	Diabase	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-86.1	SI1(69.7 to 87.6)	SI1-86.1-D
